*1 BarackObama Barack Obama (@BarackObama)

*2 realDonaldTrump Donald J. Trump (@realDonaldTrump)

*8 BernieSanders Bernie Sanders (@BernieSanders)

*11 SenWarren Elizabeth Warren (@SenWarren)

*12 AOC Alexandria Ocasio-Cortez (@AOC)

*15 marcorubio Marco Rubio (@marcorubio)

*16 mike_pence Mike Pence (@mike_pence)

*18 JoeBiden Joe Biden (@JoeBiden)

*19 tedcruz Ted Cruz (@tedcruz)

??? 21 Sara Palin (@sarahpalinusa)

### 3 POTUS President Trump (@POTUS)

### 4 HillaryClinton Hillary Clinton (@HillaryClinton)

### 5 POTUS44 President Obama (@POTUS44)

### 6 FLOTUS Melania Trump (@FLOTUS)

### 7 BillClinton Bill Clinton (@BillClinton)

### 9 SenSanders Bernie Sanders (@SenSanders)

###10 VP Vice President Mike Pence (@VP)

### 13 CoryBooker Cory Booker (@CoryBooker)

### 14 PressSec Sarah Sanders (@PressSec)

###17 SpeakerRyan Paul Ryan (@SpeakerRyan)

### 20 JohnKerry John Kerry (@JohnKerry)
