date,title,artist,peak_pos,last_pos,weeks,rank,change,video_link,genre,broad_genre,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,lyrics,polarity
3/17/18,Keke,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",43,63,8,90,-27,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,scum gang  i be on the block on the regular with my niggas busting at the cops on the regular bitches sucking dick giving top on the regular catch me water whipping straight drop on the regular yeah you know i run up with the shit on the regular bare faced ima hit a lick on the regular posted with the drop gun cocked on the regular yeah im 6iine with the nine on the regular  niggas want war yeah kick the door yeah niggas want the sauce yeah shake em off yeah im still in the hood yeah cause of drugs yeah rollin through the city yeah with my niggas yeah niggas want that big splat i dont tictack rubber band click clack blow your shit back fetty at yo hot boy on my block boy roll up to the block make him diddy bop nigga  nigga we be busting on the ops on the regular nigga we be ducking from the cops on the regular bitches sucking dick and giving top on the regular shit thats on my wrist it cost a lot it aint regular nigga if you schemin for my spot it aint regular someone be controllin from the top on the regular you can get the money when you die it aint regular nigga with me ready to die on the regular pull up to the door yeah get on the floor yeah pull up we gon shoot checkin out the store yeah different colored coupes money on the floor yeah and i got the juice drippin drippin sauce yeah pull up to the door yeah get on the floor yeah pull up we gon shoot checkin out the store yeah different colored coupes money on the floor yeah and i got the juice drippin drippin sauce yeah and they know what were all about  drip til we stop let a nigga drip in his socks makin money flip for the mob  fuck it up i fuck it up hum yeah smack a lot i smack a lot hum yeah i hit it on the tour bus hum yeah if im a player you a slut ooh yeah i told my 38 i love you that my baby when i pull up she pull up too see the hermes on the  ooh then i light a band on the duffle ooh yeah leave em wetter make it rain nigga put the thirty to your motherfuckin brain nigga uh i run around with the same niggas same niggas thatll take a nigga chain nigga,0.03783783783783783
2/10/18,Emoji A Chain,Migos,87,0,1,87,New,,"[u'pop', u'rap', u'trap music']",,0.333,0.126,139.965,0.175,0.0348,0,4,0.891,1,315185,-8.316,0.381,1,if young metro dont trust you ima shoot you  hey i count the guwop count count set up shop oh oh fuck the cops fuck 12 we aint worried not at all diamonds diamonds on my wrist look like mcflurrys oh lord and these thotties aint got manners slurpin  ice out the gang make an emoji a chain hey ice out the gang make an emoji a chain whoo put on the patek changing the weather the shit turning into the rain rain put on the patek changing the weather the shit turning into the rain ice out the gang make an emoji a chain hey ice out the gang make an emoji a chain whoo put on the patek changing the weather the shit turning into the rain rain put on the patek changing the weather the shit turning into the rain  niggas out here aint got stain yeah making this money been balling on niggas they think ive been sounding too lame pull up and what the fuck nigga thats strange what the fuck water on my neck and my wrist splash splash look at this fluid splash 200 sit on my dash smash 12 ima lose em hot commodity the dope on hot commodity the drop is on fire im at the top and i took your slot you niggas aint hot cold go to the lot and drop i want the drop robot niggas gon talk and pop you get shot out your socks what you want lil mama go head and fuck on my partner comfort your head like a liner white these diamonds albino wrapping the brick like a gyro migo gang cinco de mayo  hey i count the guwop count count set up shop oh oh fuck the cops fuck 12 we aint worried not at all diamonds diamonds on my wrist look like mcflurrys oh lord and these thotties aint got manners slurpin  ice out the gang make an emoji a chain ice out the gang make an emoji a chain put on the patek changing the weather the shit turning into the rain put on the patek changing the weather the shit turning into the rain ice out the gang make an emoji a chain ice out the gang make an emoji a chain put on the patek changing the weather the shit turning into the rain put on the patek changing the weather the shit turning into the rain  flipping the bird i put a brick in her purse these niggas evil a curse i pray and send em to church ima pull up on your turf im with the smoking who get it first no addy but ima learn i aint been hurt since birth i know my rights and worth birds and gerald lavert australia the plug at work he came from sydney but i was in perth she pull up on me a curve hop in the rolls and swerve the watch two tone its white and red so much water ima have to learn how to surf surf  hey i count the gwap count count set up shop oh oh fuck the cops fuck 12 we aint worried not at all diamonds diamonds on my wrist look like mcflurrys oh lord and these thotties aint got manners slurpin  ice out the gang make an emoji a chain ice out the gang make an emoji a chain put on the patek changing the weather the shit turning into the rain put on the patek changing the weather the shit turning into the rain ice out the gang make an emoji a chain ice out the gang make an emoji a chain put on the patek changing the weather the shit turning into the rain put on the patek changing the weather the shit turning into the rain  you cant get a bag makin me laugh hah my hips i gucci my belt makin an emoji my whip emoji huncho barbarian mclaren i park at fifs and the comparison im staring at lines of shrimps cruise of course like a blimp dunking a boat like im kim slangin the tree like a chimp shot on me walk with a limp niggas so dont attempt ice on change the temp no sense bangin them dont let strangers in twist your fingers in gangsters shit begin used to get in and kickin the doors and now i want the back end used to sleep on metros floors fuckin a bitch and her friend waking them up with a text say hoe let your day begin  hey i count the gwap count count set up shop oh oh fuck the cops fuck 12 we aint worried not at all diamonds diamonds on my wrist look like mcflurrys oh lord and these thotties aint got manners slurpin  ice out the gang make an emoji a chain ice out the gang make an emoji a chain put on the patek changing the weather the shit turning into the rain put on the patek changing the weather the shit turning into the rain ice out the gang make an emoji a chain ice out the gang make an emoji a chain put on the patek changing the weather the shit turning into the rain put on the patek changing the weather the shit turning into the rain,-0.17604166666666668
12/30/17,Untouchable,eminem,86,0,1,86,New,,"[u'detroit hip hop', u'g funk', u'hip hop', u'rap']",rap,0.889,0.133,85.803,0.413,0.0829,0,4,0.641,7,370133,-3.39,0.634,1,hands up officer dont shoot then pull your pants up promise you wont loot we may never understand each other its no use we aint ever gonna grasp what each other goes through  black boy black boy we aint gonna lie to you black boy black boy we dont like the sight of you pull up on the side of you window rolled down profile then we wonder why we see this side of you probably comin from the dope house we could let you slide but your tail light is blew out we know youre hidin that heidi klum on you another drug charge homie its back inside for you and just in case a chase might ensue we got that tried and true pistol drew right at you wed be delighted to unload it in your back then walk up and lay that taser on the side of you fucked up but what the fuck am i to do i keep tellin myself keep doin like youre doin no matter how many lives you ruin its for the red white and blue time to go find a new one and split his head right in two no ones ever indicted you  why cause youre a  white boy white boy youre a rockstar my momma talkin to me tryna tell me how to live white boy white boy in your cop car but i dont listen to her cause my head is like a sieve white boy white boy youre untouchable  the worlds coming to an end i dont even care nobody can tell me shit cause im a big rockstar  black boy black boy we dont get your culture and we dont care what our governments done to fuck you over man dont tell us your attitudes a result of that balderdash whered you get the chip on your shoulder at why you kicking that soda can pull your pants up we bout to roll up and throw your ass in the van cuffed you dont have to know our plans or what our intentions are our cards are close to our chest you better show your hands and put our minds more at ease or get shot in the thyroid comply or die boy were fightin a crime war here come the swine tryna clean up the streets from all these minorities thats what we call em pigsties for theyre like eyesores to police talk to you like just a piece of trash feels like were stuck in a time warp to me as i kick these facts and get these mixed reactions as this beat backspins its like were drifting back in to the sixties having black skin is risky cause this keeps happening throughout history  africanamericans have been treated like shit  and i admit there have been times where its been embarrassin to be a  white boy white boy youre a rockstar  my momma talkin to me tryna tell me how to live  white boy white boy in your cop car  but i dont listen to her cause my head is like a sieve  white boy white boy youre untouchable the worlds coming to an end i dont even care nobody can tell me shit cause im a big rockstar  seems like the average lifespan of a white man  is more than twice than a black life span  i wonder sometimes if it has a price scanner i feel like checking out on life cant escape this circumstance id rather hear em say die nword than die antwoord ninja now its better disguised banter but thats life strapped cause were strapped financially and cant find answers were applying but mcdonalds seems to be the only franchise thatll hire so how can we have higher standards as dallas overshadows the battle for black lives matter we fight back with violence but acts like that are black eyes on the movement which makes black lives madder at cops and cops madder thats why its at a stalemate cant arrive at a compromise so its black ops i wonder if we hire more black cops the crap stops the block is our backyards officers not the crack spot call the attack dogs off of us man you always act all pissed off at us at a traffic stop and bad cops fuck it up for the good cops and man stop sendin white cops in the black neighborhoods who aint acclimated to em like thats the way to do it who seen some fuckin videos of rappers waving guns and know nobody black so they act afraid of us and thats racism the fear that a black face gives em a subconscious racist wait why are there black neighborhoods cause america segregated us designated us to an area separated us sectioneightd us when we tear it ups the only time attentions paid to us and education sucks and every days another freddie gray for us a levy breaks or fuzz  why is it they treat us like dryer lint we just want a safe environment for our kids but cant escape the sirens dont take a scientist to see our violent nature lies in the poverty that we face so the crime rates the highest in the lowest classes its like a razor wire fence and were trapped in these racial biases that plague our society which makes our anxiety levels raise every time we see a devils face lions tigers and bears oh my its more like billy clubs and gats and we really love it when you think were guilty šcause were black but you kill each other facts you peel each others caps for silly stuff like hats single mother strugglin through substance abuse while people with nothin to lose shoot each other for shoes fuck your republican views pull ourselves up by our bootstraps where the fuck are the boots and streets act as a narrator dont gotta read comics or be that into characters just to see that just to be black you better be strapped with a derringer or be capped in america like steve rogers cause no one oversees these cops and all we see is em beat charges we done seen em beat rodney king unconscious and got off so we dont need all you crooked police officers peace offerings just keep marchin til we reach congress but theyre gonna say youre tryin to take an irrational stance if you try to slander the flag but somebody has to be the sacrificial lamb so they call it a kaepernick tantrum if you dont stand for the national anthem we raise it you better praise it or youll be made to feel like a traitor well treat you like rodney dangerfield home of the brave is still racist ville so this whole nation feels like a plantation field in a country that claims that its foundation was based on united states ideals that had its natives killed got you singin this starspangled spiel to a piece of cloth that represents the land of the free that made people slaves to build,-0.012208822923108638
9/30/17,Magnolia,playboi carti,29,60,20,63,-3,,"[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music', u'underground hip hop', u'vapor trap']",rap,0.586,0.46,163.029,0.29,0.012,0,4,0.791,11,181812,-7.372,0.413,0,yo pierre you wanna come out here  in new york i milly rock hide it in my sock running from an opp then i shoot at opp and im on the block and im on the block in new york i milly rock hide it in my sock hide in my sock selling that rerock  in new york i milly rock hide it in my sock used to sell rerock running from the cops shooting at the opps yo pierre you wanna come out here shooting at the opps cause i run they block gimme top top in my drop top all these hoes gon flock flock when i drop drop all these hoes gon flock flock when i drop drop all these hoes gon flock flock when i drop  woo woo woo woo woo woo woo woo woo all these hoes want cash all these hoes want bags fucking on yo bitch uh im her dad all these niggas sound like cash sound like cash im a soldier damn i thought i told you shootin like a soldier like im from magnolia all these niggas all these foes big bank never fold sippin ac man that shit slow me bitches on me say she like my clothes im in london young carti global designer is on me call it dirty laundry all these bitches want young carti young carti yeah young carti young carti what young carti young carti yeah all of your bitches they loose all of your bitches they loose all of my bitches is rich and they stay rockin that rick huh rich bitch cash carti bitch rich bitch got a rich clique she suckin on the clique she suckin on the dick give that hoe a tip told her buy some kicks then i brush my teeth pop up in a whip glocky in the whip glocky in the whip and im cocky fuckin on a thotty she just wanna top me bitch cant stop me im riding in a mase this aint even my mase oh thats not yo thotty yo bitch look like a aunty walked in with ashanti damn that look like carti damn that look like carti i think dat be young carti heard he spent a hunnid on a fucking watch piece thats filthy  in new york i milly rock hide it in my sock running from an opp then i shoot at opp and im on the block and im on the block in new york i milly rock hide it in my sock hide in my sock selling that rerock in new york i milly rock hide it in my sock use to sell rerock running from the cops shooting at the opps yo pierre you wanna come out here,0.06567599067599067
9/2/17,Slippery,migos,29,37,21,46,-9,,"[u'pop', u'rap', u'trap music']",rap,0.674,0.104,141.967,0.264,0.307,0,4,0.92,1,304041,-5.662,0.741,0,pop a perky just to start up pop it pop it pop it two cups of purple just to warm up two cups drank i heard your bitch she got that water splash drip drip woo splash slippery scuse me please me please arm up or believe me believe me believe me get beat cause im flexin raris skrt you can bet on me skr skr  hey hey hey tater tot fuck niggas on my radar watch watchin crocodile hunter turn em to some gator shots urr iced out watch ice ridin round ten o clock ten ridin round geeked up damn think its three o clock three four o clock four five o clock six o clock five im gon pop if i dont im back to the pot whip i got rocks rocks big bales big arms bales tommy gun come out and play lets have fun yeah big scales scales fishscale big weight fish iceberg ice ice tray ice tray woo plug called called tried to front i dont need it brrt i dont need it brrt pockets strong wrist anemic strong get freezy freezy young nigga pay your debtis debtis grandma grandma auntie ab and auntie neesa neese uncle bo auntie greta serve ya perkys greta auntie eva she got a pound she might just serve it serve  pop a perky just to start up  pop it pop it pop it two cups of purple just to warm up  two cups drank i heard your bitch she got that water splash drip drip woo splash slippery excuse me please me please arm up or believe me believe me believe me get beat cause im flexin raris skrt you can bet on me skr skr   offset hey hey hey slippery she numbin me that tongue on me honestly honest she fuck with me a wife to be wife in italy bought her a fur look like the wildebeest rarr just chill with me chill it is no worry it is a bill to me it aint nothin i pull up diablo i pull up with models i gave her her first philippe philippe we goin full throttle she swallowed the bottle im all in her ovaries ahh i gave her some dollars i guccid her collar now she cant get over me hey she wanna dose of me dose just hop in the ghost with me ghost perky and molly dont vote for nobody these bitch ass niggas aint solid solid run in your house and with pumps and the shotties your mom might be up inside it bah cars robotic bad bitch with a body but really dont care nothing about it uhuh cappin and poppin i seen that lil masi i coulda pulled up and just shot ya  brrt its a jungle i let off some fire some fire   pop a perky just to start up  pop it pop it pop it two cups of purple just to warm up  two cups drank i heard your bitch she got that water splash drip drip woo splash slippery excuse me please me please arm up or believe me believe me believe me get beat cause im flexin raris skrt you can bet on me skr skr  i rock water diamonds im drippin but not slippin i threw a quarter well damn but no im not trippin bugatti on forgis and nawl im not crippin i buy ferraris like jordans im mike and yall pippen chillin just me and my millions niggas they all in they feelins my bitches i spoil them like children so persistent if i want it i go get it im so slimy grimy sheisty but still shining rude and unkindly cruel with no conscious drop the top on college nigga i aint with no nonsense and im a murderer nigga but i dont promote violence   dead shot brrt ak make your head rock brrt red dot retro 8 jordan they in stock lean on rocks act perkys mollies xannies rocks roxies oxycontin oxyies takeoff im your med doc takeoff leg lock leg the key i got unlock the box box whats in that box huh dont tell em they might show the cops shh wrist watch bite abnormal so i flood the clock ice money flop panties drop thats when them titties pop woo free my partners john wicc til they free its fuck the cops fuck em they know i geek a lot they dont know i keep a glock clueless aint been no drought where they think i been sleep a lot they think im dumb dumb they dont know i see the plot see it fuck it i seize a knot   pop a perky just to start up  pop it pop it pop it two cups of purple just to warm up  two cups drank i heard your bitch she got that water splash drip drip woo splash slippery excuse me please me please arm up or believe me believe me believe me get beat cause im flexin raris skrt you can bet on me skr skr hey hey hey,0.016287878787878792
8/12/17,1942 Flows,meek mill,83,0,1,83,New,,"[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",rap,0.628,0.091,121.307,0.327,0.0515,0,5,0.63,2,282667,-4.016,0.266,1,started off poor with plans to earn more now we own stores and fuck the baddest whores i was on tour with niggas that sold raw started sellin white we wont sell it no more im like trump aint feelin us cops still killin us niggas takin shots cant stop me they aint real enough cut her off act like shes dead and its killin her new dawn hermes seat i let the ceiling up just to get to kill em softly ooh get them off me try to crucify me like im jesus the way she cross me im too bossy and too thorough to move like a weirdo on point like an arrow we started off with zero now im seeing ms diamonds like water and they jumping out the gym shooting like harden if your head was the rim cause niggas wanna line me like a shape up in the trim damn   back when i was broke they was cool with it now every move i make im in the news with it even if i aint do it they be like you did it my teacher always used to tell me you gon lose nigga thats why i never went to school nigga and why im rappin like i got something to prove nigga went and bought the mansion with the pool in it billy with the stamp i get two with it    move with it cause these niggas wanna take my life no weapon formed against me every time i pray at night scoopin thotties in the phantom thats the way of life and make them fuck their best friends like they was dykes reaching for the glock every time i play the light im on 12 oclock every time i play them bikes im with the pack huh getting back yeah spend dope nigga selling smack gang im gettin chips off music like rap snacks yeah 10 mil in cash of ethika thats a fact money power respect eating breakfast on a jet i know these niggas upset they aint see me fall yet wins and losses   they wanna see me fall and i will never sell my soul im on some shit that they aint seen before dream chasin catchin all my goals i dont need these hoes im gettin money me and all my woes play with me you know is all out war the young niggas goin all out for us     bloggers in the frenzy truck to the bentley aint doing no interviews im busy nigga we litty so when you see me out dont ask me about no nicki fuck i look like tellin my business on wendy niggas gossip like queens we was servin fiends 40 bust your windows out jazmine sullivan they told em pop mollys i told em to be kings sipping 1942 like its lean i done seen all these niggas try to down play my dreams so ima give it to em every time im on the scene pull up ghost ghost wraith wraith when you see me some suckers wanna be me and some suckers wanna live me i know it i go through it dont show it i told niggas who wrote it aint taking back what i quoted started off with a quarter flipped that to a half turned that to an ounce got some shit in the stash nigga say that he gon rob me put a brick on his ass now every killer in my city tryna look for his ass and one thing bout meek milly ima get to a bag had to starve all day just to get to it fast like ramadan totin ks like its palestine real niggas in my ambiance bottom line ever since i met ross and signed a dotted line i gave my mama ten thousand at least a thousand times do the math on it     they wanna see me fall and i will never sell my soul im on some shit that they aint seen before dream chasin catchin all my goals i dont need these hoes im gettin money me and all my woes play with me you know is all out war the young niggas goin all out for us   talking this my cocky flow damn daniel why you selling mr miyagi though this that rose gold patek call me like 94 mean nothin to me i tell how i gotta go rain slick on that corner when the block was slow everybody was tryna trap we started poppin though heard that bitch say she cut me i was like adis in the field knock em down it look like dominoes young nigga i turn my impala to a wraith when you get a dollar they gon hate bought my mom the crib with that gate private school for all them babies now they straight nigga   they wanna see me fall and i will never sell my soul im on some shit that they aint seen before dream chasin catchin all my goals i dont need these hoes im gettin money me and all my woes play with me you know is all out war the young niggas goin all out for us,-0.022881661162911165
7/22/17,Who Dat Boy,"tyler, the creator",87,0,1,87,New,,"[u'hip hop', u'rap']",rap,0.485,0.122,115.414,0.331,0.337,0,4,0.706,8,205093,-9.671,0.144,1,yo who dat boy who him is him that nigga i swear stand out guy him dont need no chair well where the fuck him at cause nigga im right here i dont shop at the mall all yall just dumb mothafucka im a goddamn artist you can give me some markers and ill draw you a closet and you know that its golf bitch gone and make the deposit nigga fresh to death like he got dressed in a coffin cons overalls and a striped shirt the boy drip swag like a broken faucet its runnin nigga im runnin shit that cherry be the bomb like he ran in boston wont stop til the cops surround him one nigga jiggy and the other awesome with his fuckin face blown off thats how they found him its young t  who dat boy who him is who dat boy who him is nigga who dat boy who him is who dem boys nigga who dem is nigga why you niggas feel like that mad cause a nigga neck chill like that mad cause a nigga push wheel like that why you puttin bad vibes in the air like that  nigga who dem boys who dem is nigga who dem is who else step in this bitch this jig who else your bitch say got a bick this big who else came through with a wrist this flick nigga guess my pants do my dance spin around bitch you could kiss my ass never seen a nigga in this much raf still doin math when i miss my class was it summertime 06 had the number nine nigga never mind was another time before vince had the gucci gold tips with the letterman nigga dollar sign was my favorite number at the time fresh freshmen til they skip my ass senior citizen dont forget my pass been that nigga and you knew that there make the dick disappear how she do that there  who dat boy who him is who dat boy who him is nigga who dat boy who him is who dem boys nigga who dem is nigga why you niggas feel like that mad cause a niggas neck chill like that mad cause a nigga push weight like that why you puttin bad vibes in the  fuck the rap im tryna own a planet from my other fuckin business ventures these niggas these days actin like some bitches like theyre fuckin with ya yeah teeth is glistenin jesus christmas he just shittin she exquisite bitches be expensive oh no nigga and i dont even need attention wangap on the bumper sticker fuck you niggas fuck global warming my neck is so fro im currently lookin for 95 leo my mom say she worried because im so ill i should stay in bed but got too much bread to make she said watch my weight so i stayed home and start eatin some meals get out of my way way boy thats mclaren thats 0 to 60 in 2 point nueve im gone,-0.12062211981566817
7/15/17,Good Drank,2 chainz,70,70,16,97,-27,,"[u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",rap,0.779,0.121,130.002,0.224,0.279,0,4,0.834,4,222707,-1.075,0.391,0,yeah used to treat my mattress like the atm yeah bond number 9 thats my favorite scent yeah cant forget the kush im talking og oh yeah rest in peace to pop he was an og oh yeah 285 i had that pack on me uh i can not forget i had that strap on me yeah rest in peace to my nigga doe all he ever want to do is ball that was the easy part we playing that weezy hard we sit in the kitchen late we tryna to make an escape trying to make me a mil so imma keep me a plate i told em shawty can leave so imma keep me a rake so imma keep me a wraith my jewelry look like a lake today im in the maybach and that car came with some drapes you know i look like a safe i put you back in your place i look you right in your face sing to your bitch like im drake yeah   good drank big knots good drugs i put a four on the rocks drop top no hot box 12 tried to pull me over pink slips to the cops she said the molly give her thizz face put the dick in her rib cage whips out kunta kinte diamonds clear like bombay take your babies no harambe play with keys like doc dre 3k like andr need a girl call her come through  your trunk in the front well check this out my top in the trunk you play with my money then check this out your pop in the trunk three mil in a month but i just did three years on a bunk oh you in a slump im headed to oakland like kevin durant what is your point square with the stamp for kevin durant lay on on my trap play with my cap and ill knock off your hat im taking the cheese and killing the rats gucci mane call me the cat with the rat im swervin but im in back of the back im persian man i got hoes from iraq im servin i pay a bird for that he nervous i aint got no word for that he heard and want all of his purses back he mixing the seal with the percocets she perfect and she got perky breasts i just want some of that turkey neck trapper of the year im from boulder crest you snitch of the year cause you told the best   good drank big knots good drugs i put a four on the rocks drop top no hot box 12 tried to pull me over pink slips to the cops she said the molly give her thizz face put the dick in her rib cage whips out kunta kinte diamonds clear like bombay take your babies no harambe play with keys like doc dre 3k like andre need a girl call her come through   aye mike dean this shit hard as fuck bruh you a living legend i appreciate that aye guwop im glad you home cuz quavo you already know man you got next on these niggas double salute man true shit 2 chainzzzz hair weave killer daniel son the necklace don chapo jr,0.17876984126984122
6/24/17,Met Gala,gucci mane,88,88,2,92,-4,,"[u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",rap,0.587,0.185,140.062,0.108,0.052,0.00165,4,0.817,2,209143,-6.502,0.352,1,hey southside wizop offset if young metro dont trust you im gon shoot you woo  mil in a week hey i bought a iced out phillipe ice yeah playin for keeps keeps suck the dick game she a leech leech came in the game with a key key my pockets blew up monique monique ooh she got that perfect physique ooh ill tape a brick to her cheeks brick now that im gettin this money im fuckin these thotties they tryna get come up come up this is good week we stackin up ms and im snatchin that wraith in the mornin wraith i was that nigga locked up in the cell and they treated me like i was normal normal thankin the lord for them blessings i just let the met gala dressin up formal formal  look at my boogers they big as you booger you could get shot with your nigga too bow this stick make a nigga do boogaloo brr bentley mulsanne but this is masseuse skrt im havin more stripes than adidas boosts havin that dick in her mouth like im edible dickin that nigga stop shootin you better move brr i fight for my gang i wont let em lose gang your bitch she wantin the pipe aight this shit started off lice huh hopped in my dm and rode me a kite flight yeah and she on the very first flight go finesse a nigga then get this shit right huh on sight right nigga goodnight on sight poppin that shit cause he thinkin he pipe pipe hunnid rounds drum with the knife brr me and the wop biggie and pac wop but we so different we keepin the glock bow im on a yacht and a yacht on my watch yacht fuckin a thot on the ocean dubai thot ima play dumb but thats see out the plot plot she know what im bout hey you hear this dope and your heart gonna stop hey they callin the cops 12 hop on the jet this a 20 passenger jet offset the mania im the massacre hey i take your heart out and shoot your bladder up agh get to the top and we blew the ladder up top ran up my money and im talkin lateral bag had that bitch high off a perc and adderall high pull out the fire and you better grab it all brrr bitch im offset and im bout to set it off hey hey  mil in a week hey i bought a iced out phillipe ice yeah playin for keeps keeps suck the dick game she a leech leech came in the game with a key key my pockets blew up monique monique ooh she got that perfect physique ooh i tape a brick to her cheeks brick now that im gettin this money im fuckin these thotties they tryna get come up come up this is good week we stackin up ms and im snatchin that wraith in the mornin wraith i was that nigga locked up in the cell and they treated me like i was normal normal thankin the lord for them blessings i just let the met gala dressin up formal formal  im havin this shit what you hadnt havin it showin respect like your daddy respect yeah gucci the man cash in the caddy guwop i just woke up in a palace woo i did a walk through im in dallas man walk through flew in two bitches from cali pew these bs on me i cant barely b they drunk and they just walkin barely im headed to paris to pick up a bag go go go and they treat me like one of the jacksons these niggas aint trippin they makin transactions nah a nigga rob you you be practicing bow four bitches all tryna swallow this i feel like im fightin an octopus woo thought it was killers camped out in my bushes brr then come to find out its photographers flash feds watch me through binoculars feds mad cause a nigga get popular grr flex on a hoe wanna lock me up yo flex drop top wop but the top is up skrt skrt negative turn to a positive woo woo woo i dont care for no obstacles i could care less bout the bloggers boy no 80k stuffed in my joggers boy 80 boy  mil in a week hey i bought a iced out phillipe ice yeah playin for keeps keeps suck the dick game she a leech leech came in the game with a key key my pockets blew up monique monique ooh she got that perfect physique ooh i tape a brick to her cheeks brick now that im gettin this money im fuckin these thotties they tryna get come up come up this is good weed we stackin up ms and im snatchin that wraith in the mornin wraith i was that nigga locked up in the cell and they treated me like i was normal normal thankin the lord for them blessings i just let the met gala dress up formal formal,0.09821881149153878
6/3/17,Both,gucci mane,41,43,22,44,-1,,"[u'dirty south rap', u'hip hop', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",rap,0.405,0.0707,139.976,0.225,0.119,0.000118,4,0.85,7,190312,-7.509,0.344,0,southside if young metro dont trust you im gon shoot you  i got so many felonies i might cant never go to canada but drake said he gon pull some strings so let me check my calendar i just popped one of them one whatyoucallits and it boosted my stamina now im fucking her on the banister guess i just east atlantad her im in an all red drop tarantula fuck a challenger damn these hoes aint got no manners bruh wheres the manager i keep throwing rubber bandies up ho pull your panties up cause you fuck like a granny fuck youre just an amateur this petite philipe gon make this crooked judge try throw the book at me i look like half a million worth of heroin when she look at me but you aint gotta fuck with me my nig but youre stuck with me but how you called the cops on me my nig you grew up with me  i dont usually do this unless im drunk or im high but im both right now got me talking about my life i dont usually do this unless im drunk or im high but im both right now i dont usually do this unless im drunk or im high but im both right now and i need ya in my life i dont usually do this unless im drunk or im high but im both right now  yeah im both yeah i had a drink yeah i smoked yeah you think i need you but i dont just left out dubai with all my folks open water my location is remote shout out yachty but this aint a lil boat this some shit i wrote up back when i was broke see the power of the mind is not a joke man i said that i would do it and i did used to get leftovers out the fridge nobody was famous where i lived till i got it jumping at the crib took a lot to be able to give i mean  i dont usually do this unless im drunk or im high but im both right now got me talking about my life i dont usually do this unless im drunk or im high but im both right now i dont usually do this unless im drunk or im high but im both right now and i need ya in my life i dont usually do this unless im drunk or im high but im both right now  southside,-0.07237408424908424
