Politician,negative,positive,Word Count
AOC,140.81600000000003,267.8120000000001,74520.0
Barack Obama,125.16500000000002,402.6519999999996,48268.0
Bernie Sanders,416.9560000000002,588.0500000000004,151400.0
Donald Trump,445.8899999999998,785.6200000000001,155478.0
House of Democrats,186.8959999999997,317.57999999999953,66690.0
House of Republican,123.70000000000006,334.05600000000015,59712.0
Joe Biden,161.24999999999986,433.1960000000005,76242.0
Liz Cheney,226.95800000000006,592.3799999999998,61020.0
Marco Rubio,550.328,641.5360000000002,213902.0
Mike Pence,87.16800000000002,652.6100000000004,64116.0
Senate of Democrats,112.00400000000009,142.00999999999993,46372.0
Senate of Republican,133.814,558.6399999999999,89224.0
Senator Warren,620.0860000000006,641.2539999999998,183896.0
Ted Cruz,109.62999999999998,419.59399999999977,73786.0
