year,Bernie_Sanders,Donald_Trump,House_of_Democrats,House_of_Republican,Joe_Biden,Liz_Cheney,Marco_Rubio,Mike_Pence,Senate_of_Democrats,Senate_of_Republican,Senator_Warren,Ted_Cruz
2007-10,0,0,0,0,0.4939,0,0,0,0,0,0,0
2007-12,0,0,0,0,0.7351,0,0,0,0,0,0,0
2012-02,0,0,0,0.041207143,0,0.041207143,0,0,0,0,0,0
2012-03,0,0,0,0.165633333,0,0.165633333,0,0,0,0,0,0
2012-04,0,0,0,0.37425,0.18604,0.37425,0,0,0,0,0,0
2012-05,0,0,0,0.173141667,0.229615094,0.173141667,0,0,0,0,0,0
2012-06,0,0,0,0.132928571,0.195043333,0.132928571,0,0,0,0,0,0
2012-07,0,0,0,0.37519,0.166675309,0.37519,0,0,0,0,0,0
2012-08,0,0,0,0.3148875,0.13266,0.3148875,0,0,0,0,0,0
2012-09,0,0,0,-0.175886957,0.161648193,-0.175886957,0,0,0,0,0,0
2012-10,0,0,0,-0.186126667,0.170229947,-0.186126667,0,0,0,0,0,0
2012-11,0,0,0,0.228557143,0.212281667,0.228557143,0,0,0,0,0,0
2012-12,0,0,0,0.122533333,0.07215,0.122533333,0,0,0,0,0,0
2013-01,0,0,0,0.076538462,0,0.076538462,0,0,0,0,0,0
2013-02,0,0,0,0.027766667,0,0.027766667,0,0,0,0,0,0
2013-03,0,0,0,0.1921,0,0.1921,0,0,0,0,0,0
2013-04,0,0,0,0.184461538,0,0.184461538,0,0,0,0,0,0
2013-05,0,0,0,-0.067264706,0,-0.067264706,0,0,0,0,0,0
2013-06,0,0,0,0.122892857,0,0.122892857,0,0,0,0,0,0
2013-07,0,0,0,0.53393,0,0.53393,0,0,0,0,0,0
2013-08,0,0,0,0.382026316,0,0.382026316,0,0,0,0,0,0
2013-09,0,0,0,-0.09177,0,-0.09177,0,0,0,0,0,0
2013-10,0,0,0,0.19077,0,0.19077,0,0,0,0,0,0
2013-11,0,0,0,0.34381,0,0.34381,0,0,0,0,0,0
2013-12,0,0,0,0.1212,0,0.1212,0,0,0,0,0,0
2014-01,0,0,0,0.38915,0,0.38915,0,0,0,0,0,0
2014-02,0,0,0,0.0605,0,0.0605,0,0,0,0,0,0
