Politician,Word Count,negative,neutral,positive,polarity
Bernie Sanders,47,0.103,0.73,0.167,0.6597
Bernie Sanders,27,0.2,0.8,0,-0.7184
Bernie Sanders,42,0,0.8,0.2,0.8042
Bernie Sanders,29,0.091,0.76,0.149,0.2244
Bernie Sanders,36,0.055,0.788,0.158,0.6486
Bernie Sanders,37,0.064,0.724,0.213,0.7777
Bernie Sanders,36,0.208,0.726,0.066,-0.7269
Bernie Sanders,34,0.071,0.668,0.26,0.802
Bernie Sanders,35,0.048,0.565,0.387,0.9274
Bernie Sanders,43,0.054,0.778,0.168,0.6908
Bernie Sanders,19,0,0.822,0.178,0.5994
Bernie Sanders,39,0,0.948,0.052,0.2732
Bernie Sanders,31,0.115,0.799,0.086,-0.2516
Bernie Sanders,31,0.15,0.677,0.173,0.2263
Bernie Sanders,45,0.432,0.549,0.019,-0.9729
Bernie Sanders,41,0.354,0.646,0,-0.9595
Bernie Sanders,10,0,1,0,0
Bernie Sanders,23,0.121,0.643,0.236,0.4939
Bernie Sanders,20,0.559,0.441,0,-0.9477
Bernie Sanders,20,0.143,0.857,0,-0.4588
Bernie Sanders,34,0.374,0.626,0,-0.9493
Bernie Sanders,40,0,0.931,0.069,0.3818
Bernie Sanders,28,0,0.7,0.3,0.8519
Bernie Sanders,25,0,0.902,0.098,0.34
Bernie Sanders,12,0,1,0,0
Bernie Sanders,15,0,0.663,0.337,0.7269
Bernie Sanders,23,0.228,0.772,0,-0.7351
Bernie Sanders,14,0,1,0,0
Bernie Sanders,40,0.053,0.947,0,-0.296
Bernie Sanders,11,0,1,0,0
Bernie Sanders,37,0.087,0.756,0.156,0.4435
Bernie Sanders,42,0,0.924,0.076,0.4939
Bernie Sanders,36,0.41,0.544,0.046,-0.9294
Bernie Sanders,31,0.127,0.789,0.085,-0.3595
Bernie Sanders,12,0.43,0.57,0,-0.7783
Bernie Sanders,26,0.276,0.724,0,-0.8126
Bernie Sanders,34,0,0.824,0.176,0.7506
Bernie Sanders,13,0.396,0.604,0,-0.5994
Bernie Sanders,42,0.212,0.616,0.172,-0.2263
Bernie Sanders,39,0,0.891,0.109,0.5267
Bernie Sanders,37,0,0.885,0.115,0.5267
Bernie Sanders,36,0.186,0.69,0.124,-0.4019
Bernie Sanders,28,0.088,0.912,0,-0.3612
Bernie Sanders,38,0,1,0,0
Bernie Sanders,31,0.362,0.638,0,-0.9217
Bernie Sanders,36,0.071,0.872,0.057,-0.128
Bernie Sanders,41,0.069,0.87,0.062,-0.0772
Bernie Sanders,41,0.172,0.618,0.21,0
