Political Affiliation,tweet,Politician,Word Count,created_time
Republican,"GREAT NEWS! This week, the Senate passed the bipartisan National Defense Authorization Act.

The #FY20NDAA secures the largest pay-raise in a decade for our brave men and women in uniform. https://t.co/XqHNXQzxiW",Senate of Republican,31,Jun 2019
Republican,"58 days.
 
81 efforts blocked in the House.
 
84 yea votes in the Senate.
 
0 time left to waste.
 
@SpeakerPelosi: Pass the Senate bill. https://t.co/35qSGbP7cT",Senate of Republican,25,Jun 2019
Republican,"✅ PASSED: The National Defense Authorization Act (#FY20NDAA).

This important legislation carries out one of Congress' most fundamental constitutional duties: keeping our nation safe in a dangerous world. https://t.co/YsWJCZp6x6",Senate of Republican,29,Jun 2019
Republican,".@HouseDemocrats: This crisis demands action. 

Pass the Senate bill. https://t.co/E8ZhrC7tVD",Senate of Republican,10,Jun 2019
Republican,"By an overwhelming 84-8 vote, the Senate just passed a strong bipartisan compromise that would begin to address the crisis at our southern border.
 
Now—after *two months* of obstruction—it’s time for @HouseDemocrats to do the same. https://t.co/oRpJwmAJ13",Senate of Republican,37,Jun 2019
Republican,We can't prepare for the conflicts of tomorrow with the weapons and equipment of yesterday. That's why the #FY20NDAA modernizes our military capabilities and solidifies our combat advantage. https://t.co/yV3RxkEaYl https://t.co/aLTKfnwj7c,Senate of Republican,30,Jun 2019
Republican,"There is a humanitarian crisis at our southern border. The President asked Congress to act eight weeks ago. The Democrats continue to play politics, but Republicans have been clear – this is a top priority. We need to resolve it now. - @SenJohnBarrasso https://t.co/rPaRlRq6Y3",Senate of Republican,44,Jun 2019
Republican,"The #FY20NDAA prioritizes quality of life for America’s troops and their families—including the largest pay-raise in over a decade.
 
The Senate should move quickly to pass this important, bipartisan national defense bill. https://t.co/yWeXs3hy7K",Senate of Republican,33,Jun 2019
Republican,"Iran’s recent aggression is a reminder of the need for a strong military to protect the American people.
 
The #FY20NDAA was approved by @SASCMajority with bipartisan support. 

The Senate should move quickly to pass this important national defense bill. https://t.co/netKtiC8Yv",Senate of Republican,40,Jun 2019
Republican,LIVE NOW: Senate Republicans speak to the press https://t.co/CKZxGlsAPx,Senate of Republican,9,Jun 2019
