,tweet
1,"NO American should worry about the cost of life saving health care. 

House Democrats are fighting for every family’s right to affordable, quality health care — regardless of race, gender identity, religion or zip code.

https://t.co/81P1Ad68yA"
2,"ALL American families deserve to live in safe communities. 

House Democrats have passed 2️⃣ #GunSafety bills to ensure our children’s safety for generations to come --but where are] @senatemajldr and Senate Republicans to do their JOB? 

https://t.co/wxfLonWL8c"
3,"A targeted attack on our democracy is no laughing matter. It’s a THREAT to our NATIONAL SECURITY 🛡️. That’s why @HouseDemocrats passed the SAFE Act - to safeguard election security and block foreign countries from casting their own ballots 🗳️

https://t.co/tXMJpaXaB6"
4,"House Democrats are FOCUSED on protecting our elections 🗳, advocating for federal workers 👩🏽‍💼, securing safe consumer products 📦, supporting small businesses 🧰 and assisting taxpayers 💰#ForThePeople. https://t.co/hMZh9fkWHC"
5,"Mental health care is health care. We must provide every American with FULL and EQUAL access to the resources they need. 

Thank you, @RepSusanWild, for your bravery and your fight #ForThePeople.

NEVER be afraid to ask for help: 1-800-273-TALK. https://t.co/WK5TIfRM43"
6,"The Trump administration has targeted our communities of color by adding the #CitizenshipQuestion to #Census2020.  

House Democrats will not rest until #WeCount every American regardless of race or zip code. https://t.co/NTlzXlRCY4"
7,"NOW is the time to prevent further harm from air pollution in our nation 🌎. 

House Democrats passed the #ClimateActionNow Act to help communities and future generations live in a clean and safe environment. https://t.co/WiX1OVjRE8"
8,"No child should be without soap and a warm bed. 

No child should be separated from their family.

House Democrats are working to assist the humanitarian crisis at our nation’s border. #ForThePeople https://t.co/y74oDny9yE"
9,"This nation is facing a humanitarian crisis at the southern border. 

That’s why House Democrats passed legislation to address this administration’s cruelty, indecency and inhumanity. #ForThePeople https://t.co/AVmzDpJ6mb"
10,"One person 🙋🏽‍♂️, one vote 🗳 — regardless of race, income or zip code. Full stop. 

House Democrats will not stop until the promise of our democracy is fulfilled for EVERY American. #ForThePeople https://t.co/GhdEohc1Mp"
11,"House Democrats Will. Not. Stop. 🗣️

This week alone, we’re addressing health care, voting rights, disaster relief, national security, immigration and MORE. 

This is what governing #ForThePeople looks like. https://t.co/bNmAr7Nvxf"
12,"House Democrats approved funding for gun violence research #ForThePeople because ALL American DESERVE safe communities.

https://t.co/3sn7tYry0n"
13,"The American people know that climate change is REAL. 

House Democrats #CantStopWontStop fighting to protect and preserve our world for future generations. 🌎

https://t.co/DJ3WjIKcsF"
14,"Title X provides millions of Americans with fundamental health care 👨🏽‍⚕️👩🏻‍⚕️ for family planning. 

House Democrats are ensuring ALL Americans -regardless of zip code- have the RIGHT to quality, affordable health care. #ProtectOurCare #ForThePeople 

https://t.co/uxM3fCUZ6o"
15,"#ShowYourStripes is a creative but alarming example of how climate change is affecting our Earth. 

Each stripe ➡️ represents how much the planet has warmed each year since 1850. 🚨

As the GOP attacks our environment, House Democrats are moving quickly to SAVE. OUR. WORLD. 🌎 https://t.co/l7nXVEy7Cx"
16,Happy first day of summer ☀️🏖🌴! https://t.co/IwUkBRrLBd
17,"Senseless gun violence rips through our communities far too often. The American people are demanding action. 

While Republicans REFUSE to act, House Dems are delivering solutions 📃 to keep our streets safe #ForThePeople. 
#WearOrange 

https://t.co/n2z9OAxv1z"
18,House Democrats are fighting to #ProtectOurCare #ForThePeople because every American should have FULL and EQUAL access to essential health care. https://t.co/zhOzg4FL1R
19,"Our diversity is our strength. 

Violence against one is violence against all. 

We MUST ensure that EVERY American feels safe and respected. #DiversityDay https://t.co/Vbw93iv1hj"
20,"As the only female doctor 👩🏼‍⚕️ in Congress, @RepKimSchrier is fighting tirelessly for the right to quality, affordable health care for Washingtonians and ALL Americans. #ForThePeople https://t.co/2OR4DEAWfH"
21,"American families DESERVE affordable and accessible health care. Full stop.

House Democrats remain focused on lowering prescription drug prices 💊, protecting those with pre-existing conditions 👩🏻👨🏽 and ensuring ALL Americans have quality health care 🏥. #ForThePeople https://t.co/o4PonpQzh0"
22,"We MUST protect our planet 🌎.

House Democrats have passed the #ClimateActionNow Act to ensure our environment is safe and viable #ForThePeople and future generations. 

https://t.co/CytxZwBadh"
23,"House Democrats are COMMITTED to creating jobs 💼, protecting the 2020 Census 📊, cleaning our environment 🌎 and restoring our nation’s infrastructure  🏗 #ForThePeople. https://t.co/767PzqGXyW"
24,"On this #Juneteenth, let us honor the brave African-Americans who fought for their overdue freedom. https://t.co/ivSTYAn17T"
25,"Health care is a fundamental American RIGHT. 

Easy access to high-quality, affordable health care remains our TOP priority. 

Although @senatemajldr brags about his “Legislative Graveyard,” House Democrats will continue working #ForThePeople. https://t.co/Ode03ACNVg"
26,"House Democrats are FOCUSED on the issues that matter to the American people. 

This week, we’re addressing health care, education, small business growth, poverty, criminal justice and more. 

And we're just getting started. #ForThePeople https://t.co/c1XOtaktl6"
27,"House Democrats CONTINUE to work #ForThePeople by passing bills to lower prescription drug prices 💊, protect voting rights 🗳️and clean up corruption in Washington 🇺🇸— but where is @senatemajldr to do his job? 

https://t.co/a1dsFug7SQ"
28,"⚡️ “House Democrats working hard #ForThePeople on #HealthCareWeekend” by @HouseDemocrats

https://t.co/wb3mq5aT80"
29,"House Democrats are laser-focused on the priorities of everyday Americans. In our 2020 funding bill, we are providing 💰for health care 💊, infrastructure 🏗️, education 📚, seniors 👵🏾, veterans🎖️, humanitarian assistance ⛑️ and national security 🇺🇸. #ForThePeople https://t.co/0GM7WJfHVp"
30,"House Democrats are working hard this weekend to #ProtectOurCare #ForThePeople. 

We will not stop fighting for the BASIC right of ALL Americans to have affordable and accessible health care. #HealthCareWeekend https://t.co/coTmaCmIRm"
31,"Today and every day, we honor the sacrifices of our nation’s fathers. We are inspired by their knowledge, strength and love. #FathersDay https://t.co/JD6mDg9qdC"
32,"Americans need both affordable + accessible healthcare solutions. Big Pharma raised prices on women’s birth control medicine by 5️⃣ %. 

House Democrats introduced the Affordability Is Access Act, ensuring non-prescribed birth control is covered by insurance companies.📃✔️ https://t.co/WNZ7RBi4Mf"
33,This #HealthCareWeekend of Action @HouseDemocrats are holding over 1️⃣0️⃣0️⃣ events nationwide! We have passed 1️⃣0️⃣ bills #ForThePeople aimed at lowering prescription drug prices and protecting Americans with pre-existing conditions. #ProtectOurCare https://t.co/uHr1cWeLR0
34,"Statesman. Advocate. Leader.

Happy birthday to our esteemed Majority @LeaderHoyer 🎉. https://t.co/sKAZC8yWfT"
35,"June 14th, 1777 our nation’s flag was adopted as a symbol of our unity, diversity and perseverance 🇺🇸. House Democrats continue to work every day by these key principles #ForThePeople. #FlagDay https://t.co/xdmfu3nQQd"
36,"Making history as New Hampshire’s first LGBTQ member of Congress, @RepChrisPappas continues advocating for equality in our military, protecting our climate and supporting small businesses. https://t.co/SGZztJM3yW"
37,"Health care is a human RIGHT. 

House Democrats will continue fighting #ForThePeople until every family has equal access and opportunity to affordable health care. https://t.co/KjaMQuUnLN"
38,"“The total firearm death rate increased 17 percent over the last decade.”

House Democrats passed the #BackgroundChecks Act and now we are voting to fund gun violence prevention research. We must protect our communities. Full stop. 

https://t.co/eCuPYI2C27"
39,"The fact that any American has to cross a border or turn to the streets for affordable life-saving medicine is a disgrace to our country. House Democrats have passed 5️⃣ key bills to lower the high cost of prescription drugs 💊 @SenateGOP DO. YOUR. JOB.

https://t.co/yITgQjJins"
