Political Affiliation,tweet,Politician,Word Count
Republican,"NO American should worry about the cost of life saving health care. 

House Democrats are fighting for every family’s right to affordable, quality health care — regardless of race, gender identity, religion or zip code.

https://t.co/81P1Ad68yA",House of Republican,36
Republican,"ALL American families deserve to live in safe communities. 

House Democrats have passed 2️⃣ #GunSafety bills to ensure our children’s safety for generations to come --but where are] @senatemajldr and Senate Republicans to do their JOB? 

https://t.co/wxfLonWL8c",House of Republican,37
Republican,"A targeted attack on our democracy is no laughing matter. It’s a THREAT to our NATIONAL SECURITY 🛡️. That’s why @HouseDemocrats passed the SAFE Act - to safeguard election security and block foreign countries from casting their own ballots 🗳️

https://t.co/tXMJpaXaB6",House of Republican,41
Republican,"House Democrats are FOCUSED on protecting our elections 🗳, advocating for federal workers 👩🏽‍💼, securing safe consumer products 📦, supporting small businesses 🧰 and assisting taxpayers 💰#ForThePeople. https://t.co/hMZh9fkWHC",House of Republican,28
Republican,"Mental health care is health care. We must provide every American with FULL and EQUAL access to the resources they need. 

Thank you, @RepSusanWild, for your bravery and your fight #ForThePeople.

NEVER be afraid to ask for help: 1-800-273-TALK. https://t.co/WK5TIfRM43",House of Republican,40
Republican,"The Trump administration has targeted our communities of color by adding the #CitizenshipQuestion to #Census2020.  

House Democrats will not rest until #WeCount every American regardless of race or zip code. https://t.co/NTlzXlRCY4",House of Republican,31
Republican,"NOW is the time to prevent further harm from air pollution in our nation 🌎. 

House Democrats passed the #ClimateActionNow Act to help communities and future generations live in a clean and safe environment. https://t.co/WiX1OVjRE8",House of Republican,35
Republican,"No child should be without soap and a warm bed. 

No child should be separated from their family.

House Democrats are working to assist the humanitarian crisis at our nation’s border. #ForThePeople https://t.co/y74oDny9yE",House of Republican,33
Republican,"This nation is facing a humanitarian crisis at the southern border. 

That’s why House Democrats passed legislation to address this administration’s cruelty, indecency and inhumanity. #ForThePeople https://t.co/AVmzDpJ6mb",House of Republican,27
Republican,"One person 🙋🏽‍♂️, one vote 🗳 — regardless of race, income or zip code. Full stop. 

House Democrats will not stop until the promise of our democracy is fulfilled for EVERY American. #ForThePeople https://t.co/GhdEohc1Mp",House of Republican,34
Republican,"House Democrats Will. Not. Stop. 🗣️

This week alone, we’re addressing health care, voting rights, disaster relief, national security, immigration and MORE. 

This is what governing #ForThePeople looks like. https://t.co/bNmAr7Nvxf",House of Republican,30
Republican,"House Democrats approved funding for gun violence research #ForThePeople because ALL American DESERVE safe communities.

https://t.co/3sn7tYry0n",House of Republican,16
Republican,"The American people know that climate change is REAL. 

House Democrats #CantStopWontStop fighting to protect and preserve our world for future generations. 🌎

https://t.co/DJ3WjIKcsF",House of Republican,24
Republican,"Title X provides millions of Americans with fundamental health care 👨🏽‍⚕️👩🏻‍⚕️ for family planning. 

House Democrats are ensuring ALL Americans -regardless of zip code- have the RIGHT to quality, affordable health care. #ProtectOurCare #ForThePeople 

https://t.co/uxM3fCUZ6o",House of Republican,35
Republican,"#ShowYourStripes is a creative but alarming example of how climate change is affecting our Earth. 

Each stripe ➡️ represents how much the planet has warmed each year since 1850. 🚨

As the GOP attacks our environment, House Democrats are moving quickly to SAVE. OUR. WORLD. 🌎 https://t.co/l7nXVEy7Cx",House of Republican,47
Republican,Happy first day of summer ☀️🏖🌴! https://t.co/IwUkBRrLBd,House of Republican,7
Republican,"Senseless gun violence rips through our communities far too often. The American people are demanding action. 

While Republicans REFUSE to act, House Dems are delivering solutions 📃 to keep our streets safe #ForThePeople. 
#WearOrange 

https://t.co/n2z9OAxv1z",House of Republican,35
Republican,House Democrats are fighting to #ProtectOurCare #ForThePeople because every American should have FULL and EQUAL access to essential health care. https://t.co/zhOzg4FL1R,House of Republican,21
Republican,"Our diversity is our strength. 

Violence against one is violence against all. 

We MUST ensure that EVERY American feels safe and respected. #DiversityDay https://t.co/Vbw93iv1hj",House of Republican,24
Republican,"As the only female doctor 👩🏼‍⚕️ in Congress, @RepKimSchrier is fighting tirelessly for the right to quality, affordable health care for Washingtonians and ALL Americans. #ForThePeople https://t.co/2OR4DEAWfH",House of Republican,27
Republican,"American families DESERVE affordable and accessible health care. Full stop.

House Democrats remain focused on lowering prescription drug prices 💊, protecting those with pre-existing conditions 👩🏻👨🏽 and ensuring ALL Americans have quality health care 🏥. #ForThePeople https://t.co/o4PonpQzh0",House of Republican,37
Republican,"We MUST protect our planet 🌎.

House Democrats have passed the #ClimateActionNow Act to ensure our environment is safe and viable #ForThePeople and future generations. 

https://t.co/CytxZwBadh",House of Republican,26
Republican,"House Democrats are COMMITTED to creating jobs 💼, protecting the 2020 Census 📊, cleaning our environment 🌎 and restoring our nation’s infrastructure  🏗 #ForThePeople. https://t.co/767PzqGXyW",House of Republican,25
Republican,"On this #Juneteenth, let us honor the brave African-Americans who fought for their overdue freedom. https://t.co/ivSTYAn17T",House of Republican,16
Republican,"Health care is a fundamental American RIGHT. 

Easy access to high-quality, affordable health care remains our TOP priority. 

Although @senatemajldr brags about his “Legislative Graveyard,” House Democrats will continue working #ForThePeople. https://t.co/Ode03ACNVg",House of Republican,32
Republican,"House Democrats are FOCUSED on the issues that matter to the American people. 

This week, we’re addressing health care, education, small business growth, poverty, criminal justice and more. 

And we're just getting started. #ForThePeople https://t.co/c1XOtaktl6",House of Republican,35
Republican,"House Democrats CONTINUE to work #ForThePeople by passing bills to lower prescription drug prices 💊, protect voting rights 🗳️and clean up corruption in Washington 🇺🇸— but where is @senatemajldr to do his job? 

https://t.co/a1dsFug7SQ",House of Republican,34
Republican,"⚡️ “House Democrats working hard #ForThePeople on #HealthCareWeekend” by @HouseDemocrats

https://t.co/wb3mq5aT80",House of Republican,11
Republican,"House Democrats are laser-focused on the priorities of everyday Americans. In our 2020 funding bill, we are providing 💰for health care 💊, infrastructure 🏗️, education 📚, seniors 👵🏾, veterans🎖️, humanitarian assistance ⛑️ and national security 🇺🇸. #ForThePeople https://t.co/0GM7WJfHVp",House of Republican,38
Republican,"House Democrats are working hard this weekend to #ProtectOurCare #ForThePeople. 

We will not stop fighting for the BASIC right of ALL Americans to have affordable and accessible health care. #HealthCareWeekend https://t.co/coTmaCmIRm",House of Republican,31
Republican,"Today and every day, we honor the sacrifices of our nation’s fathers. We are inspired by their knowledge, strength and love. #FathersDay https://t.co/JD6mDg9qdC",House of Republican,23
