,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Democrats,"I am so incredibly proud of @CabanForQueens - and EVERY single person who showed up for this election today.

No ma… https://t.co/cyZfvag3de",Alexandria Ocasio-Cortez,22,0.092,0.754,0.154,0.3551
1,Democrats,😎 https://t.co/p20O6WLNSe,Alexandria Ocasio-Cortez,2,0.0,1.0,0.0,0.0
2,Democrats,"Wayfair workers couldn’t stomach they were making beds to cage children.

They asked the company to stop. CEO said… https://t.co/bEG5kaGL6x",Alexandria Ocasio-Cortez,20,0.104,0.896,0.0,-0.296
3,Democrats,"It’s wild to think that Third Way has gotten along with its “sensible Dem” charade as long as it has.

I’ve met Tru… https://t.co/xDwRGYAu1g",Alexandria Ocasio-Cortez,24,0.0,1.0,0.0,0.0
4,Democrats,"Queens residents: Today is the day we vote for DA! 🌞🗳 

Communities win when we turn out in high numbers. Let’s get… https://t.co/R2EmnOCx2p",Alexandria Ocasio-Cortez,23,0.0,0.843,0.157,0.6239
5,Democrats,"Reminder: Caging kids is a for-profit enterprise, &amp; the people who profit off camps finance the political campaigns… https://t.co/GudAoqYleD",Alexandria Ocasio-Cortez,19,0.0,0.854,0.146,0.4404
6,Democrats,"I’ll never forget this, because it was the moment I saw with my own eyes that the America I love was becoming a nat… https://t.co/fbbgzGxfZN",Alexandria Ocasio-Cortez,25,0.0,0.773,0.227,0.7065
7,Democrats,"Yes, the treatment is bad - but the one thing I’ve learned about the right is that they’re all bark.

They stomp, t… https://t.co/H0d40E6i3J",Alexandria Ocasio-Cortez,24,0.09,0.837,0.074,-0.1027
8,Democrats,"If you doubt it, here’s the original tweet. This is a deliberate, intentional, wild jump made by Republicans (frank… https://t.co/Z0mXEYgRL6",Alexandria Ocasio-Cortez,20,0.115,0.78,0.106,-0.0516
9,Democrats,Reminder: the member who directly + explicitly compared concentration camps on our border to the Holocaust was *Liz… https://t.co/FnJG0Fd3qA,Alexandria Ocasio-Cortez,19,0.0,1.0,0.0,0.0
10,Democrats,"The student loan crisis is keeping people from:
📈 Becoming teachers &amp; other public careers
📈 Buying homes &amp; large p… https://t.co/8sBYIZf7vA",Alexandria Ocasio-Cortez,22,0.177,0.823,0.0,-0.6249
11,Democrats,"Student loans are a scam.

That’s why I join @BernieSanders, @RepJayapal &amp; @IlhanMN to forgive ALL student loans AN… https://t.co/DvzrclVTRs",Alexandria Ocasio-Cortez,20,0.161,0.652,0.187,-0.1027
12,Democrats,"We’re just a couple of girls, standing in front of a borough, organizing them to dismantle the carceral state. 😉

I… https://t.co/SaWVSWEK3s",Alexandria Ocasio-Cortez,22,0.0,1.0,0.0,0.0
13,Democrats,Remember when the Bush administration bullied media into using their devised term “enhanced interrogation” instead… https://t.co/rFLmEXwDlw,Alexandria Ocasio-Cortez,16,0.215,0.785,0.0,-0.6249
14,Democrats,"I have absolutely zero patience for completely certified, card-carrying and flag-waving racists. None. 🚫 

They can… https://t.co/D9qlHoNpbh",Alexandria Ocasio-Cortez,17,0.2,0.8,0.0,-0.5423
15,Democrats,The last time you went on this trip it was reported that you also met w/ fringe Austrian neo-Nazi groups to talk sh… https://t.co/6JxOyHHHn1,Alexandria Ocasio-Cortez,24,0.0,1.0,0.0,0.0
16,Democrats,"Hey @Liz_Cheney, you’re the GOP Conference Chair - perhaps you should come collect your colleague before more membe… https://t.co/nQUzwv5ZHo",Alexandria Ocasio-Cortez,19,0.0,1.0,0.0,0.0
17,Democrats,"Mr. King, the Republican Party literally stripped you of your Congressional committee assignments because you were… https://t.co/m4t8eWdGOT",Alexandria Ocasio-Cortez,17,0.0,0.856,0.144,0.4019
18,Democrats,"#1: These are people protesting peacefully - hence their POSTERS &amp; not FIREARMS

#2: Why do you call some who threa… https://t.co/obQVLFeKIr",Alexandria Ocasio-Cortez,22,0.111,0.754,0.135,0.1531
19,Democrats,"The most BX pride speech I ever gave 😂 they really cued up the horns for our policy points 🤣🏳️‍🌈 

There’s no place… https://t.co/XnhVJSo6Kc",Alexandria Ocasio-Cortez,24,0.088,0.804,0.108,0.1226
20,Democrats,"When a powerful entity is trying to grow a system of human rights abuse (which is what this is) it’s on ALL of us,… https://t.co/9QxnkCZZu8",Alexandria Ocasio-Cortez,25,0.15,0.75,0.1,-0.34
