,Political Affiliation,tweet,Politician,Word Count,created_time,negative,neutral,positive,polarity
0,Democrats,"@BernieSanders Thank you, @SenSanders. It’s an honor to work alongside you and the millions of other people fighting for education, healthcare, and a living wage as rights.",AOC,27,2019-07,0.08,0.737,0.183,0.4939
1,Democrats,"I probably spent the first 10 mos after my primary terrified, too. Each day felt like a tightrope, as if one slip would end it all.

Fear followed me around&amp;moved into my apt.

But courage requires fear. We should teach each other how we handle fear, to help others be courageous. https://t.co/KmShyfcsiA",AOC,52,2019-07,0.202,0.623,0.175,-0.4215
2,Democrats,"Ah yes, now Newt &amp; the GOP are resorting to calling me a liar.

Who else do they call liars?
- 96% of scientists who agree on climate change
- Millions of Americans they locked up in the War on Drugs
- #MeToo survivors

So I’ll take it as a compliment. Thanks. https://t.co/2AXUz5zave",AOC,53,2019-07,0.169,0.653,0.178,-0.1027
3,Democrats,(Updated the $ since previous one was estimate of his cancelled Veteran’s day military parade),AOC,15,2019-07,0.133,0.867,0.0,-0.25
4,Democrats,"Trump spent millions on a poorly attended, 1 day parade days after saying he couldn’t afford toothpaste &amp; soap for caged children.

Did he ask Congress for military parade💰? No.

Trump held these kids hostage to secure billions for their abusers. Congress needs to see that.",AOC,46,2019-07,0.118,0.833,0.049,-0.5267
5,Democrats,"The solutions are right in front of us. It’s just about having the political imagination and courage to pursue them.

We can rise to meet the global challenge of the climate crisis with a #GreenNewDeal ⬇️ https://t.co/JTKUsqndqh",AOC,37,2019-07,0.097,0.757,0.147,0.0258
6,Democrats,"When members of Congress asked CBP if they knew about violently racist &amp; sexually disturbing secret Facebook group w up to 10,000 CBP officers, they told us they just learned about it.

Looks like CBP lied. Reporting shows they knew about it for *years.*

This is a big deal. ⬇️ https://t.co/cbE643Sbzv",AOC,51,2019-07,0.228,0.731,0.042,-0.9042
7,Democrats,"CBP is trying to refute the toilet drinking story by saying their toilets have sinks.

The sink in the cell we visited wasn’t functional. Guards told these women,Cuban refugees 🇨🇺, they could drink out of the bowl.

This account has been corroborated by other members of Congress. https://t.co/VT99UGZ6Ex",AOC,48,2019-07,0.0,1.0,0.0,0.0
8,Democrats,"This is pretty wild, and a testament to why everyday people in NYC have begun to vote out those engaged with Tammany Hall-style political machinery in the first place.

Elections should not be decided by lawyers who make millions grifting off the “widows &amp; orphans” court. ⬇️ https://t.co/KpxKv2h4XW",AOC,48,2019-07,0.0,0.884,0.116,0.7096
9,Democrats,"“Just got back from visiting [CBP]. People say that Trump’s policies have failed. I disagree. I think they’re working exactly the way they’re supposed to.

This is exactly what they wanted to happen.

This is not a logistical problem. It is a moral problem.”
- @DiegoBernalTX https://t.co/Hf3qbdCUH4",AOC,47,2019-07,0.125,0.827,0.048,-0.5635
10,Democrats,"Republicans &amp; CBP (as if they would tell on themselves?) are working overtime to discredit my account from the camps.

However, you could remove my entire account &amp; the claims still stand.

Details are now being corroborated by independent 3rd parties, from courts to inspectors. https://t.co/MhujNAYohJ",AOC,46,2019-07,0.0,0.943,0.057,0.4019
11,Democrats,@justinamash is right about this ⬇️ https://t.co/QjhkCI154P,AOC,7,2019-07,0.0,1.0,0.0,0.0
12,Democrats,"Happy Independence Day!

American democracy was once an unspeakable idea. To challenge the divine right of Kings &amp; aristocrats was to challenge the structure of society.

The founders’ notion of a government by the people was incredibly radical. And in many ways, it still is. 🇺🇸 https://t.co/xrwyIA4nae",AOC,47,2019-07,0.0,0.805,0.195,0.8478
13,Democrats,4. Econ: We need large-scale public investment to spur job creation for citizens&amp;immigrants alike. Ideally that investment transitions us to a sustainable economy (climate &amp; income-wise). We are overdue to rebuild American infra&amp;it’s going to take ALL of us &amp; immigrants to do it.,AOC,44,2019-07,0.0,0.893,0.107,0.5994
14,Democrats,"3. Border policy: As @JulianCastro mentioned in the #DemDebate, it’s time to repeal Section 1325 &amp; 1326, the statutes this admin is using to mindlessly throw people in cages.

We have to take these proceedings out of criminal code &amp; into civil code. Torture accomplishes nothing.",AOC,46,2019-07,0.138,0.811,0.051,-0.6808
15,Democrats,"2. Climate change: There is broad consensus from military to activists that resource strains (droughts, famine, etc) &amp; nat disasters are drivers of refugees.

People are fleeing places that were once livable &amp;are no longer. It will get worse the longer we do nothing #GreenNewDeal",AOC,45,2019-07,0.213,0.787,0.0,-0.8779
16,Democrats,"A thread of some of the policy approaches we should consider wrt immigration:

1. Foreign policy: Reinstate US humanitarian aid in the Northern Triangle, where people are fleeing. US should start acting like a real partner in Latin America,&amp; increase visas where we intervene.",AOC,44,2019-07,0.0,0.893,0.107,0.5859
17,Democrats,"The cruelty is the goal. It’s called “deterrence” - a policy stance that if our country inflicts enough pain on refugees, they will think twice before believing America is worth their dreams &amp; aspirations.

Only policy change can end cruelty, not blank checks to the status quo. https://t.co/QSSCIo2rLJ",AOC,48,2019-07,0.196,0.723,0.081,-0.8176
18,Democrats,"The GOP’s grand plan to “Make America Great Again” is to hurt children, immigrants, refugees into thinking America isn’t great - that it’s cruel &amp; inhumane - so people don’t come at all.

But America isn’t America at all without immigrants.

To turn them away is Un-American. https://t.co/bpYFCqOxXe",AOC,48,2019-07,0.121,0.69,0.189,0.6124
19,Democrats,"When you stand up to bullies once, it gets easier to do each following time.

I am used to the right’s behavior towards me - but I will never get used to their heartless cruelty towards other human beings escaping violence &amp; despair, nor their indifference to everyday Americans. https://t.co/TyiNZYqHG3",AOC,50,2019-07,0.291,0.638,0.071,-0.9573
20,Democrats,@hayleyalvz Of course. Our prayers are with you - and we will work our hardest to honor his last wish to Congress.,AOC,22,2019-07,0.0,0.763,0.237,0.7096
21,Democrats,"Fmr. Detective Luis Alvarez, 9/11 first responder, &amp; loving father of 3 sons, left us far too soon.

He spent his last days fighting for the 9/11 Victim’s Compensation Fund.

Some issues should be above partisanship or delay. We must pass the bill as soon as Congress reconvenes. https://t.co/efpKkHYGFW",AOC,49,2019-07,0.089,0.838,0.073,0.0258
22,Democrats,"Also @KellyannePolls, maybe you actually do your job and show up to a Congressional hearing next time you want to talk to me.

After all you, you ran away and skipped out on Oversight committee last week, just to call into Fox and Friends instead. 🤷🏽‍♀️ https://t.co/IzWJKWUxaN",AOC,47,2019-07,0.0,0.909,0.091,0.5267
23,Democrats,"Are CBP officers waking up women in the middle of sleep a “funding” problem?

Is calling migrants “filthy” “wh*res” a funding problem?

Is threatening violence on members of Congress a “funding” problem?

No, it’s not. It’s a far deeper, systemic, more violent problem than that.",AOC,45,2019-07,0.433,0.567,0.0,-0.9757
24,Democrats,"The $4.6 billion wasn’t humanitarian at all. It had NO accountability measures for facilities that abuse children and families. It didn’t fix the problem, just funded abuse.

I don’t believe in billion dollar blank checks for unethical, abusive administrations. Including yours. https://t.co/IzWJKWUxaN",AOC,42,2019-07,0.381,0.619,0.0,-0.9703
25,Democrats,"The right is responding to what’s been exposed at the border by denying it &amp; saying I’m lying.

Hard to assert when the details I shared are corroborated by other members of Congress, court documents, migrant testimony, and now photos released today by the Inspector General. https://t.co/1JR8oSkk9X",AOC,47,2019-07,0.164,0.79,0.046,-0.6249
26,Democrats,"These are concentration camps.

According to concentration camp experts, people begin to die due to overcrowding, neglect, and shortage of resources.

We saw all three of those signs on our trip yesterday. Another person died yesterday.

And those are the deaths we know about. https://t.co/MhujNAYohJ",AOC,45,2019-07,0.234,0.766,0.0,-0.91
27,Democrats,"We just experienced *the hottest month ever recorded on Planet Earth.*

Unless we act drastically now, it’s only going to get worse.

What will that mean for our food, water, shelter, safety?

We need a #GreenNewDeal. Now. https://t.co/MF7WuuQ4Pn",AOC,38,2019-07,0.076,0.856,0.068,-0.0772
28,Democrats,"How many migrant women has Kellyanne Conway touched? Hugged? Sat on a concrete floor with? Actually listened to?

The answer is none. Her actions show she doesn’t believe all human beings are worthy of basic dignity. 

That‘s why she defends &amp; muddies the clear and indefensible. https://t.co/NHMeI6Bx5r",AOC,47,2019-07,0.0,0.78,0.22,0.897
29,Democrats,"It is important to note that many of these children speak indigenous languages. Some I met were budding trilingual (speak K’iche’, Spanish &amp; learning English).

We are caging indigenous people.

(HHS shelters, if kids can get to them, have translation lines they call to help.) https://t.co/goruiMU5tt",AOC,46,2019-07,0.0,0.961,0.039,0.2023
30,Democrats,"And now CBP is pushing easily disprovable lies about members of Congress. Truly nuts.

And to think this week the GOP &amp; Dem “Problem Solvers Caucus” fought to eliminate ALL accountability amendments from funding.

They just wrote a multi-billion dollar blank check for misconduct. https://t.co/6KIFc5KT6B",AOC,45,2019-07,0.143,0.754,0.103,-0.2732
31,Democrats,"When you pair:
- 9,500 current + former CBP officers are part of a violently racist &amp; sexually violent secret Facebook group
- Corroborating accounts of abuse
- CBP couldn’t control their own officers for a Congressional tour

What else do you call that but a rogue agency?",AOC,48,2019-07,0.212,0.788,0.0,-0.8381
32,Democrats,"I can’t understate how disturbing it was that CBP officers were openly disrespectful of the Congressional tour.

If officers felt comfortable violating agreements in front of their *own* management &amp; superiors, that tells us the agency has lost all control of their own officers. https://t.co/zZjNaodplr",AOC,45,2019-07,0.167,0.697,0.136,-0.4019
33,Democrats,"Hey, @kilmeade:

What was the last “party” you went to where you:
-  Were locked in a cage under armed guard
- Drank out of a toilet
- &amp; given food of such poor nutritional value, for so long, that it gave you mouth sores? https://t.co/UfO8EQzRbI",AOC,46,2019-07,0.07,0.876,0.054,-0.1779
34,Democrats,"And to these CBP officers saying they felt “threatened” by me -

They were literally discussing making a GoFundMe for an officer who attacked my on my tour.

They confiscated my phone, and they were all armed. I’m 5’4”.

They’re just upset I exposed their inhumane behavior.",AOC,47,2019-07,0.144,0.856,0.0,-0.7096
35,Democrats,"Pro-concentration camp &amp; Pro-Trump protestors tried to drown out our accounts.

They yelled at Rashida Tlaib about pork when she talked about facilities. They called Joaquin Castro “traitor” for denouncing family separation.

@AyannaPressley was heroic, speaking truth to vitriol. https://t.co/R5exxjRhKy",AOC,40,2019-07,0.079,0.794,0.127,0.296
36,Democrats,"Here’s another photo from inside taken by @JoaquinCastrotx, where we’re trying to comfort women trapped in cells.

This woman was telling me about her daughters who were taken from her - she doesn’t know where they’ve taken them.

We held &amp; listened to them. They were distraught. https://t.co/ca1GwKfDfU",AOC,48,2019-07,0.131,0.822,0.047,-0.6705
37,Democrats,"These officers felt brazen in there. While mgmt was telling us it was a “secure facility” where *members of Congress* had to check their phones, we caught officers trying to sneak photos, laughing.

CBP’s “good” behavior was toxic. Imagine how they treat the women trapped inside. https://t.co/wtkIy8EQWO",AOC,47,2019-07,0.065,0.822,0.113,0.3612
38,Democrats,"Even if they let you in, these women told us CBP did a lot of “cleaning up” before we arrived.

They were moved into that room from outside tents before our arrival. They said they’d gone 15 days w/o a shower, &amp; were allowed to start bathing 4 days ago (when visit was announced). https://t.co/gozTUeaWa5",AOC,55,2019-07,0.0,1.0,0.0,0.0
39,Democrats,"Members of Congress had to surrender their phones before today’s CBP trip.

But @JoaquinCastrotx was able to get a device in. This photo is of the women we spoke to.

We asked their permission to photograph - they said yes, please share what’s happening. https://t.co/4ZhOMlEBVA",AOC,45,2019-07,0.0,0.847,0.153,0.7351
40,Democrats,"Meanwhile, one refrain we‘ve heard is that people are overcrowded in CBP concentration camps because the shelters (which are humane places where families can stay together) are full.

So we went to a shelter. They said that wasn’t true at all. Only 150/500 spots were filled. https://t.co/E0yPQ3o7CC",AOC,47,2019-07,0.0,0.941,0.059,0.4215
41,Democrats,"This was in fact the type of toilet we saw in the cell.

Except there was just one, and the sink portion was not functioning - @AyannaPressley smartly tried to open the faucet, and nothing came out.

So the women were told they could drink out of the bowl. https://t.co/rcu9Rt6B2x",AOC,50,2019-07,0.042,0.958,0.0,-0.2755
42,Democrats,"CBP made us check our phones.

But one woman slipped me this packet to take with me. 

It says “shampoo,” but she told me that this is all they give women to wash their entire body. Nothing else.

Some women’s hair was falling out. Others had gone 15 days without taking a shower. https://t.co/OsaKS0YD9a",AOC,54,2019-07,0.035,0.965,0.0,-0.2263
43,Democrats,"What’s haunting is that the women I met with today told me in no uncertain terms that they would experience retribution for telling us what they shared.

They all began sobbing - out of fear of being punished, out of sickness, out of desperation, lack of sleep, trauma, despair.",AOC,49,2019-07,0.401,0.562,0.037,-0.9652
44,Democrats,"Now I’m on my way to Clint, where the Trump admin was denying children toothpaste and soap.

This has been horrifying so far. It is hard to understate the enormity of the problem. We’re talking systemic cruelty w/ a dehumanizing culture that treats them like animals.",AOC,46,2019-07,0.302,0.655,0.043,-0.9325
45,Democrats,"After I forced myself into a cell w/ women&amp;began speaking to them, one of them described their treatment at the hands of officers as “psychological warfare” - waking them at odd hours for no reason, calling them wh*res, etc.

Tell me what about that is due to a “lack of funding?”",AOC,51,2019-07,0.146,0.854,0.0,-0.7579
46,Democrats,"Now I’ve seen the inside of these facilities.

It’s not just the kids. It’s everyone. People drinking out of toilets, officers laughing in front of members Congress.

I brought it up to their superiors. They said “officers are under stress &amp; act out sometimes.” No accountability.",AOC,46,2019-07,0.098,0.801,0.102,0.0516
47,Democrats,"Just left the 1st CBP facility.

I see why CBP officers were being so physically &amp;sexually threatening towards me.

Officers were keeping women in cells w/ no water &amp; had told them to drink out of the toilets.

This was them on their GOOD behavior in front of members of Congress.",AOC,51,2019-07,0.104,0.832,0.064,-0.3028
