,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Democrats,"Now we’re talking! Congrats to Team USA for moving on, and thanks for continuing to make us all proud. #USA https://t.co/DVkKBfU6wA",Barack Obama,21,0.0,0.65,0.35,0.8655
1,Democrats,"On Juneteenth, we celebrate our capacity to make real the promise of our founding, that thing inside each of us tha… https://t.co/bYmILjSq9H",Barack Obama,22,0.0,0.769,0.231,0.7184
2,Democrats,"Outside the Oval Office, I kept a painting of a small crowd huddled around a pocketwatch, waiting for the moment th… https://t.co/m8dljaM5Zk",Barack Obama,22,0.0,1.0,0.0,0.0
3,Democrats,This is worth a read: a thought-provoking reminder that education reform isn’t a cure-all. As a supporter of educat… https://t.co/sP7Q1oJSl5,Barack Obama,20,0.0,0.778,0.222,0.4588
4,Democrats,"Yes we can, Greta. I’m hopeful because of you and all the young people who are fighting to protect the planet. Keep… https://t.co/trOVzMi4Nr",Barack Obama,23,0.083,0.631,0.286,0.7269
5,Democrats,"Happy Father’s Day to Charles, one of our @ObamaFoundation Fellows, and all the dads at Fathers’ Uplift. Today, we’… https://t.co/l5IrsoIuop",Barack Obama,20,0.0,0.837,0.163,0.5719
6,Democrats,The @USWNT is something to smile about. It was great to celebrate with them back in 2015 and I'm excited to root th… https://t.co/WMEvpsFGin,Barack Obama,24,0.0,0.612,0.388,0.9136
7,Democrats,"Six years ago, David Ortiz's spirit and resolve helped us all begin to heal from the Boston Marathon bombing. Today… https://t.co/u3QgBv80aK",Barack Obama,21,0.0,0.815,0.185,0.5106
8,Democrats,"Last week, it was Virginia Beach. But day after day and year after year, too many families and communities are shat… https://t.co/oscI8f9xFv",Barack Obama,22,0.0,1.0,0.0,0.0
9,Democrats,"You've got a lot to be proud of, Jiwandeep. Thanks for everything you do to make this country a little more equal.… https://t.co/qw8I8io4pc",Barack Obama,23,0.0,0.76,0.24,0.7184
10,Democrats,What a life. American history has always been driven by visionaries like Leah Chase—and all the men and women who w… https://t.co/XHnhWiluN2,Barack Obama,22,0.0,0.889,0.111,0.3612
11,Democrats,"A story worth sharing: Twelve years ago, Brian joined my first presidential campaign. Two years ago, he was diagnos… https://t.co/2uf6ozOukh",Barack Obama,20,0.0,0.783,0.217,0.5719
12,Democrats,Exciting to see the faces of Colombia's future at an @ObamaFoundation roundtable with young leaders in Bogotá. Thei… https://t.co/FniC2X3hM4,Barack Obama,19,0.0,0.849,0.151,0.4939
13,Democrats,"On Memorial Day, we remember all those who gave everything for something greater than themselves. It's up to us to… https://t.co/4m5HbHFzcb",Barack Obama,21,0.0,0.889,0.111,0.3612
14,Democrats,Great to get out there and take a few cuts at the plate yesterday—I had a blast with all these extraordinary young… https://t.co/TQ7O6BVMSJ,Barack Obama,23,0.087,0.751,0.162,0.4404
15,Democrats,"Here’s a great story: While we’ve still got a lot of work to do to make college affordable for everyone, that didn’… https://t.co/eW9usqYzu1",Barack Obama,23,0.0,0.83,0.17,0.6249
16,Democrats,"Happy Mother's Day to the most caring, brilliant, funny, and grounded woman I know—a perfect role model not just fo… https://t.co/Tpro3oBzyC",Barack Obama,21,0.0,0.453,0.547,0.9592
