,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Republican,Presidential Harassment!,Donald Trump,2,0.791,0.209,0.0,-0.5848
1,Republican,"Senator Thom Tillis of North Carolina has really stepped up to the plate. Thom is tough on Crime, Strong on the Bor… https://t.co/rvXcAAdNhB",Donald Trump,23,0.177,0.707,0.117,-0.1779
2,Republican,"Staff Sgt. David Bellavia - today, we honor your extraordinary courage, we salute your selfless service, and we tha… https://t.co/kVJgKvjlA7",Donald Trump,20,0.0,0.726,0.274,0.7506
3,Republican,"Today, it was my great honor to present the Medal of Honor to Army Staff Sgt. David Bellavia (HERO) for his courage… https://t.co/LxgWgzhVwR",Donald Trump,23,0.0,0.583,0.417,0.9274
4,Republican,"....Martha is strong on Crime and Borders, the 2nd Amendment, and loves our Military and Vets. She has my Complete and Total Endorsement!",Donald Trump,23,0.109,0.592,0.299,0.7263
5,Republican,"A brave former fighter jet pilot and warrior, Senator Martha McSally of Arizona has done an outstanding job in D.C.… https://t.co/AG1TGSNxCi",Donald Trump,21,0.0,0.654,0.346,0.8402
6,Republican,"....Iran’s very ignorant and insulting statement, put out today, only shows that they do not understand reality. An… https://t.co/6nUGmkAVjb",Donald Trump,19,0.256,0.744,0.0,-0.7056
7,Republican,"....The wonderful Iranian people are suffering, and for no reason at all. Their leadership spends all of its money… https://t.co/cNM4SKPJUA",Donald Trump,20,0.204,0.654,0.142,-0.1531
8,Republican,"Iran leadership doesn’t understand the words “nice” or “compassion,” they never have. Sadly, the thing they do unde… https://t.co/iV2wXMBQAf",Donald Trump,19,0.0,0.885,0.115,0.3252
9,Republican,Stock Market is heading for one of the best months (June) in the history of our Country. Thank you Mr. President!,Donald Trump,21,0.0,0.731,0.269,0.7901
10,Republican,I am pleased to announce the launch of https://t.co/D1MY2aPC7f. This new platform will allow my campaign and other… https://t.co/mgMVxdCWQh,Donald Trump,19,0.0,0.769,0.231,0.5859
11,Republican,"....Think of what it could have been if the Fed had gotten it right. Thousands of points higher on the Dow, and GDP… https://t.co/jVNN0bZXN6",Donald Trump,24,0.0,1.0,0.0,0.0
12,Republican,"Despite a Federal Reserve that doesn’t know what it is doing - raised rates far too fast (very low inflation, other… https://t.co/zMZRnDDK9F",Donald Trump,22,0.1,0.9,0.0,-0.2732
13,Republican,....a dangerous journey. We don’t even need to be there in that the U.S. has just become (by far) the largest produ… https://t.co/eJTUGWpi9j,Donald Trump,23,0.124,0.876,0.0,-0.4767
14,Republican,"China gets 91% of its Oil from the Straight, Japan 62%, &amp; many other countries likewise. So why are we protecting t… https://t.co/8CAUlWAxdl",Donald Trump,23,0.0,0.921,0.079,0.2263
15,Republican,https://t.co/GY34Y0OeAS,Donald Trump,1,0.0,1.0,0.0,0.0
16,Republican,"When our Country had no debt and built everything from Highways to the Military with CASH, we had a big system of T… https://t.co/mTGg61FrYh",Donald Trump,24,0.183,0.817,0.0,-0.5719
17,Republican,Wonderful Church service at Camp David. Thank you!,Donald Trump,8,0.0,0.48,0.52,0.7574
18,Republican,I want to give the Democrats every last chance to quickly negotiate simple changes to Asylum and Loopholes. This wi… https://t.co/c5uWkZwDpz,Donald Trump,21,0.0,0.845,0.155,0.3182
19,Republican,"I never called the strike against Iran “BACK,” as people are incorrectly reporting, I just stopped it from going forward at this time!",Donald Trump,23,0.097,0.842,0.061,-0.2076
20,Republican,https://t.co/SSWnX8oQ65,Donald Trump,1,0.0,1.0,0.0,0.0
21,Republican,"At the request of Democrats, I have delayed the Illegal Immigration Removal Process (Deportation) for two weeks to… https://t.co/tb27qg9pOc",Donald Trump,19,0.256,0.744,0.0,-0.6705
22,Republican,"....Sanctions come off Iran, and they become a productive and prosperous nation again - The sooner the better!",Donald Trump,18,0.0,0.69,0.31,0.7424
23,Republican,"Iran cannot have Nuclear Weapons! Under the terrible Obama plan, they would have been on their way to Nuclear in a… https://t.co/z0YdrJRq3U",Donald Trump,22,0.131,0.775,0.093,-0.2467
24,Republican,"I am at Camp David working on many things, including Iran! We have a great Economy, Tariffs have been very helpful… https://t.co/TnPavEmuTW",Donald Trump,22,0.0,0.812,0.188,0.6588
25,Republican,https://t.co/mUc2KZFZON,Donald Trump,1,0.0,1.0,0.0,0.0
26,Republican,Thank you Jessica! https://t.co/gxNRfFqZCm,Donald Trump,4,0.0,0.518,0.482,0.4199
27,Republican,A great book! https://t.co/QwB46HVpmv,Donald Trump,4,0.0,0.313,0.687,0.6588
28,Republican,Looking good. We MUST WIN to KEEP AMERICA GREAT! https://t.co/ADULIQ0tO1,Donald Trump,10,0.0,0.358,0.642,0.9268
29,Republican,Stock Market is on track to have the best June in over 50 years! Thank you Mr. President! @WSJ,Donald Trump,19,0.0,0.7,0.3,0.8065
30,Republican,The people that Ice will apprehend have already been ordered to be deported. This means that they have run from the… https://t.co/x6RAdp8dfv,Donald Trump,22,0.0,1.0,0.0,0.0
31,Republican,https://t.co/JDS4zUXXJG,Donald Trump,1,0.0,1.0,0.0,0.0
