,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Democrats,"One person 🙋🏽‍♂️, one vote 🗳 — regardless of race, income or zip code. Full stop. 

House Democrats will not stop u… https://t.co/Zn4VZvY9Qa",House Democrats,23,0.188,0.812,0.0,-0.5267
1,Democrats,"House Democrats Will. Not. Stop. 🗣️

This week alone, we’re addressing health care, voting rights, disaster relief,… https://t.co/N9zdcmsCZ3",House Democrats,18,0.242,0.556,0.202,-0.2528
2,Democrats,House Democrats approved funding for gun violence research #ForThePeople because ALL American DESERVE safe communit… https://t.co/2VVXm7UFKW,House Democrats,16,0.269,0.496,0.236,-0.2023
3,Democrats,"The American people know that climate change is REAL. 

House Democrats #CantStopWontStop fighting to protect and p… https://t.co/6r3QOP5oBq",House Democrats,18,0.118,0.758,0.123,0.0258
4,Democrats,"Title X provides millions of Americans with fundamental health care 👨🏽‍⚕️👩🏻‍⚕️ for family planning. 

House Democra… https://t.co/hdjdzSxoRQ",House Democrats,17,0.0,0.824,0.176,0.4939
5,Democrats,"#ShowYourStripes is a creative but alarming example of how climate change is affecting our Earth. 

Each stripe ➡️… https://t.co/mUUeddplFR",House Democrats,19,0.089,0.812,0.099,0.0516
6,Democrats,Happy first day of summer ☀️🏖🌴! https://t.co/IwUkBRrLBd,House Democrats,7,0.0,0.6,0.4,0.6114
7,Democrats,"Senseless gun violence rips through our communities far too often. The American people are demanding action. 

Whil… https://t.co/jXORbnVOtu",House Democrats,18,0.359,0.641,0.0,-0.8126
8,Democrats,House Democrats are fighting to #ProtectOurCare #ForThePeople because every American should have FULL and EQUAL acc… https://t.co/yd3gu4r0OC,House Democrats,17,0.135,0.865,0.0,-0.3612
9,Democrats,"Our diversity is our strength. 

Violence against one is violence against all. 

We MUST ensure that EVERY American… https://t.co/pWTn0EQYIE",House Democrats,19,0.283,0.517,0.2,-0.5267
10,Democrats,"As the only female doctor 👩🏼‍⚕️ in Congress, @RepKimSchrier is fighting tirelessly for the right to quality, afford… https://t.co/RNGYUX90xb",House Democrats,19,0.122,0.878,0.0,-0.3612
11,Democrats,"American families DESERVE affordable and accessible health care. Full stop.

House Democrats remain focused on lowe… https://t.co/LEdH4zlGE6",House Democrats,17,0.1,0.636,0.264,0.5574
12,Democrats,"We MUST protect our planet 🌎.

House Democrats have passed the #ClimateActionNow Act to ensure our environment is s… https://t.co/9Yi2uE5mIv",House Democrats,20,0.0,0.776,0.224,0.6369
13,Democrats,"House Democrats are COMMITTED to creating jobs 💼, protecting the 2020 Census 📊, cleaning our environment 🌎 and rest… https://t.co/rmweTt95XR",House Democrats,20,0.0,0.772,0.228,0.6166
14,Democrats,"On this #Juneteenth, let us honor the brave African-Americans who fought for their overdue freedom. https://t.co/ivSTYAn17T",House Democrats,16,0.092,0.478,0.43,0.8591
15,Democrats,"Health care is a fundamental American RIGHT. 

Easy access to high-quality, affordable health care remains our TOP… https://t.co/qxi2fJHalU",House Democrats,18,0.0,0.601,0.399,0.8519
16,Democrats,"House Democrats are FOCUSED on the issues that matter to the American people. 

This week, we’re addressing health… https://t.co/nYzZ8iR1iA",House Democrats,19,0.0,0.793,0.207,0.5319
17,Democrats,"House Democrats CONTINUE to work #ForThePeople by passing bills to lower prescription drug prices 💊, protect voting… https://t.co/yaKGOMFP8e",House Democrats,18,0.106,0.769,0.125,0.1027
18,Democrats,"⚡️ “House Democrats working hard #ForThePeople on #HealthCareWeekend” by @HouseDemocrats

https://t.co/wb3mq5aT80",House Democrats,11,0.123,0.877,0.0,-0.1027
19,Democrats,"House Democrats are laser-focused on the priorities of everyday Americans. In our 2020 funding bill, we are providi… https://t.co/eC3ETNQ5pa",House Democrats,19,0.0,1.0,0.0,0.0
20,Democrats,"House Democrats are working hard this weekend to #ProtectOurCare #ForThePeople. 

We will not stop fighting for the… https://t.co/rTymkzciZE",House Democrats,18,0.069,0.735,0.196,0.3814
21,Democrats,"Today and every day, we honor the sacrifices of our nation’s fathers. We are inspired by their knowledge, strength… https://t.co/4WmA7JHF2m",House Democrats,20,0.0,0.738,0.262,0.7506
22,Democrats,Americans need both affordable + accessible healthcare solutions. Big Pharma raised prices on women’s birth control… https://t.co/ZnrRaaX1OC,House Democrats,17,0.0,0.898,0.102,0.1779
23,Democrats,This #HealthCareWeekend of Action @HouseDemocrats are holding over 1️⃣0️⃣0️⃣ events nationwide! We have passed 1️⃣… https://t.co/1Yj7DoiMYe,House Democrats,16,0.0,1.0,0.0,0.0
24,Democrats,"Statesman. Advocate. Leader.

Happy birthday to our esteemed Majority @LeaderHoyer 🎉. https://t.co/sKAZC8yWfT",House Democrats,12,0.0,0.602,0.398,0.765
25,Democrats,"June 14th, 1777 our nation’s flag was adopted as a symbol of our unity, diversity and perseverance 🇺🇸. House Democr… https://t.co/drRecWJ66L",House Democrats,21,0.0,1.0,0.0,0.0
26,Democrats,"Making history as New Hampshire’s first LGBTQ member of Congress, @RepChrisPappas continues advocating for equality… https://t.co/vJqlYy5b5v",House Democrats,16,0.0,1.0,0.0,0.0
27,Democrats,"Health care is a human RIGHT. 

House Democrats will continue fighting #ForThePeople until every family has equal a… https://t.co/69ThTdGfbX",House Democrats,19,0.115,0.737,0.147,0.1779
