,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Democrats,"NO American should worry about the cost of life saving health care. 

House Democrats are fighting for every family’s right to affordable, quality health care — regardless of race, gender identity, religion or zip code.

https://t.co/81P1Ad68yA",House of Democrats,36,0.186,0.671,0.143,-0.2342
1,Democrats,"ALL American families deserve to live in safe communities. 

House Democrats have passed 2️⃣ #GunSafety bills to ensure our children’s safety for generations to come --but where are] @senatemajldr and Senate Republicans to do their JOB? 

https://t.co/wxfLonWL8c",House of Democrats,37,0.0,0.804,0.196,0.8074
2,Democrats,"A targeted attack on our democracy is no laughing matter. It’s a THREAT to our NATIONAL SECURITY 🛡️. That’s why @HouseDemocrats passed the SAFE Act - to safeguard election security and block foreign countries from casting their own ballots 🗳️

https://t.co/tXMJpaXaB6",House of Democrats,41,0.219,0.496,0.285,0.4084
3,Democrats,"House Democrats are FOCUSED on protecting our elections 🗳, advocating for federal workers 👩🏽‍💼, securing safe consumer products 📦, supporting small businesses 🧰 and assisting taxpayers 💰#ForThePeople. https://t.co/hMZh9fkWHC",House of Democrats,28,0.0,0.668,0.332,0.8868
4,Democrats,"Mental health care is health care. We must provide every American with FULL and EQUAL access to the resources they need. 

Thank you, @RepSusanWild, for your bravery and your fight #ForThePeople.

NEVER be afraid to ask for help: 1-800-273-TALK. https://t.co/WK5TIfRM43",House of Democrats,40,0.051,0.661,0.288,0.9042
5,Democrats,"The Trump administration has targeted our communities of color by adding the #CitizenshipQuestion to #Census2020.  

House Democrats will not rest until #WeCount every American regardless of race or zip code. https://t.co/NTlzXlRCY4",House of Democrats,31,0.0,1.0,0.0,0.0
6,Democrats,"NOW is the time to prevent further harm from air pollution in our nation 🌎. 

House Democrats passed the #ClimateActionNow Act to help communities and future generations live in a clean and safe environment. https://t.co/WiX1OVjRE8",House of Democrats,35,0.084,0.692,0.224,0.5994
7,Democrats,"No child should be without soap and a warm bed. 

No child should be separated from their family.

House Democrats are working to assist the humanitarian crisis at our nation’s border. #ForThePeople https://t.co/y74oDny9yE",House of Democrats,33,0.266,0.734,0.0,-0.8468
8,Democrats,"This nation is facing a humanitarian crisis at the southern border. 

That’s why House Democrats passed legislation to address this administration’s cruelty, indecency and inhumanity. #ForThePeople https://t.co/AVmzDpJ6mb",House of Democrats,27,0.25,0.75,0.0,-0.8402
9,Democrats,"One person 🙋🏽‍♂️, one vote 🗳 — regardless of race, income or zip code. Full stop. 

House Democrats will not stop until the promise of our democracy is fulfilled for EVERY American. #ForThePeople https://t.co/GhdEohc1Mp",House of Democrats,34,0.117,0.747,0.136,0.1779
10,Democrats,"House Democrats Will. Not. Stop. 🗣️

This week alone, we’re addressing health care, voting rights, disaster relief, national security, immigration and MORE. 

This is what governing #ForThePeople looks like. https://t.co/bNmAr7Nvxf",House of Democrats,30,0.145,0.545,0.31,0.7174
11,Democrats,"House Democrats approved funding for gun violence research #ForThePeople because ALL American DESERVE safe communities.

https://t.co/3sn7tYry0n",House of Democrats,16,0.269,0.496,0.236,-0.2023
12,Democrats,"The American people know that climate change is REAL. 

House Democrats #CantStopWontStop fighting to protect and preserve our world for future generations. 🌎

https://t.co/DJ3WjIKcsF",House of Democrats,24,0.096,0.805,0.1,0.0258
13,Democrats,"Title X provides millions of Americans with fundamental health care 👨🏽‍⚕️👩🏻‍⚕️ for family planning. 

House Democrats are ensuring ALL Americans -regardless of zip code- have the RIGHT to quality, affordable health care. #ProtectOurCare #ForThePeople 

https://t.co/uxM3fCUZ6o",House of Democrats,35,0.0,0.785,0.215,0.8176
14,Democrats,"#ShowYourStripes is a creative but alarming example of how climate change is affecting our Earth. 

Each stripe ➡️ represents how much the planet has warmed each year since 1850. 🚨

As the GOP attacks our environment, House Democrats are moving quickly to SAVE. OUR. WORLD. 🌎 https://t.co/l7nXVEy7Cx",House of Democrats,47,0.103,0.714,0.183,0.6597
15,Democrats,Happy first day of summer ☀️🏖🌴! https://t.co/IwUkBRrLBd,House of Democrats,7,0.0,0.6,0.4,0.6114
16,Democrats,"Senseless gun violence rips through our communities far too often. The American people are demanding action. 

While Republicans REFUSE to act, House Dems are delivering solutions 📃 to keep our streets safe #ForThePeople. 
#WearOrange 

https://t.co/n2z9OAxv1z",House of Democrats,35,0.258,0.637,0.105,-0.7739
17,Democrats,House Democrats are fighting to #ProtectOurCare #ForThePeople because every American should have FULL and EQUAL access to essential health care. https://t.co/zhOzg4FL1R,House of Democrats,21,0.101,0.769,0.13,0.1779
18,Democrats,"Our diversity is our strength. 

Violence against one is violence against all. 

We MUST ensure that EVERY American feels safe and respected. #DiversityDay https://t.co/Vbw93iv1hj",House of Democrats,24,0.216,0.474,0.311,0.3818
19,Democrats,"As the only female doctor 👩🏼‍⚕️ in Congress, @RepKimSchrier is fighting tirelessly for the right to quality, affordable health care for Washingtonians and ALL Americans. #ForThePeople https://t.co/2OR4DEAWfH",House of Democrats,27,0.081,0.814,0.104,0.1779
20,Democrats,"American families DESERVE affordable and accessible health care. Full stop.

House Democrats remain focused on lowering prescription drug prices 💊, protecting those with pre-existing conditions 👩🏻👨🏽 and ensuring ALL Americans have quality health care 🏥. #ForThePeople https://t.co/o4PonpQzh0",House of Democrats,37,0.091,0.67,0.24,0.7845
21,Democrats,"We MUST protect our planet 🌎.

House Democrats have passed the #ClimateActionNow Act to ensure our environment is safe and viable #ForThePeople and future generations. 

https://t.co/CytxZwBadh",House of Democrats,26,0.0,0.74,0.26,0.7964
22,Democrats,"House Democrats are COMMITTED to creating jobs 💼, protecting the 2020 Census 📊, cleaning our environment 🌎 and restoring our nation’s infrastructure  🏗 #ForThePeople. https://t.co/767PzqGXyW",House of Democrats,25,0.0,0.734,0.266,0.7378
23,Democrats,"On this #Juneteenth, let us honor the brave African-Americans who fought for their overdue freedom. https://t.co/ivSTYAn17T",House of Democrats,16,0.092,0.478,0.43,0.8591
24,Democrats,"Health care is a fundamental American RIGHT. 

Easy access to high-quality, affordable health care remains our TOP priority. 

Although @senatemajldr brags about his “Legislative Graveyard,” House Democrats will continue working #ForThePeople. https://t.co/Ode03ACNVg",House of Democrats,32,0.0,0.695,0.305,0.8964
25,Democrats,"House Democrats are FOCUSED on the issues that matter to the American people. 

This week, we’re addressing health care, education, small business growth, poverty, criminal justice and more. 

And we're just getting started. #ForThePeople https://t.co/c1XOtaktl6",House of Democrats,35,0.139,0.579,0.282,0.7125
26,Democrats,"House Democrats CONTINUE to work #ForThePeople by passing bills to lower prescription drug prices 💊, protect voting rights 🗳️and clean up corruption in Washington 🇺🇸— but where is @senatemajldr to do his job? 

https://t.co/a1dsFug7SQ",House of Democrats,34,0.044,0.855,0.101,0.2617
27,Democrats,"⚡️ “House Democrats working hard #ForThePeople on #HealthCareWeekend” by @HouseDemocrats

https://t.co/wb3mq5aT80",House of Democrats,11,0.123,0.877,0.0,-0.1027
28,Democrats,"House Democrats are laser-focused on the priorities of everyday Americans. In our 2020 funding bill, we are providing 💰for health care 💊, infrastructure 🏗️, education 📚, seniors 👵🏾, veterans🎖️, humanitarian assistance ⛑️ and national security 🇺🇸. #ForThePeople https://t.co/0GM7WJfHVp",House of Democrats,38,0.0,0.865,0.135,0.6808
29,Democrats,"House Democrats are working hard this weekend to #ProtectOurCare #ForThePeople. 

We will not stop fighting for the BASIC right of ALL Americans to have affordable and accessible health care. #HealthCareWeekend https://t.co/coTmaCmIRm",House of Democrats,31,0.039,0.758,0.202,0.7002
30,Democrats,"Today and every day, we honor the sacrifices of our nation’s fathers. We are inspired by their knowledge, strength and love. #FathersDay https://t.co/JD6mDg9qdC",House of Democrats,23,0.0,0.579,0.421,0.93
31,Democrats,"Americans need both affordable + accessible healthcare solutions. Big Pharma raised prices on women’s birth control medicine by 5️⃣ %. 

House Democrats introduced the Affordability Is Access Act, ensuring non-prescribed birth control is covered by insurance companies.📃✔️ https://t.co/WNZ7RBi4Mf",House of Democrats,38,0.0,0.902,0.098,0.4215
32,Democrats,This #HealthCareWeekend of Action @HouseDemocrats are holding over 1️⃣0️⃣0️⃣ events nationwide! We have passed 1️⃣0️⃣ bills #ForThePeople aimed at lowering prescription drug prices and protecting Americans with pre-existing conditions. #ProtectOurCare https://t.co/uHr1cWeLR0,House of Democrats,31,0.071,0.929,0.0,-0.3164
33,Democrats,"Statesman. Advocate. Leader.

Happy birthday to our esteemed Majority @LeaderHoyer 🎉. https://t.co/sKAZC8yWfT",House of Democrats,12,0.0,0.602,0.398,0.765
