,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Republican,".@HomelandGOP's @RepMikeRogersAL on the border crisis → ""This is an enormous and growing humanitarian crisis at the… https://t.co/TO3fxY8I3b",House GOP,18,0.343,0.586,0.071,-0.8176
1,Republican,"One thing is abundantly clear: we have a humanitarian and national security on our southern border. 

It's been 56… https://t.co/32wfnLuD32",House GOP,20,0.0,0.773,0.227,0.6124
2,Republican,"We've reached a breaking point at the humanitarian and national security crisis on our southern border, but… https://t.co/ln0nV3PytN",House GOP,18,0.187,0.639,0.174,-0.3182
3,Republican,"17 TIMES @HouseDemocrats have blocked humanitarian border crisis funding. 

That is unacceptable… https://t.co/BBbIpcTq7x",House GOP,13,0.36,0.64,0.0,-0.7351
4,Republican,"⚡️ House Republicans to @SpeakerPelosi: Quit Playing Games and Bring the #USMCA to House Floor  
https://t.co/aU0b4Fkx22",House GOP,16,0.0,0.893,0.107,0.2023
5,Republican,Mexico just ratified the #USMCA trade agreement. Delaying USMCA means fewer economic benefits to hard working Ameri… https://t.co/VVrO3xGcCp,House GOP,18,0.061,0.614,0.325,0.7184
6,Republican,Tune in ⬇️ https://t.co/YMijI3ZFMz,House GOP,4,0.0,1.0,0.0,0.0
7,Republican,"NEW → Republicans have a better sense on what Medicare-For-All would look like than Dems. 

Rs know it would:  
- F… https://t.co/bKd4dwy0Iu",House GOP,22,0.0,0.759,0.241,0.6597
8,Republican,"First, @HouseDemocrats politicized the #NDAA and attempted to undercut our national defense. Now their leaders are… https://t.co/j5bjh0N9h2",House GOP,17,0.0,0.914,0.086,0.128
9,Republican,"""President Trump has already fostered an economic resurgence through his pro-growth policies, and the USMCA will fu… https://t.co/6Ep1igpqvC",House GOP,18,0.0,1.0,0.0,0.0
10,Republican,Happy Father’s Day! https://t.co/0CRRCVTOVo,House GOP,4,0.0,0.429,0.571,0.6114
11,Republican,"Today we celebrate #FlagDay and honor Old Glory, our nation’s symbol of freedom, liberty, and unity. As we proudly… https://t.co/GI3aNCqsIy",House GOP,20,0.0,0.455,0.545,0.9584
12,Republican,Today we celebrate 244 years of the United States Army protecting our nation and defending our freedom. We salute t… https://t.co/fZT7nU09sX,House GOP,21,0.0,0.627,0.373,0.8934
13,Republican,"""Ratifying the USMCA would give Washington farmers desperately needed relief"" &amp; ""it would give our producers a sens… https://t.co/JaI0d1CF5v",House GOP,19,0.12,0.737,0.143,0.128
14,Republican,"Happy Birthday to America’s 45th President, @realDonaldTrump 🎉 https://t.co/LVNUlKKWq7",House GOP,9,0.0,0.654,0.346,0.5719
15,Republican,"Bottom line from #FY20NDAA markup taking place today: @HASCDemocrats’ proposed topline is arbitrary and, according… https://t.co/Mf0VpXm4r7",House GOP,16,0.0,1.0,0.0,0.0
16,Republican,How badly would Democrats’ one-size-fits-all government takeover of the entire health care industry impact the Amer… https://t.co/WmGAHoNIKf,House GOP,17,0.146,0.704,0.15,0.0258
17,Republican,"In yesterday's @RulesReps hearing, @RodneyDavis called on Democrats to stop playing political games w/ pre-existing… https://t.co/ECX13Xtg5V",House GOP,16,0.122,0.778,0.1,-0.1027
18,Republican,"Today, @HouseDemocrats rejected humanitarian aid to address the crisis at our border yet again – the third time in… https://t.co/YKMr8HlIjw",House GOP,20,0.303,0.697,0.0,-0.8126
19,Republican,"For a THIRD time, @HouseDemocrats opted to sit on their hands, instead of providing critical humanitarian aid to ad… https://t.co/Ihc674WzWy",House GOP,20,0.113,0.887,0.0,-0.3182
20,Republican,"USMCA is a victory for America's food &amp; ag industry. That's why nearly 1,000 affiliated groups are calling for its… https://t.co/3WMJuVBlPn",House GOP,21,0.0,1.0,0.0,0.0
21,Republican,Tune in ⬇️ https://t.co/EKAlHF0qXQ,House GOP,4,0.0,1.0,0.0,0.0
22,Republican,Today @HouseBudgetDems are putting their socialist energy agenda on full display by holding a hearing on their cost… https://t.co/J7rtYHmWnW,House GOP,19,0.0,0.89,0.11,0.2732
23,Republican,"MUST WATCH from @RepMichaelWaltz ⬇️

#DDay75 https://t.co/sSBsrAtre4",House GOP,7,0.0,1.0,0.0,0.0
24,Republican,"Happy Birthday to a former House Republican Conference Chair and our nation’s Vice President, Mike Pence! https://t.co/Xokkp2XdSV",House GOP,17,0.0,0.79,0.21,0.6114
25,Republican,"75 years ago, thousands of Allied troops landed on the beaches of Normandy to fight for a free world and end Nazi t… https://t.co/jQP6w15K4r",House GOP,24,0.097,0.781,0.123,0.1779
26,Republican,"📺 WATCH: All across America, House Republicans are hard at work listening to their constituents, giving updates on… https://t.co/1fgaefmcEy",House GOP,19,0.071,0.808,0.121,0.25
27,Republican,"Just now, @HouseDemocrats opted to move forward with their mass amnesty bill that would only exacerbate current imm… https://t.co/t7VHvlKdlz",House GOP,19,0.0,1.0,0.0,0.0
28,Republican,We pause today to remember what happened 30 years ago at Tiananmen Square. America will always stand with people se… https://t.co/19lo3TuwA8,House GOP,21,0.0,1.0,0.0,0.0
29,Republican,"Must watch video of combat veterans @RepJimBaird, @RepBrianMast, and @RepDanCrenshaw discussing their service to ou… https://t.co/YBc5eewTP0",House GOP,16,0.138,0.862,0.0,-0.34
30,Republican,.@repchrisstewart on #MedicareForAll: “It means every American taxpayer &amp; every American business has their taxes d… https://t.co/ms34ox1Foi,House GOP,17,0.0,1.0,0.0,0.0
