,Political Affiliation,tweet,Politician,Word Count,created_time,negative,neutral,positive,polarity
0,Republican,"""It is past time for Pelosi to allow the USMCA to move forward in Congress. Each day the Speaker waits to act, America is missing out on innovation, opportunity and increased job growth.""

Read more from @RepRonEstes ↓ https://t.co/iuntztWWEQ",House of Republican,39,Jun 2019,0.049,0.74,0.211,0.7351
1,Republican,.@HouseDemocrats rejected efforts → 81 times ← to take up the bipartisan bill that provides humanitarian aid and critical resources to address the crisis at our border. https://t.co/MWQLzu7K3z,House of Republican,28,Jun 2019,0.297,0.703,0.0,-0.8658
2,Republican,"Today @SpeakerPelosi is choosing to play politics instead of addressing the dire and growing crisis at our border. 

Yesterday, the Senate passed a bipartisan bill to address this crisis 84-8, but @HouseDemocrats refuse to let us vote on it. https://t.co/iwtGYBWjB7",House of Republican,40,Jun 2019,0.215,0.718,0.066,-0.7814
3,Republican,Good luck to all of the @HouseGOP and @SenateGOP players at tonight's Congressional Baseball Game as they take on the Democrats! Let's play ball! #CBG2019 ⚾ https://t.co/Swn4DgdkyV,House of Republican,27,Jun 2019,0.0,0.721,0.279,0.8353
4,Republican,".@HomelandGOP's @RepMikeRogersAL on the border crisis → ""This is an enormous and growing humanitarian crisis at the border... Unfortunately, the bill that the Dems are now bringing to the floor is full of political poison pills. They don't want this situation solved apparently."" https://t.co/HQcTj1rr1w",House of Republican,44,Jun 2019,0.278,0.653,0.069,-0.9104
5,Republican,"One thing is abundantly clear: we have a humanitarian and national security on our southern border. 

It's been 56 days since @realDonaldTrump requested emergency funding to address this crisis. It's past time for Speaker Pelosi to quit playing political games and #EndTheCrisis. https://t.co/OtZfPYyuz3",House of Republican,43,Jun 2019,0.146,0.722,0.133,-0.397
6,Republican,"We've reached a breaking point at the humanitarian and national security crisis on our southern border, but @HouseDemocrats refuse to act. 

Dems have blocked funding 17 TIMES for humanitarian aid at the border. It's time to quit playing games and #EndTheCrisis. https://t.co/ZEt7aioe7B",House of Republican,42,Jun 2019,0.166,0.728,0.106,-0.5994
7,Republican,"17 TIMES @HouseDemocrats have blocked humanitarian border crisis funding. 

That is unacceptable https://t.co/nxVcuETxFu https://t.co/gyDckL5apU",House of Republican,14,Jun 2019,0.455,0.545,0.0,-0.8481
8,Republican,"⚡️ House Republicans to @SpeakerPelosi: Quit Playing Games and Bring the #USMCA to House Floor  
https://t.co/aU0b4Fkx22",House of Republican,16,Jun 2019,0.0,0.893,0.107,0.2023
9,Republican,"Mexico just ratified the #USMCA trade agreement. Delaying USMCA means fewer economic benefits to hard working Americans. 

When will @SpeakerPelosi put politics aside and do what is best for America’s workers, farmers, and families? https://t.co/HH8ojI99A2",House of Republican,35,Jun 2019,0.033,0.698,0.27,0.8807
10,Republican,Tune in ⬇️ https://t.co/YMijI3ZFMz,House of Republican,4,Jun 2019,0.0,1.0,0.0,0.0
11,Republican,"NEW → Republicans have a better sense on what Medicare-For-All would look like than Dems. 

Rs know it would:  
- Force millions off their insurance
- Increase taxes
- Limit options 

Dems don't grasp the consequences of their one-size-fits-all takeover. https://t.co/0DS5ew6qD4",House of Republican,41,Jun 2019,0.0,0.811,0.189,0.7717
12,Republican,"First, @HouseDemocrats politicized the #NDAA and attempted to undercut our national defense. Now their leaders are lying about it to attack Republicans. 

The safety of our nation should be above petty politics. https://t.co/0LiGdzfMUn",House of Republican,33,Jun 2019,0.204,0.69,0.106,-0.6124
13,Republican,"""President Trump has already fostered an economic resurgence through his pro-growth policies, and the USMCA will further that progress. It is now up to Congress to approve this historic deal."" A must read by @GReschenthaler on the need to pass #USMCA now: https://t.co/94NIuACvHF",House of Republican,43,Jun 2019,0.0,0.936,0.064,0.4215
14,Republican,Happy Father’s Day! https://t.co/0CRRCVTOVo,House of Republican,4,Jun 2019,0.0,0.429,0.571,0.6114
15,Republican,"Today we celebrate #FlagDay and honor Old Glory, our nation’s symbol of freedom, liberty, and unity. As we proudly fly the flag, may we remember the history and service of the brave men and women who steadfastly defend those values. https://t.co/onSCxihoKG",House of Republican,41,Jun 2019,0.0,0.544,0.456,0.9812
16,Republican,Today we celebrate 244 years of the United States Army protecting our nation and defending our freedom. We salute the courage and bravery of our nation’s soldiers today and every day. Thank you to all who serve and have served. https://t.co/e8jSAjJgvT,House of Republican,41,Jun 2019,0.0,0.641,0.359,0.9618
17,Republican,"""Ratifying the USMCA would give Washington farmers desperately needed relief"" &amp; ""it would give our producers a sense of certainty that is severely lacking right now when it comes to international trade."" 

@RepNewhouse calls on House Dems to pass #USMCA ➡️ https://t.co/3AGiKejrVK",House of Republican,42,Jun 2019,0.117,0.776,0.107,-0.128
18,Republican,"Happy Birthday to America’s 45th President, @realDonaldTrump 🎉 https://t.co/LVNUlKKWq7",House of Republican,9,Jun 2019,0.0,0.654,0.346,0.5719
19,Republican,"Bottom line from #FY20NDAA markup taking place today: @HASCDemocrats’ proposed topline is arbitrary and, according to top defense officials, insufficient for rebuilding our military. We should not shortchange our defense.",House of Republican,30,Jun 2019,0.0,0.849,0.151,0.4215
