,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Democrats,"Joe Biden played a key role in securing the extension of the Voting Rights Act—and has advocated for its renewal, a… https://t.co/nm1bGtUE4M",Joe Biden,22,0.0,0.802,0.198,0.5719
1,Democrats,"“We would reunite those families, period.” #DemDebate https://t.co/V0iwd43qv8",Joe Biden,8,0.0,1.0,0.0,0.0
2,Democrats,Our immigration system must be fixed without tossing our morals aside. This all starts by protecting DREAMers and r… https://t.co/NF8YwgsZCD,Joe Biden,20,0.0,1.0,0.0,0.0
3,Democrats,"As Vice President, Joe Biden worked with the leaders of the Northern Triangle (Guatemala, El Salvador, and Honduras… https://t.co/aUVdc6F1lB",Joe Biden,19,0.0,1.0,0.0,0.0
4,Democrats,"""Health care is personal to me... there are people right now who are facing what I faced, without any of the help I… https://t.co/aoOjUZeBm6",Joe Biden,24,0.0,0.781,0.219,0.7096
5,Democrats,"Now, we need to finish the job and make health care a right for all, not a privilege for the few. 
#DemDebate https://t.co/tSFitwiaNm",Joe Biden,23,0.087,0.782,0.132,0.2709
6,Democrats,"As VP, Joe Biden stood shoulder to shoulder with President Obama to pass the Affordable Care Act, which:

✅ Expande… https://t.co/6vH5yvv2TZ",Joe Biden,21,0.0,0.856,0.144,0.4939
7,Democrats,https://t.co/H3a61KTPQM,Joe Biden,1,0.0,1.0,0.0,0.0
8,Democrats,"We've got to do better for our educators and our students. In a Biden Administration, we will:

✅ Give our educator… https://t.co/oy27DQCtS8",Joe Biden,22,0.0,0.868,0.132,0.4404
9,Democrats,"This country wasn’t built by Wall Street bankers and CEOs and hedge fund managers. 

It was built by you. 

By ordi… https://t.co/vtN5b8dpn2",Joe Biden,22,0.0,1.0,0.0,0.0
10,Democrats,Hey everyone — @TeamJoe here! We’re taking over @JoeBiden’s account while he’s on stage for tonight’s Democratic de… https://t.co/wUGkqoSx06,Joe Biden,19,0.0,1.0,0.0,0.0
