,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Republican,"Q:Are you taking #Huawei off entity list?
 
@POTUS:“No,not at all. No,no...,but we are going to be supplying equipment from our companies...”

Does this mean continuation of current policy? Huawei on Entity List but allow U.S. export of very specific non-critical components?",Marco Rubio,41,0.0,0.933,0.067,0.4386
1,Republican,"If President Trump has in fact bargained away the recent restrictions on #Huawei, then we will have to get those restrictions put back in place through legislation. 

And it will pass with a large veto proof majority.",Marco Rubio,37,0.0,1.0,0.0,0.0
2,Republican,"If President Trump has agreed to reverse recent sanctions against #Huawei he has made a catastrophic mistake.

It will destroy the credibility of his administrations warnings about the threat posed by the company,no one will ever again take them seriously. https://t.co/jEhHcblsVG",Marco Rubio,41,0.318,0.641,0.041,-0.9231
3,Republican,"US sanctions Maduro’s son as it raises pressure on regime.

https://t.co/V50AOTO2Om",Marco Rubio,11,0.18,0.82,0.0,-0.296
4,Republican,"If America becomes a country that no longer can manufacture,then we will always be at risk of getting cut off by the countries that still make things. 

Watch video excerpts from my speech yesterday here:  https://t.co/f7gNVMp28d",Marco Rubio,36,0.167,0.833,0.0,-0.6597
5,Republican,I have warned about #Huawei for a long time. They should not be a bargaining chip in trade talks because they pose a threat to our national security. Watch more here: https://t.co/wwmTihuRxw,Marco Rubio,32,0.167,0.76,0.073,-0.4767
6,Republican,"Finally, a Republican who runs &amp; loses is described as a “failed candidate”

But a Democrat who runs &amp; loses is a “rising star” 

I suppose that means that after 2020 Democrats will be blessed with at least 20 new “rising stars”

4/4",Marco Rubio,43,0.106,0.805,0.09,0.0772
7,Republican,"Dems say children being held in cages in centers worse than Gitmo. 

But while they found time for photo-op at migrant center,they didn’t return to DC to vote on funding

Yet none of them asked why they missed vote or even how they would have voted on a bill that divided D’s 3/4",Marco Rubio,53,0.096,0.904,0.0,-0.6486
8,Republican,"Voices in Dem Party have said:
- support for #Israel due to Jewish $
- “some kids are unwanted, so you kill them now or you kill them later”
- migrant centers are concentration camps

But unlike GOP,media didn’t ask Dem candidates to comment on outrageous statements of others 2/4",Marco Rubio,50,0.247,0.664,0.09,-0.8874
9,Republican,"1/4 thoughts on Dem debates:
Of 20 candidates:
- 2 are under 40
- several have 0-3 years of govt experience 
- one is Mayor of a nice city with less people than some Florida retirement communities

Yet unlike 16 media never asks whether they are too young &amp;/or inexperienced 1/4",Marco Rubio,51,0.0,0.941,0.059,0.4215
10,Republican,"Look! I am coming against these shepherds. I will take my sheep out of their hand &amp; put a stop to their shepherding my flock,so that these shepherds will no longer pasture them. I will deliver my flock from their mouths so it will not become their food. 
Ezekiel 34:10",Marco Rubio,50,0.092,0.845,0.063,-0.126
11,Republican,When are the going to ask the dude without a tie a question in this debate?,Marco Rubio,16,0.0,1.0,0.0,0.0
12,Republican,"On China tonight’s answer is:
- what China does is bad
- what Trump is doing won’t make them change

But none of them so far can tell you what they will do instead",Marco Rubio,34,0.101,0.899,0.0,-0.5423
13,Republican,"Big difference between saying you are not going to prioritize deportation of non-criminals  who have been here a long time &amp; what we heard tonight that everyone who is here illegally gets to stay, (even if they got here last week),until they commit a crime.",Marco Rubio,45,0.075,0.878,0.047,-0.3182
14,Republican,"For 2nd night in a row the answer to question of what to do with our border crisis is 
- Trump is evil
- Decriminalize illegal entry
- Trump is super evil
- Let anyone who gets here,stay here",Marco Rubio,39,0.334,0.587,0.079,-0.9274
15,Republican,"Che Guevara opposed freedom of speech &amp; religion,jailed homosexuals,led a crackdown on rock &amp; roll musicians,abandoned his children &amp; bragged that “my friends are friends as long as they think like me.”

What an inspiration to freedom lovers &amp; champion for the cause of humanity https://t.co/qAV3nnh1qy",Marco Rubio,46,0.0,0.571,0.429,0.9814
16,Republican,"De Blasio studied Latin American politics in college,was a very active supporter of the Sandinistas in #Nicaragua &amp; even honeymooned in #Cuba in violation of U.S. law.  

But he had NO IDEA he was quoting Che Guevara today. 

It was all just an incredible coincidence.",Marco Rubio,45,0.119,0.777,0.104,-0.193
17,Republican,"#China’s so called policy of “non-interference” is a farce. 

For example in #Venezuela they are almost exclusively the ones assisting,directing &amp; conducting #MaduroRegime’s efforts to shut down the internet &amp; deny opposition voices access to social media https://t.co/sS0VAF8HPg",Marco Rubio,38,0.127,0.873,0.0,-0.6249
18,Republican,"History,not just Cuban exiles,considers Che Guevara a murderous sociopath who executed hundreds after unfair show trials &amp; 
during missile crisis wanted Cuba to “sacrifice itself to nuclear arms,that its ashes might serve as a basis for new societies.” 

https://t.co/oJh4GDjKsr",Marco Rubio,39,0.251,0.749,0.0,-0.9081
19,Republican,"Bill DeBlasio went to a rally at the #Miami airport today &amp; ended his speech by quoting from the murderous Che Guevara’s farewell letter to Fidel Castro. 

But how dare anyone call him or any democrat candidate a socialist. https://t.co/IjIOTSI9GV",Marco Rubio,40,0.102,0.898,0.0,-0.6369
20,Republican,The Democrats on that stage last night had no answer on what they would do about the crisis on our border. Let’s see if the ones tonight have a better answer. https://t.co/bkMLgPX2iR,Marco Rubio,32,0.169,0.753,0.078,-0.5267
21,Republican,"Players have a right to express their opinions.

And you know @POTUS is most certainly going to respond.

But does politics have to intrude on literally everything?

Can’t we just give Americans a few chances to get away from it all from time to time?  https://t.co/EyFbOUmt9f",Marco Rubio,46,0.0,0.896,0.104,0.5931
22,Republican,"Lifting #Huawei ban would be catastrophic mistake

Recent study of Huawei devices found more than 1/2 had vulnerabilities exploitable by #China intelligence

https://t.co/15Mlh7DEpT
more-vulnerable-to-hackers-than-rivals-equipment-report-says-11561501573 https://t.co/YOMt4nhg3L",Marco Rubio,25,0.319,0.59,0.091,-0.7717
23,Republican,"For 2nd week in a row cyber-criminals stole #Florida taxpayers money 

I encourage @flcounties⁩ &amp; ⁦@FLCities⁩ to share these links to federal cyber resources:
 
https://t.co/FZsYjDTdsG

http://us-
https://t.co/79La5P1mlU

#Sayfie #FlPol  https://t.co/hHIK6QvklY",Marco Rubio,30,0.0,0.825,0.175,0.6705
24,Republican,"Wait, being a “hawk” is no longer just about military force? Even tough economic sanctions make you a “hawk”? 

And yes, I support any policy that makes it harder for #Iran to get money they will spend on terrorism &amp; missiles.  

https://t.co/k8UFSDiRFu",Marco Rubio,42,0.18,0.707,0.112,-0.504
25,Republican,"Was exciting to attend last nights launch of @project2empower led by @votetimscott. Please make sure to follow them, they are going to be doing some exciting things in the months and years to come. https://t.co/XHUkrpY3mA",Marco Rubio,35,0.0,0.738,0.262,0.875
26,Republican,I will be on @FoxNews this morning at around 8:15am #Sayfie,Marco Rubio,11,0.0,1.0,0.0,0.0
27,Republican,"On a final note,immigration is not the only issue Americans of Hispanic descent care about. 

How do you host a Presidential debate in #Miami &amp; not ask a single question about #Venezuela #Cuba or #Nicaragua? And none of the candidates looked for an opening to bring it up either.",Marco Rubio,49,0.0,0.934,0.066,0.4939
28,Republican,"The audience &amp; the other candidates had little interest in the two candidates who at least tried to remind their own party that most Americans do not live in the elite, upper-income bubbles of LA, NY or DC.",Marco Rubio,38,0.0,0.869,0.131,0.6605
29,Republican,"All but one want back into the #JCPOA,but not one addressed how to deal with #Iran’s support for terrorism,destabilizing actions in Yemen,cyberattacks &amp; increasingly dangerous missile program.",Marco Rubio,27,0.125,0.724,0.151,-0.0387
30,Republican,"They are against detaining children &amp; keeping illegal entry a crime but not a single candidate last night had a serious answer, in either English or Spanish, on how to deal with the thousands of young children being brought across our southern border every day.",Marco Rubio,45,0.133,0.867,0.0,-0.6124
31,Republican,"He roared at the Red Sea &amp; it dried up.He led them through the deep as through a desert.He rescued them from hostile hands,
freed them from the power of the enemy....But they soon forgot all he had done;they had no patience for his plan

Genesis 106:8-10;13",Marco Rubio,47,0.092,0.803,0.105,0.1779
32,Republican,"Thank you @MarshaBlackburn for joining us on our bill to make #DaylightSavingsTime permanent. Changing our clock twice a year no longer makes any sense. 

It’s time to #LockTheClock",Marco Rubio,28,0.074,0.842,0.084,0.0772
33,Republican,"Our bipartisan bill with ⁦@RonWyden⁩ is designed to deal with this problem of foreign corruption being hidden behind anonymous corporations that do not disclose true ownership.

https://t.co/ow4TEgRGEq",Marco Rubio,27,0.179,0.821,0.0,-0.6659
34,Republican,"No U.S. company can survive against Chinese companies with this level of govt support

Unless we want a world in which #China dominates all the high end industries we must lead effort with other advanced economies to pool market resources &amp; R&amp;D &amp; coordinate regulatory actions 2/2",Marco Rubio,47,0.044,0.813,0.143,0.4588
35,Republican,"#Huawei just one part of broader plan by #China to use govt credit &amp; protected domestic market share to help their companies gain global dominance of industries

Also how Chinese companies underbid on U.S. rail car contracts &amp; flood global markets for batteries &amp; robotics 1/2",Marco Rubio,46,0.0,0.719,0.281,0.9274
36,Republican,"U.S. tech companies are using loopholes to undermine U.S. national security policy by selling to #Huawei 

 https://t.co/Jb5uYunzMe via @NYTimes",Marco Rubio,19,0.102,0.787,0.111,0.0516
37,Republican,"Do not fear, Abram! I am your shield; I will make your reward very great.

Genesis 15:1",Marco Rubio,17,0.0,0.521,0.479,0.9003
38,Republican,"Just finished my interview. No President needs authority from Congress to act militarily in defense of our troops. 

Our strategy on #Iran is maximum economic pressure &amp; a swift &amp; punishing response if they attack Americans in the region. https://t.co/XCIDBzKiBf",Marco Rubio,40,0.233,0.671,0.096,-0.8176
39,Republican,Tune in to @FoxNews at 6:25pm today. I will be speaking to @BretBaier about #China #Iran and the upcoming #G20Summit,Marco Rubio,20,0.0,1.0,0.0,0.0
40,Republican,"Listening to my democratic colleagues on Senate floor you would think #Iran was peaceful &amp; benign until Trump cancelled the #IranDeal

Deal only dealt with nuclear activity but allowed them to continue to sponsor Shia militias &amp; Hezbollah,conduct cyber attacks &amp; destabilize Yemen",Marco Rubio,43,0.111,0.811,0.078,-0.3818
41,Republican,Important to point out that the increased  Houthi rebel attacks on #SaudiArabia have been largely with missiles made &amp; supplied by #Iran &amp; used often at the direction of the #IRGC  https://t.co/OX7lM0wGQ9,Marco Rubio,32,0.124,0.769,0.107,-0.1531
42,Republican,By far the single best (and most accurate) article yet on the events leading up to #30Apr in #Venezuela  https://t.co/S8QmlviRDp,Marco Rubio,20,0.0,0.819,0.181,0.6369
43,Republican,"Happy to learn that a court in the UK has spared a pregnant mother from a forced abortion.

 https://t.co/mYEoRMiVo8",Marco Rubio,19,0.145,0.676,0.179,0.1779
44,Republican,"Hackers backed by #China targeted 20 people across Asia, Europe, Africa &amp; the Middle East by infiltrating cell network of 10 global carriers. Imagine how much easier it will be for them to do this when carrier’s cell network built with #Huawei equipment.  https://t.co/MArFUIRsyw",Marco Rubio,44,0.0,0.915,0.085,0.4404
45,Republican,"the LORD said to Abram: Look about you,&amp; from where you are,gaze to the north &amp; south, east &amp; west; all the land that you see I will give to you &amp; your descendants forever. 

Genesis 13:14-15",Marco Rubio,37,0.0,1.0,0.0,0.0
46,Republican,"Biden attacks Trump administration policy on #Venezuela:
https://t.co/jX5dMb7BYJ

But here is a reminder of how the Obama-Biden administration opposed any sanctions against the #MaduroRegime &amp; fought us on it for almost two years:

https://t.co/TVfuQjntx8",Marco Rubio,34,0.144,0.856,0.0,-0.6369
47,Republican,"Though I thought I had toiled in vain,for nothing and for naught spent my strength,Yet my right is with the LORD,my recompense is with my God.

Isaiah 49:4",Marco Rubio,28,0.0,0.923,0.077,0.2732
48,Republican,"You have to be a special kind of sick to set fire to a high school football teams gear, especially just four weeks away from the start of practice. 

The gear will all be replaced newer &amp; better &amp; RedRaiders going to do what they do but I hope they catch whoever did this. https://t.co/WrvHBpGs8N",Marco Rubio,55,0.066,0.803,0.131,0.5859
49,Republican,"The claim that Trump #Cuba policy has harmed civilian owners of restaurants &amp; Airbnb rental apartments is false. 

U.S. travelers are not prohibited from supporting the Cuban people by staying at an Airbnb &amp;/or eating at privately owned restaurants. https://t.co/EfrWWuyIm7",Marco Rubio,40,0.127,0.873,0.0,-0.6711
50,Republican,"Listen to counsel and receive instruction, that you may eventually become wise.

Proverbs 19:20",Marco Rubio,14,0.0,0.807,0.193,0.4767
51,Republican,"If story accurate 22 week pregnant disabled woman is being required to undergo a forced abortion by UK court. 

The U.S. should offer her &amp; her mother a visa.

And why are the voices who always talk about a woman’s right to choose so quiet on this?

 https://t.co/EYHryq8rTL",Marco Rubio,48,0.064,0.936,0.0,-0.4588
52,Republican,"Remember those stories fed by lying leakers that @POTUS was losing interest &amp; confidence in our #Venezuela &amp; #Cuba policy?

I hope they &amp; the columnists who gleefully echoed them will now give @realDonaldTrump own words on the topic at least as much coverage. https://t.co/Xbh4OrYKrk",Marco Rubio,45,0.111,0.72,0.17,0.4939
53,Republican,"The angel of God,who had been leading Israel’s army,now moved &amp; went around behind them. And the column of cloud, moving from in front of them,took up its place behind them,so that it came between the Egyptian army &amp; that of Israel.

Exodus 14:19-20",Marco Rubio,44,0.0,1.0,0.0,0.0
