,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Republican,"Latino Americans know that it was freedom, not socialism, that gave us the most prosperous and powerful nation in t… https://t.co/lDUT6ZTnsu",Mike Pence,21,0.0,0.628,0.372,0.8923
1,Republican,Great to have you there @Jenniffer2012! Thanks for helping us Kickoff #LatinosForTrump! https://t.co/hAqlVVJnxa,Mike Pence,13,0.0,0.505,0.495,0.8684
2,Republican,"America needs 4 more years of prosperity, 4 more years of security, and 4 MORE YEARS of President @realDonaldTrump!… https://t.co/8nLpiWLnsv",Mike Pence,20,0.0,0.844,0.156,0.4508
3,Republican,President @realDonaldTrump knows that a nation without borders is not a nation. He has declared a national security… https://t.co/fXNBygyxL2,Mike Pence,19,0.0,1.0,0.0,0.0
4,Republican,What Americans hear tomorrow night will only confirm that Mexico has done more in the last 10 DAYS to secure the so… https://t.co/iLcRnCO2pT,Mike Pence,23,0.0,0.902,0.098,0.34
5,Republican,"It’s remarkable to think that at a time of unbridled growth &amp; prosperity for Latino Americans, Democrats will gathe… https://t.co/EhpCy6N9NQ",Mike Pence,20,0.0,0.733,0.267,0.7351
6,Republican,"Under President @realDonaldTrump’s leadership, in two and a half short years, we have the LOWEST unemployment rate… https://t.co/xao04qsyuR",Mike Pence,18,0.294,0.706,0.0,-0.7378
7,Republican,Looking forward to being in Miami today to kick off the @TeamTrump Latino Coalition! Under @realDonaldTrump more Hi… https://t.co/XGnfLRVEYU,Mike Pence,19,0.0,1.0,0.0,0.0
8,Republican,"Great to be in Maryland tonight for the 29th annual @MDGOP Red, White, and Blue Dinner! Huge crowd! Thanks for the… https://t.co/0IcwpIehQN",Mike Pence,22,0.0,0.658,0.342,0.8715
9,Republican,".@SecondLady and I were thrilled to join @realdonaldtrump, @flotus, &amp; the entire Trump Family in Orlando last night… https://t.co/rqSGaFYVsQ",Mike Pence,19,0.0,0.758,0.242,0.6249
10,Republican,"Thank you America! Round two, it’s on! #MAGA https://t.co/3Nj0EutSUI",Mike Pence,9,0.0,0.722,0.278,0.4738
11,Republican,"Today, we have a President who loves this country, who never quits, never backs down - who believes in YOU - fights… https://t.co/BZ75godQcd",Mike Pence,23,0.049,0.789,0.162,0.556
12,Republican,We’ve made HISTORIC investments in border security - and thanks to @realDonaldTrump - Mexico has done more to secur… https://t.co/AYjDFgAFWz,Mike Pence,20,0.0,0.751,0.249,0.6486
13,Republican,"Under @realDonaldTrump, businesses are growing and staying put in America. President @realdonaldtrump rolled back r… https://t.co/KoyQHLJMiw",Mike Pence,16,0.0,0.898,0.102,0.1779
14,Republican,America’s veterans deserve to be treated like the heroes they are. Our Administration secured $86.5 billion in fund… https://t.co/u0UYg7nmMF,Mike Pence,19,0.0,0.653,0.347,0.8176
15,Republican,"Under the brave leadership of President @realDonaldTrump, we defeated the ISIS caliphate – retaking all territory i… https://t.co/9elRpQ95kt",Mike Pence,18,0.144,0.698,0.158,0.0772
16,Republican,President @realDonaldTrump delivered on the biggest tax cuts and reforms in American history! From doubling the chi… https://t.co/bRMQeVPeTj,Mike Pence,18,0.128,0.872,0.0,-0.3595
17,Republican,"The Trump Administration respects hard-working families, which is why we followed through on our promise to deliver… https://t.co/YnM5mVGtjS",Mike Pence,18,0.0,0.777,0.223,0.5574
18,Republican,President Trump promised to eliminate two regulations for every one new regulation and he KEPT that promise – savin… https://t.co/KrXOW7gnP0,Mike Pence,20,0.0,0.78,0.22,0.5859
19,Republican,Looking forward to joining the Rush @Limbaugh show today at 1:30pm to talk about the HUGE @TeamTrump kickoff rally… https://t.co/XA22LUtelF,Mike Pence,20,0.0,0.862,0.138,0.4648
20,Republican,Great event this afternoon in Billings supporting @SteveDaines! Montana needs 4 more years of @realdonaldtrump in t… https://t.co/ZHU9wWgRyV,Mike Pence,18,0.0,0.673,0.327,0.807
21,Republican,"The American people will continue to be drawn to @realDonaldTrump's consistent, conservative leadership - and I cou… https://t.co/GnCL1kFULE",Mike Pence,18,0.0,1.0,0.0,0.0
22,Republican,Congratulations to Michael Whatley on becoming @NCGOP Chairman! North Carolina delivered for @realDonaldTrump in 20… https://t.co/B8obWNudab,Mike Pence,16,0.0,0.782,0.218,0.636
23,Republican,Great turnout tonight in Harrisburg at the @PAGOP State Party Dinner! The Keystone State has no bigger supporter th… https://t.co/5klb1xe8JE,Mike Pence,20,0.08,0.584,0.336,0.7901
24,Republican,"On June 6, 1944, American soldiers stormed the beaches of Normandy in a courageous effort to free Europe from tyran… https://t.co/zJJiuvLz4c",Mike Pence,21,0.0,0.729,0.271,0.7717
25,Republican,Thanks to @GOPChairwoman and all the great supporters who turned out for the Trump Victory Event tonight in North C… https://t.co/t5hMD5Xwwp,Mike Pence,21,0.0,0.645,0.355,0.872
26,Republican,Tyler Trent was a remarkable young man who inspired so many with his strength and optimism while battling cancer. H… https://t.co/0hpBPFCjf5,Mike Pence,21,0.191,0.412,0.397,0.7906
