,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Republican,"Iran’s recent aggression is a reminder of the need for a strong military to protect the American people.
 
The… https://t.co/49eBS1bCYM",Senate GOP,20,0.095,0.649,0.255,0.5719
1,Republican,LIVE NOW: Senate Republicans speak to the press https://t.co/CKZxGlsAPx,Senate GOP,9,0.0,1.0,0.0,0.0
2,Republican,"The #FY20NDAA secures a 3.1% pay raise for uniformed personnel. 

This is the largest pay raise for our nation’s se… https://t.co/gyIoNqpZeX",Senate GOP,21,0.127,0.769,0.104,0.128
3,Republican,The FY2020 NDAA carries out one of Congress' most fundamental constitutional duties: keeping our nation safe in a d… https://t.co/qPgYWvYOas,Senate GOP,20,0.0,0.861,0.139,0.4404
4,Republican,"The breaking point has long passed at the border.

After *53 days* of needless obstruction, it’s time for… https://t.co/qQLAZBMtDf",Senate GOP,19,0.0,1.0,0.0,0.0
5,Republican,"Happy #NationalSelfieDay from South Carolina @SenatorTimScott, one of the strongest selfie games in the Senate. 💪 https://t.co/qLPvV3KCnk",Senate GOP,17,0.0,0.68,0.32,0.765
6,Republican,"After 52 days of needless obstruction, it’s time for @HouseDemocrats to decide: 

1. Continue acting as if the cris… https://t.co/ETFvhjEhi8",Senate GOP,20,0.0,1.0,0.0,0.0
7,Republican,"This week, the Senate begins consideration of the National Defense Authorization Act (NDAA).

This important legisl… https://t.co/Q0Au0g5wxo",Senate GOP,17,0.0,0.82,0.18,0.3182
8,Republican,"June 6th marked the one-year anniversary of @POTUS signing the VA MISSION Act into law. 

As the VA begins implemen… https://t.co/tIx1NUGzyp",Senate GOP,21,0.0,1.0,0.0,0.0
9,Republican,"“Full-blown emergency.” “Crisis.” “Nightmare.” Whatever you call it, the situation at the border has to be addresse… https://t.co/LhAvG7yqU4",Senate GOP,18,0.0,1.0,0.0,0.0
10,Republican,It’s been a full seven weeks since @POTUS asked Congress to act on the humanitarian crisis at the border. Democrats… https://t.co/A3vlNNylUQ,Senate GOP,21,0.177,0.823,0.0,-0.6249
11,Republican,"144,000 migrants were stopped at the southern border in May — the highest in 13 years.
 
Thousands of migrants are… https://t.co/OkkVtSFxOD",Senate GOP,21,0.091,0.909,0.0,-0.2263
12,Republican,It’s been 49 days since @POTUS asked Congress for emergency aid to address the humanitarian crisis on our southern… https://t.co/Tn1EmXksJf,Senate GOP,20,0.271,0.729,0.0,-0.7717
13,Republican,"The Senate Republican leadership team (@senatemajldr, @SenJohnThune, @SenJohnBarrasso, @SenJoniErnst, @RoyBlunt ,… https://t.co/0EBpt9Z0GP",Senate GOP,12,0.0,1.0,0.0,0.0
14,Republican,"The crisis on our southern border demands action. 

The top border official calls the situation ‘a full-blown emerg… https://t.co/5Ply98Uwr6",Senate GOP,19,0.179,0.742,0.079,-0.5106
15,Republican,"Happy Father’s Day, everyone! https://t.co/x55WrTJ1VX",Senate GOP,5,0.0,0.501,0.499,0.6114
16,Republican,"There is a full-blown emergency at our southern border.

But Democrats would rather fight the president than solve… https://t.co/F9A8XVItHE",Senate GOP,19,0.245,0.755,0.0,-0.6369
17,Republican,"Every heart beats true for the Red, White &amp; Blue 🇺🇸

Happy #FlagDay, everyone! https://t.co/ejKwaNoYC8",Senate GOP,15,0.0,0.657,0.343,0.7777
18,Republican,"Happy Birthday, @realdonaldtrump! 🎈 https://t.co/SppvCBYQIc",Senate GOP,5,0.0,0.429,0.571,0.6114
19,Republican,"The crisis on our southern border demands action. 

Immigration officials say they’re at the breaking point.

Unfor… https://t.co/LrmxuGNPiy",Senate GOP,18,0.194,0.806,0.0,-0.6249
20,Republican,"WATCH: There is a crisis at our southern border. @SenJohnBarrasso tells @VarneyCo, “the immigration system is broke… https://t.co/WezfTWKSrB",Senate GOP,18,0.204,0.796,0.0,-0.6249
21,Republican,"Happy Birthday, 41. https://t.co/s3qPTuCJx5",Senate GOP,4,0.0,0.448,0.552,0.5719
22,Republican,"There is a humanitarian and security crisis on our southern border.

Over 144,000 migrants were stopped just last m… https://t.co/W87bLEsdJj",Senate GOP,20,0.246,0.656,0.098,-0.5574
23,Republican,The crisis at the southern border has gone from bad to worse. But the Democrats refuse to act. The time for action… https://t.co/2SnDrACv0x,Senate GOP,23,0.404,0.596,0.0,-0.9169
24,Republican,"Senator @ChuckGrassley: ""Dems’ health care, Green New Deal promises riddled with poison pills that would harm us""

https://t.co/7LZHimRnFe",Senate GOP,18,0.261,0.522,0.216,-0.296
25,Republican,"The facts continue to show: there is a full-blown emergency at our southern border.

Unfortunately, Democrats would… https://t.co/wLMlkFvfXq",Senate GOP,18,0.25,0.75,0.0,-0.6124
26,Republican,"Last week—on the 75th Anniversary of D-Day—members of @SenateGOP joined @realDonaldTrump, veterans, and world leade… https://t.co/UDvTBFysQZ",Senate GOP,16,0.0,1.0,0.0,0.0
27,Republican,"@SenJohnThune Welcome to the Senate, Murdo! 👋",Senate GOP,7,0.0,0.603,0.397,0.5093
28,Republican,"In our nation’s robust jobs market, American workers are in the driver’s seat. https://t.co/RS0SfUB636",Senate GOP,14,0.0,0.844,0.156,0.34
29,Republican,"""Hirings increased to 5.9 million in April, the highest level since the Labor Department started keeping track.""",Senate GOP,17,0.0,0.884,0.116,0.2732
30,Republican,"New from @CNBC:  ""Hiring by US businesses hits a record high""

https://t.co/REFicT2ujr",Senate GOP,12,0.0,1.0,0.0,0.0
31,Republican,"75 years ago, thousands of brave Americans gave their lives storming the beaches of Normandy.
 
@SenateGOP joined… https://t.co/PaOHiYUGJe",Senate GOP,18,0.0,0.833,0.167,0.5267
32,Republican,"Happy Birthday, @VP! 🎈 https://t.co/ImrtjSJJ2z",Senate GOP,5,0.0,0.429,0.571,0.6114
33,Republican,"Paychecks are getting bigger. 

Annual wage growth has been 3% or higher for ten straight months.

#MayJobsReport https://t.co/PRS2RG1hxr",Senate GOP,18,0.0,0.78,0.22,0.5423
34,Republican,"May’s #JobsReport shows the unemployment rate continues to be the lowest in 50 years, since man first walked on the… https://t.co/YxXQvzs0zT",Senate GOP,21,0.224,0.776,0.0,-0.6705
35,Republican,"75 years ago, members of the greatest generation stormed the beaches of Normandy to fight for the cause of freedom.… https://t.co/KG3C3YFG16",Senate GOP,21,0.101,0.736,0.163,0.3818
36,Republican,"75 years ago, thousands of brave Americans gave their lives storming the beaches of Normandy.
 
Today, @SenateGOP j… https://t.co/7kVPsqoHY6",Senate GOP,19,0.0,0.841,0.159,0.5267
37,Republican,"75 years ago, Allied forces waded through waist-deep waters amid a barrage of gunfire to storm the beaches of Norma… https://t.co/FfmPJgXA9C",Senate GOP,21,0.0,1.0,0.0,0.0
38,Republican,The #GreenNewDeal has a huge $93 trillion price tag. Now @AOC says we need $10T for her big green bomb. Democrats h… https://t.co/uBpDWrrJxl,Senate GOP,23,0.125,0.784,0.09,-0.2263
39,Republican,"“These are the men who took the cliffs. 

These are the champions who helped free a continent. 

These are the hero… https://t.co/ilTMZuWrQt",Senate GOP,22,0.0,0.739,0.261,0.7717
40,Republican,"100 years ago today the Senate passed the 19th Amendment to the Constitution, granting women the right to vote.

To… https://t.co/jfCtRRHqMq",Senate GOP,21,0.0,0.897,0.103,0.3182
41,Republican,"The Senate Republican leadership team (@senatemajldr, @SenJohnThune, @SenJohnBarrasso, @SenJoniErnst, @RoyBlunt ,… https://t.co/eszRGAFXTO",Senate GOP,12,0.0,1.0,0.0,0.0
42,Republican,"100 years ago today the Senate approved the Woman Suffrage Amendment, clearing the way for state ratification of th… https://t.co/OczT9EUDF0",Senate GOP,20,0.0,0.872,0.128,0.4215
43,Republican,"⚡️ “2019 Military Appreciation Month” by @SenateGOP

https://t.co/vEzAzbXAD8",Senate GOP,8,0.0,0.68,0.32,0.5106
44,Republican,"We honor the life and legacy of former U.S. Senator Thad Cochran, who represented the people of Mississippi in the… https://t.co/Ddt81tIUar",Senate GOP,21,0.0,0.862,0.138,0.4939
45,Republican,This #MemorialDay we honor and remember those who gave their lives in service to our country. And to all our nation… https://t.co/NhHWieK1D6,Senate GOP,22,0.0,0.868,0.132,0.4939
46,Republican,"“I’m here to say thank you, that we appreciate your service to your country very much, and we want you to know it’s… https://t.co/R4Ffusr0Xk",Senate GOP,24,0.0,0.764,0.236,0.6705
47,Republican,“Join me in thanking Texas veterans who have given so much.” - @JohnCornyn https://t.co/ihs6zH2r3B,Senate GOP,14,0.0,1.0,0.0,0.0
48,Republican,"“I want to send a message to all the women and men in uniform across the world. I believe that you are the best, an… https://t.co/dUQ3DYCxRP",Senate GOP,26,0.0,0.8,0.2,0.6705
49,Republican,"“I just want to extend my thanks, on behalf of all Pennsylvanians, for the men and women who serve our country.” -… https://t.co/8gdrONYLR4",Senate GOP,23,0.0,0.772,0.228,0.5994
50,Republican,"“The people of Wyoming are very grateful for the men and women in our communities and our nation who protect us, wh… https://t.co/DFZP4lTHjm",Senate GOP,23,0.0,0.781,0.219,0.7089
51,Republican,"“To all of our amazing men and women in uniform across North Dakota, we say thank you.” - @SenJohnHoeven 🇺🇸 https://t.co/azmQUWc0ry",Senate GOP,21,0.0,0.741,0.259,0.743
52,Republican,"“To all the members of our #military men and women who are doing us so proud, from this marine, thank you, Semper F… https://t.co/aawVBVQRtQ",Senate GOP,24,0.0,0.772,0.228,0.7573
53,Republican,🇺🇸 https://t.co/KgbH1EAbvn,Senate GOP,2,0.0,1.0,0.0,0.0
54,Republican,"“I want to express my appreciation to the men and women in uniform and their families who protect us, sacrifice for… https://t.co/2PmSxglZ66",Senate GOP,22,0.0,0.725,0.275,0.7351
55,Republican,"“#MilitaryAppreciationMonth, an opportunity for us to say thank you to the men and women who wear the uniform of th… https://t.co/QKLTAP9CZf",Senate GOP,21,0.0,0.782,0.218,0.6486
56,Republican,“This month we dedicate time to recognize the contributions and sacrifices of the brave men and women who have serv… https://t.co/tKWUGAryhX,Senate GOP,21,0.0,0.855,0.145,0.5267
57,Republican,“Thanks to all the brave men and women of our armed forces for fighting to protect us at home and abroad. I send a… https://t.co/aPuv57cRMz,Senate GOP,25,0.085,0.712,0.203,0.5423
58,Republican,"“We in America owe a great deal of gratitude to those who are in our fighting forces, to keep America safe and free… https://t.co/mjoBZ3lW2C",Senate GOP,24,0.079,0.597,0.324,0.8316
59,Republican,"“To all our #military men and women around the world, especially those North Dakotans that serve at 4x the national… https://t.co/0yi6wlFSwc",Senate GOP,21,0.0,1.0,0.0,0.0
60,Republican,"“In honor of #MilitaryAppreciationMonth, I want to take a moment to thank all the men and women serving in the mili… https://t.co/8LOX5TcueG",Senate GOP,22,0.0,0.708,0.292,0.7184
61,Republican,"“I want to thank every member of the military, all men and all women for their service and of course we need to tha… https://t.co/zQ79vfSx90",Senate GOP,25,0.0,0.858,0.142,0.4215
62,Republican,"“During this #MilitaryAppreciationMonth, I want to recognize all our service members and their families for the sac… https://t.co/yaRH4HDGid",Senate GOP,18,0.0,0.925,0.075,0.0772
63,Republican,"”As a Marine, I want to thank our men and women currently serving in uniform, and their families. You keep us safe… https://t.co/2wJr3herwN",Senate GOP,23,0.0,0.833,0.167,0.4215
64,Republican,“The more contact I have with the men and women of our military – the finest among us – the more respect I have for… https://t.co/hzBqrEtDmv,Senate GOP,26,0.0,0.861,0.139,0.5256
65,Republican,"“As a combat veteran, I want to thank our men and women in uniform and their families for serving in times of great… https://t.co/rzniaPN5yM",Senate GOP,24,0.095,0.754,0.151,0.1027
66,Republican,“North Carolina has a proud tradition of men and women serving our country in the Armed Services. We owe them a deb… https://t.co/s66w2F1axO,Senate GOP,23,0.0,0.866,0.134,0.4767
67,Republican,"""Today and everyday we thank, we appreciate, we celebrate the men and women who serve us in our military."" -… https://t.co/PqZlxNsdeq",Senate GOP,21,0.0,0.669,0.331,0.836
68,Republican,"This #MilitaryAppreciationMonth, Senate Republicans would like to send a special message to all of our nation's her… https://t.co/TWsUregWg8",Senate GOP,18,0.0,0.743,0.257,0.6369
69,Republican,"Under the one-size-fits-all health care system top @SenateDems are pushing, Americans will pay more to wait longer … https://t.co/mVyL6HEt7W",Senate GOP,19,0.065,0.701,0.234,0.5574
70,Republican,"As @HouseBudgetDems hold a hearing on their one-size-fits-all health care proposal, Americans deserve to know the t… https://t.co/iL1c8Ibxpt",Senate GOP,18,0.0,0.833,0.167,0.4939
71,Republican,"Thanks to Republicans’ tax reform, America’s economy is strong, healthy, and growing. 📈⬆️ https://t.co/ft383PoJU9",Senate GOP,14,0.0,0.485,0.515,0.8625
72,Republican,HAPPENING NOW 👇 https://t.co/cJvJIYadqE,Senate GOP,4,0.0,1.0,0.0,0.0
73,Republican,"📺TUNE IN: The Senate Republican leadership team (@senatemajldr, @SenJohnThune, @SenJohnBarrasso, @SenJoniErnst,… https://t.co/MJJqtxVyqb",Senate GOP,12,0.0,1.0,0.0,0.0
74,Republican,"NEW from @GallupNews:

✅ Over 7 in 10 Americans feel positively about the U.S. job market

✅ Employment optimism am… https://t.co/6pQfiAEi7A",Senate GOP,21,0.0,0.699,0.301,0.7845
75,Republican,"""Optimism in America is Back."" - @SenDavidPerdue https://t.co/7CoCKPuWb6",Senate GOP,8,0.0,0.632,0.368,0.5423
76,Republican,"Under the one-size-fits-all health care system top @SenateDems are pushing, Americans will pay more to wait longer … https://t.co/NOx22HvbSo",Senate GOP,19,0.065,0.701,0.234,0.5574
77,Republican,"BREAKING: U.S. consumer sentiment surges to highest level in 15 years. 🔼🔼
https://t.co/y75b1FrHiY",Senate GOP,13,0.0,1.0,0.0,0.0
78,Republican,We're LIVE now! Tune in 👇 https://t.co/WnlILPVQIU,Senate GOP,7,0.0,1.0,0.0,0.0
79,Republican,"🚨 LIVE at 1:40pmET:

Republicans speak from the Senate floor to honor the service and sacrifice of our nation's her… https://t.co/UQMRuzeFlH",Senate GOP,21,0.0,0.856,0.144,0.4939
80,Republican,"As family, friends, and former colleagues gather in Indiana to mourn the loss of Senator Richard Lugar, we honor hi… https://t.co/dLARlqg42h",Senate GOP,21,0.18,0.599,0.222,0.296
81,Republican,"May is #MilitaryAppreciationMonth—a time to honor the service and sacrifice of our nation’s heroes.
 
America thank… https://t.co/IgkyCYU3jr",Senate GOP,17,0.0,0.698,0.302,0.7579
82,Republican,".@SenSanders, @SenMarkey and @AOC led a rally last night for the #GreenNewDeal.

Their extreme proposal is unafford… https://t.co/pgS0hg82ab",Senate GOP,18,0.0,1.0,0.0,0.0
83,Republican,"📺TUNE IN: The Senate Republican leadership team (@senatemajldr, @SenJohnThune, @SenJohnBarrasso, @SenJoniErnst,… https://t.co/xdKTCOQiVI",Senate GOP,12,0.0,1.0,0.0,0.0
84,Republican,"#GreenNewDeal vote tally:
 
- 0 Yeas
 
- 57 Nays
 
- 43 “present”
 
#DemsDucked🦆 https://t.co/3oAZ2dpDgP",Senate GOP,14,0.0,1.0,0.0,0.0
85,Republican,"A brief history of the #GreenNewDeal
 
2/7: @AOC &amp; @SenMarkey reveal the plan. @SenateDems rush to support.
 
2/14:… https://t.co/dJRa4tNAg3",Senate GOP,19,0.0,0.863,0.137,0.4019
86,Republican,"Thank you to all who serve. 

#NationalPoliceWeek2019 https://t.co/ael4ZLtZkX",Senate GOP,8,0.0,0.737,0.263,0.3612
87,Republican,"After saying there’s no ‘middle ground’ on climate policy, @SenSanders will appear tonight with @AOC and @SenMarkey… https://t.co/aynlM2KK38",Senate GOP,18,0.115,0.885,0.0,-0.296
88,Republican,"One-size-fits-all health care means Americans will pay more to wait longer for worse care.

Even @WashingtonPost ed… https://t.co/2LXuCxyvm9",Senate GOP,18,0.181,0.562,0.257,0.4404
89,Republican,Even @SenSanders agrees the economy is taking off! 🚀 https://t.co/NXpb60TQZL,Senate GOP,10,0.0,0.793,0.207,0.2714
90,Republican,#HappyMothersDay https://t.co/aHyH1vRZhf,Senate GOP,2,0.0,1.0,0.0,0.0
91,Republican,"Today is Military Spouse Appreciation Day 🇺🇸

On this day—and every day—we honor the contribution and sacrifice mad… https://t.co/IcwUz5AbJm",Senate GOP,19,0.0,0.723,0.277,0.7579
92,Republican,"Wages are rising, jobs are growing, and the economy is booming thanks to pro-jobs Republican policies. Even… https://t.co/7O1uh7KCNl",Senate GOP,18,0.0,0.777,0.223,0.5574
