,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Republican,"GREAT NEWS! This week, the Senate passed the bipartisan National Defense Authorization Act.

The #FY20NDAA secures the largest pay-raise in a decade for our brave men and women in uniform. https://t.co/XqHNXQzxiW",Senate of Republican,31,0.0,0.678,0.322,0.9067
1,Republican,"58 days.
 
81 efforts blocked in the House.
 
84 yea votes in the Senate.
 
0 time left to waste.
 
@SpeakerPelosi: Pass the Senate bill. https://t.co/35qSGbP7cT",Senate of Republican,25,0.182,0.818,0.0,-0.5994
2,Republican,"✅ PASSED: The National Defense Authorization Act (#FY20NDAA).

This important legislation carries out one of Congress' most fundamental constitutional duties: keeping our nation safe in a dangerous world. https://t.co/YsWJCZp6x6",Senate of Republican,29,0.096,0.712,0.192,0.2732
3,Republican,".@HouseDemocrats: This crisis demands action. 

Pass the Senate bill. https://t.co/E8ZhrC7tVD",Senate of Republican,10,0.313,0.687,0.0,-0.6249
4,Republican,"By an overwhelming 84-8 vote, the Senate just passed a strong bipartisan compromise that would begin to address the crisis at our southern border.
 
Now—after *two months* of obstruction—it’s time for @HouseDemocrats to do the same. https://t.co/oRpJwmAJ13",Senate of Republican,37,0.099,0.821,0.08,-0.2023
5,Republican,We can't prepare for the conflicts of tomorrow with the weapons and equipment of yesterday. That's why the #FY20NDAA modernizes our military capabilities and solidifies our combat advantage. https://t.co/yV3RxkEaYl https://t.co/aLTKfnwj7c,Senate of Republican,30,0.22,0.724,0.056,-0.7096
6,Republican,"There is a humanitarian crisis at our southern border. The President asked Congress to act eight weeks ago. The Democrats continue to play politics, but Republicans have been clear – this is a top priority. We need to resolve it now. - @SenJohnBarrasso https://t.co/rPaRlRq6Y3",Senate of Republican,44,0.053,0.725,0.222,0.7992
7,Republican,"The #FY20NDAA prioritizes quality of life for America’s troops and their families—including the largest pay-raise in over a decade.
 
The Senate should move quickly to pass this important, bipartisan national defense bill. https://t.co/yWeXs3hy7K",Senate of Republican,33,0.0,0.896,0.104,0.3612
8,Republican,"Iran’s recent aggression is a reminder of the need for a strong military to protect the American people.
 
The #FY20NDAA was approved by @SASCMajority with bipartisan support. 

The Senate should move quickly to pass this important national defense bill. https://t.co/netKtiC8Yv",Senate of Republican,40,0.046,0.644,0.31,0.8934
9,Republican,LIVE NOW: Senate Republicans speak to the press https://t.co/CKZxGlsAPx,Senate of Republican,9,0.0,1.0,0.0,0.0
10,Republican,"The #FY20NDAA secures a 3.1% pay raise for uniformed personnel. 

This is the largest pay raise for our nation’s servicemen and women in a decade. https://t.co/a2dscVDYvn",Senate of Republican,26,0.107,0.805,0.088,0.128
11,Republican,The FY2020 NDAA carries out one of Congress' most fundamental constitutional duties: keeping our nation safe in a dangerous world 🇺🇸 https://t.co/n64zLYmqiG,Senate of Republican,22,0.124,0.76,0.116,-0.0516
12,Republican,"The breaking point has long passed at the border.

After *53 days* of needless obstruction, it’s time for @SpeakerPelosi &amp; @HouseDemocrats to step up to the plate and be part of the solution. https://t.co/mgW87uBTmE",Senate of Republican,34,0.0,0.935,0.065,0.3182
13,Republican,"Happy #NationalSelfieDay from South Carolina @SenatorTimScott, one of the strongest selfie games in the Senate. 💪 https://t.co/qLPvV3KCnk",Senate of Republican,17,0.0,0.68,0.32,0.765
14,Republican,"After 52 days of needless obstruction, it’s time for @HouseDemocrats to decide: 

1. Continue acting as if the crisis at the border is “manufactured”; or

2. Finally take action. https://t.co/ckoqx9rixU",Senate of Republican,30,0.124,0.876,0.0,-0.6249
