,Political Affiliation,tweet,Politician,Word Count,negative,neutral,positive,polarity
0,Democrats,"In two days, I’ll take the stage for the first Democratic debate to discuss my vision for the country. If you haven… https://t.co/7DKS76oBm0",Sen Warren,23,0.0,0.917,0.083,0.25
1,Democrats,We need to face the facts on climate change: it’s an existential threat and it’s already here. Few cities know that… https://t.co/cc9Qa1bgNp,Sen Warren,22,0.139,0.861,0.0,-0.5267
2,Democrats,"Add your name to call on Congress to restore the Voting Rights Act and make every American's voice equal, once and… https://t.co/ePPdW3FPfB",Sen Warren,22,0.0,0.905,0.095,0.296
3,Democrats,"Civil rights was one of the things that got me engaged in politics. Six years after Shelby County v. Holder, voting… https://t.co/W2pkoLoj9G",Sen Warren,22,0.0,0.886,0.114,0.4019
4,Democrats,"We must secure our borders, but “build the wall” is a slogan divorced from reality. We need to focus on improving s… https://t.co/95FcN7N0NB",Sen Warren,23,0.0,0.787,0.213,0.6597
5,Democrats,.@GabbyGiffords’ dedication to making our communities safer continues to be an inspiration. I join her in urging th… https://t.co/pl52UW4XX6,Sen Warren,19,0.0,0.641,0.359,0.8126
6,Democrats,"Thank you for a great weekend, South Carolina! https://t.co/YCsyW66KzG",Sen Warren,9,0.0,0.465,0.535,0.784
7,Democrats,Trump sólo está interesado en políticas que atacan la dignidad de la comunidad Latina y asustan a los votantes para… https://t.co/HSP01T1yEH,Sen Warren,21,0.0,1.0,0.0,0.0
8,Democrats,It’s clear Trump is only interested in using his policies to assault the dignity of the Hispanic community and scar… https://t.co/LhdRIbCnax,Sen Warren,21,0.132,0.59,0.278,0.4939
9,Democrats,We’re bringing together supporters across the country for the first Democratic debate! Head to… https://t.co/f2QcL7mnw7,Sen Warren,15,0.0,0.814,0.186,0.4926
10,Democrats,The Trump Administration is arguing in the 9th Circuit that migrant children held in detention centers without soap… https://t.co/CruJGStfcS,Sen Warren,19,0.244,0.756,0.0,-0.6705
11,Democrats,"Trump’s erratic, impulsive actions are the last thing we need as Commander-in-Chief. No president should order a mi… https://t.co/kBUF7oefXC",Sen Warren,19,0.115,0.885,0.0,-0.296
12,Democrats,Planned Parenthood helps women and individuals get the health care they need — especially preventive services like… https://t.co/V0hrvoXum2,Sen Warren,18,0.0,0.721,0.279,0.7003
13,Democrats,"I support @PPact because women and transgender individuals' health care is essential. Historically, women — and par… https://t.co/O17ANvjoNH",Sen Warren,18,0.0,0.704,0.296,0.7096
14,Democrats,It’s always great to be back at the #ClyburnFishFry. Thank you to @ClyburnSC06 and everyone who came out for a grea… https://t.co/qi7ElzIAqA,Sen Warren,22,0.0,0.742,0.258,0.765
15,Democrats,President Trump continues to deny the scientific evidence in front of his own eyes and attack the progress we’ve ma… https://t.co/aYEhEZAjyZ,Sen Warren,21,0.209,0.684,0.106,-0.4019
16,Democrats,"Climate change poses an existential threat to our communities, economy, national security, and environment. Our pla… https://t.co/I1Oc79S81X",Sen Warren,17,0.163,0.721,0.115,-0.25
17,Democrats,We have to take on the epidemic of violence against the transgender community — especially trans women of color. Te… https://t.co/f666hxk3WV,Sen Warren,21,0.177,0.823,0.0,-0.6249
