Political Affiliation,tweet,Politician,Word Count
Democrats,"I am so incredibly proud of @CabanForQueens - and EVERY single person who showed up for this election today.

No ma… https://t.co/cyZfvag3de",Alexandria Ocasio-Cortez,22
Democrats,😎 https://t.co/p20O6WLNSe,Alexandria Ocasio-Cortez,2
Democrats,"Wayfair workers couldn’t stomach they were making beds to cage children.

They asked the company to stop. CEO said… https://t.co/bEG5kaGL6x",Alexandria Ocasio-Cortez,20
Democrats,"It’s wild to think that Third Way has gotten along with its “sensible Dem” charade as long as it has.

I’ve met Tru… https://t.co/xDwRGYAu1g",Alexandria Ocasio-Cortez,24
Democrats,"Queens residents: Today is the day we vote for DA! 🌞🗳 

Communities win when we turn out in high numbers. Let’s get… https://t.co/R2EmnOCx2p",Alexandria Ocasio-Cortez,23
Democrats,"Reminder: Caging kids is a for-profit enterprise, &amp; the people who profit off camps finance the political campaigns… https://t.co/GudAoqYleD",Alexandria Ocasio-Cortez,19
Democrats,"I’ll never forget this, because it was the moment I saw with my own eyes that the America I love was becoming a nat… https://t.co/fbbgzGxfZN",Alexandria Ocasio-Cortez,25
Democrats,"Yes, the treatment is bad - but the one thing I’ve learned about the right is that they’re all bark.

They stomp, t… https://t.co/H0d40E6i3J",Alexandria Ocasio-Cortez,24
Democrats,"If you doubt it, here’s the original tweet. This is a deliberate, intentional, wild jump made by Republicans (frank… https://t.co/Z0mXEYgRL6",Alexandria Ocasio-Cortez,20
Democrats,Reminder: the member who directly + explicitly compared concentration camps on our border to the Holocaust was *Liz… https://t.co/FnJG0Fd3qA,Alexandria Ocasio-Cortez,19
Democrats,"The student loan crisis is keeping people from:
📈 Becoming teachers &amp; other public careers
📈 Buying homes &amp; large p… https://t.co/8sBYIZf7vA",Alexandria Ocasio-Cortez,22
Democrats,"Student loans are a scam.

That’s why I join @BernieSanders, @RepJayapal &amp; @IlhanMN to forgive ALL student loans AN… https://t.co/DvzrclVTRs",Alexandria Ocasio-Cortez,20
Democrats,"We’re just a couple of girls, standing in front of a borough, organizing them to dismantle the carceral state. 😉

I… https://t.co/SaWVSWEK3s",Alexandria Ocasio-Cortez,22
Democrats,Remember when the Bush administration bullied media into using their devised term “enhanced interrogation” instead… https://t.co/rFLmEXwDlw,Alexandria Ocasio-Cortez,16
Democrats,"I have absolutely zero patience for completely certified, card-carrying and flag-waving racists. None. 🚫 

They can… https://t.co/D9qlHoNpbh",Alexandria Ocasio-Cortez,17
Democrats,The last time you went on this trip it was reported that you also met w/ fringe Austrian neo-Nazi groups to talk sh… https://t.co/6JxOyHHHn1,Alexandria Ocasio-Cortez,24
Democrats,"Hey @Liz_Cheney, you’re the GOP Conference Chair - perhaps you should come collect your colleague before more membe… https://t.co/nQUzwv5ZHo",Alexandria Ocasio-Cortez,19
Democrats,"Mr. King, the Republican Party literally stripped you of your Congressional committee assignments because you were… https://t.co/m4t8eWdGOT",Alexandria Ocasio-Cortez,17
Democrats,"#1: These are people protesting peacefully - hence their POSTERS &amp; not FIREARMS

#2: Why do you call some who threa… https://t.co/obQVLFeKIr",Alexandria Ocasio-Cortez,22
Democrats,"The most BX pride speech I ever gave 😂 they really cued up the horns for our policy points 🤣🏳️‍🌈 

There’s no place… https://t.co/XnhVJSo6Kc",Alexandria Ocasio-Cortez,24
Democrats,"When a powerful entity is trying to grow a system of human rights abuse (which is what this is) it’s on ALL of us,… https://t.co/9QxnkCZZu8",Alexandria Ocasio-Cortez,25
Democrats,#CloseTheCamps https://t.co/FL4KV3sLqk,Alexandria Ocasio-Cortez,2
Democrats,"Reminder this admin is CHOOSING to round up refugees seeking asylum, fighting to not give children toothpaste or so… https://t.co/ByPUv6BNaX",Alexandria Ocasio-Cortez,20
Democrats,"The GOP has supported building mass concentration camps on the southern border. Kids &amp; families are dying.

Now the… https://t.co/qbG2luzh9P",Alexandria Ocasio-Cortez,20
Democrats,"Please share this info widely &amp; make sure your neighbors have it.

If your home can be a safe space or haven for ot… https://t.co/hpT27oB0o1",Alexandria Ocasio-Cortez,25
Democrats,"Warning: The Trump admin is expected to begin ICE raids across the country TOMORROW, targeting people for round up.… https://t.co/84odvQwPCo",Alexandria Ocasio-Cortez,20
Democrats,"This was Philadelphia after an oil refinery exploded this morning.

So... what’s that about how climate change isn’… https://t.co/ZEKxH2yVEm",Alexandria Ocasio-Cortez,19
Democrats,This President needs to be impeached.,Alexandria Ocasio-Cortez,6
Democrats,"As long as the @GOPLeader supports jailing children and families on the border, I will continue to hold him to acco… https://t.co/PrRPVg9a6S",Alexandria Ocasio-Cortez,22
Democrats,"This is what the United States is doing in the name of the American people.

It’s child abuse, it’s indefensible, a… https://t.co/DfkpjEFCZP",Alexandria Ocasio-Cortez,22
Democrats,"Thank you, @johnlegend.

Queens residents: VOTE @CabanForQueens next Tuesday to bring the revolution to criminal ju… https://t.co/XUb3GieATz",Alexandria Ocasio-Cortez,17
Democrats,"This administration needs to put down its saber and pick up a phone.

Diplomacy is what grants us peace and stabili… https://t.co/PId0fqlpL0",Alexandria Ocasio-Cortez,22
Democrats,"Yesterday I listened to the powerful testimony of Ms. Gray, a West Virginia nurse on the front lines of the opioid… https://t.co/9OtzS2BoiL",Alexandria Ocasio-Cortez,22
Democrats,"For folks saying we should gloss over this, I think it’s important to realize that we can’t risk depressed turnout… https://t.co/QEgHsGqtQe",Alexandria Ocasio-Cortez,21
Democrats,"For the record, Cory Booker does *not* owe Joe Biden an apology for pointing out that waxing nostalgic about workin… https://t.co/455Nukyhop",Alexandria Ocasio-Cortez,21
Democrats,"I’m curious, @HouseGOP: what would you like people to call these Trump-run human cages?

According to you, concentr… https://t.co/PEBGsVNpNL",Alexandria Ocasio-Cortez,19
Democrats,"We are calling these camps what they are because they fit squarely in an academic consensus and definition.

Histor… https://t.co/B1nFjuPZJD",Alexandria Ocasio-Cortez,20
