Political Affiliation,tweet,Politician,Word Count,created_time
Republican,Thank you #G20OsakaSummit https://t.co/9FCqSuR5Bp,Donald Trump,4,2019-06
Republican,"After some very important meetings, including my meeting with President Xi of China, I will be leaving Japan for South Korea (with President Moon). While there, if Chairman Kim of North Korea sees this, I would meet him at the Border/DMZ just to shake his hand and say Hello(?)!",Donald Trump,49,2019-06
Republican,"54% in Poll! I would be at 75% (with our great economy, maybe the best ever) if not for the Phony Witch Hunt and the Fake News Media!",Donald Trump,28,2019-06
Republican,"I am in Japan at the G-20, representing our Country well, but I heard it was not a good day for Sleepy Joe or Crazy Bernie. One is exhausted, the other is nuts - so what’s the big deal?",Donald Trump,39,2019-06
Republican,"The Stock Market went up massively from the day after I won the Election, all the way up to the day that I took office, because of the enthusiasm for the fact that I was going to be President. That big Stock Market increase must be credited to me. If Hillary won - a Big Crash!",Donald Trump,56,2019-06
Republican,All Democrats just raised their hands for giving millions of illegal aliens unlimited healthcare. How about taking care of American Citizens first!? That’s the end of that race!,Donald Trump,28,2019-06
Republican,"Great to be back in Japan for the #G20OsakaSummit
https://t.co/ZUwla1UMAQ",Donald Trump,10,2019-06
Republican,Bipartisan Humanitarian Aid Bill for the Southern Border just passed. A great job done by all! Now we must work to get rid of the Loopholes and fix Asylum. Thank you also to Mexico for the work being done on helping with Illegal Immigration - a very big difference!,Donald Trump,49,2019-06
Republican,".....United States Supreme Court is given additional information from which it can make a final and decisive decision on this very critical matter. Can anyone really believe that as a great Country, we are not able the ask whether or not someone is a Citizen. Only in America!",Donald Trump,48,2019-06
Republican,"Seems totally ridiculous that our government, and indeed Country, cannot ask a basic question of Citizenship in a very expensive, detailed and important Census, in this case for 2020. I have asked the lawyers if they can delay the Census, no matter how long, until the.....",Donald Trump,46,2019-06
Republican,Thank you! #G20Summit https://t.co/28Y5rPE3BE,Donald Trump,4,2019-06
Republican,"Thank you @MSNBC, real professionals! @chucktodd @maddow https://t.co/7ZCkcUQ4yA",Donald Trump,8,2019-06
Republican,"I look forward to speaking with Prime Minister Modi about the fact that India, for years having put very high Tariffs against the United States, just recently increased the Tariffs even further. This is unacceptable and the Tariffs must be withdrawn!",Donald Trump,41,2019-06
Republican,https://t.co/JDS4zVfyBe,Donald Trump,1,2019-06
Republican,Just stopped in Alaska and said hello to our GREAT troops! https://t.co/oLYn1mpaVm,Donald Trump,12,2019-06
Republican,".@NBCNews and @MSNBC should be ashamed of themselves for having such a horrible technical breakdown in the middle of the debate. Truly unprofessional and only worthy of a FAKE NEWS Organization, which they are!",Donald Trump,34,2019-06
Republican,BORING!,Donald Trump,1,2019-06
Republican,These flyers depict Australia’s policy on Illegal Immigration. Much can be learned! https://t.co/QgGU0gyjRS,Donald Trump,13,2019-06
Republican,".@ByronYork: “What now, for those who denied a 'crisis' at the border?” https://t.co/g0EO7Xs0yE",Donald Trump,13,2019-06
Republican,"....They came to me asking for help, and I got Criminal Justice Reform passed, with help from both Republicans and Democrats. Many said that nobody but President Trump could have done this. All previous administrations failed. Please ask why THEY failed to the candidates!",Donald Trump,44,2019-06
Republican,"Ever since the passage of the Super Predator Crime Bill, pushed hard by @JoeBiden, together with Bill and Crooked Hillary Clinton, which inflicted great pain on many, but especially the African American Community, Democrats have tried and failed to pass Criminal Justice Reform...",Donald Trump,43,2019-06
Republican,"For tonight’s #DemDebate, be sure to follow @TeamTrump, @TrumpWarRoom, @Parscale, @KayleighMcEnany, @TimMurtaugh, and @Marc_Lotter for RAPID RESPONSE, FACT CHECKING, and the TRUTH! #MAGA #KAG Sorry, I’m on Air Force One, off to save the Free World!",Donald Trump,36,2019-06
Republican,"....and all of the others who have leaked, lied and did so many other terrible things? How is it even possible that these people are not being brought forward? Because it is a Rigged Democrat Con Game, and the Fake and Corrupt Media loves every minute of it!",Donald Trump,48,2019-06
