Political Affiliation,tweet,Politician,Word Count,created_time
Republican,Congratulations @USWNT! https://t.co/wFi3kQggjz,Liz Cheney,3,2019-06
Republican,"Main take away from #DemDebates: 
2020 Democrats want to kick 160 million Americans off private health insurance and destroy Medicare so they can open borders + guarantee health care for all illegal immigrants. #SocialismKills",Liz Cheney,34,2019-06
Republican,Listen and learn @AOC https://t.co/nq5CMyu8NT,Liz Cheney,5,2019-06
Republican,"Happy to help educate you @AOC. You could start with the ⁦@yadvashem⁩ survivor testimonies. I also recommend Night by Elie Wiesel. Here’s an Amazon link to make it easy for you to purchase. 

https://t.co/PWHEgciGgG https://t.co/4eMe13FgZp",Liz Cheney,35,2019-06
Republican,Please @AOC do us all a favor and spend just a few minutes learning some actual history. 6 million Jews were exterminated in the Holocaust. You demean their memory and disgrace yourself with comments like this. https://t.co/NX5KPPb2Hl,Liz Cheney,37,2019-06
Republican,No place like it in the world #ThatsWy #GodsCountry https://t.co/qOxBmxlUr9,Liz Cheney,10,2019-06
Republican,Cheers to the world’s greatest dad! #HappyFathersDay2019 https://t.co/gwo1RizIIY,Liz Cheney,8,2019-06
Republican,"While Russia violates arms control agreements to modernize and improve their nuclear forces, @HouseDemocrats are working to stop America from modernizing our nuclear forces. Why are @SpeakerPelosi and the Dems helping America’s adversaries? https://t.co/LfVSmiBMx3",Liz Cheney,34,2019-06
Republican,Great to be with @HouseGOP colleagues supporting @YoungKimCA who will be a terrific addition to our conference. Thanks to @VIEWPAC for your support of strong @gop women all across America. https://t.co/pjpbTdzYjC,Liz Cheney,31,2019-06
Republican,Weekend reading for America’s socialists ⁦@SenSanders⁩ ⁦@ewarren⁩ ⁦@AOC “Even Showers Are A Luxury in Venezuela Now” #socialismsucks ⁦ https://t.co/8gqu4ZiZyI,Liz Cheney,19,2019-06
Republican,"“It is good to be reminded that there are such men, that there always have been, and always will be... you can manufacture weapons, and you can purchase ammunition, but you can’t buy valor and you can’t pull heroes off an assembly line.” Sgt John Ellery, 16th Infantry,  #DDay https://t.co/3Wm2U1xEIc",Liz Cheney,50,2019-06
Republican,"40 years ago today, John Paul II arrived back in his native Poland. Confronting the communist government, he preached to the largest crowds in Polish history: “Christ cannot be kept out of the history of man in any part of the globe at any longitude or latitude.” https://t.co/6l79RhzHcT",Liz Cheney,48,2019-06
Republican,This is who the Houthis really are - despite what they say in @washingtonpost https://t.co/HWG6YB5tzJ,Liz Cheney,15,2019-06
Republican,"Yes, @ChrisCuomo, in America we believe women should be able to defend themselves. And we know the #SecondAmendment guarantees our right to do so. https://t.co/z2Ut24WONB",Liz Cheney,25,2019-05
Republican,On this #ArmedForcesDay- and every day-we honor the members of the United States military to whom we owe our freedom and an enduring debt of gratitude. https://t.co/Ax1SsPpCHd,Liz Cheney,27,2019-05
Republican,I am deeply sorry for our nation that the House Democratic leadership continues to enable the anti-Semitism in their ranks. https://t.co/MrcU5ekd2U,Liz Cheney,21,2019-05
Republican,"Here’s @RepRashida direct quote, “There’s a calming feeling I always tell folks when I think of the Holocaust.” And her “history” of what happened after is a fantasy based on lies spread to delegitimize the state of Israel. https://t.co/5akpUSApIE",Liz Cheney,39,2019-05
Republican,"Surely now @SpeakerPelosi⁩ &amp; ⁦@LeaderHoyer⁩ will finally take action against vile anti-Semitism in their ranks. This must cross the line, even for them. Rashida Tlaib says thinking of the Holocaust provides her a “calming feeling” https://t.co/opUUNEol2d",Liz Cheney,36,2019-05
Republican,Happy Mother’s Day to my amazing mom ❤️ https://t.co/8ISIg4pmrC,Liz Cheney,9,2019-05
Republican,"No surprise @IlhanMN, an anti-Semitic Socialist who slanders US troops and carries water for Hamas and Maduro, doesn’t recognize the truth when she hears it. https://t.co/lFEVNCeOi7",Liz Cheney,26,2019-05
