Political Affiliation,tweet,Politician,Word Count,created_time
Democrats,@CFPB @splcenter @RepKatiePorter @RepPressley Paul Watkins’ role at @CFPB lets him scrap anti-discrimination laws for tech companies that are supposed to protect LGBTQ consumers. @CFPBDirector  Kraninger should explain how the former lawyer of a homophobic hate-group got this job. https://t.co/WgNvs9jNg6,Senator Warren,40,2019-06
Democrats,"The @CFPB’s Director of the Office of Innovation was Senior Counsel at an anti-LGBTQ organization labeled as a hate-group by the @SPLCenter. @RepKatiePorter, @RepPressley &amp; I don’t think he should have a job at the CFPB. https://t.co/Oo4TNSF9RJ",Senator Warren,37,2019-06
Democrats,"Whether @realDonaldTrump likes it or not, he needs Congressional authorization to wage war. That’s why I voted for @SenatorTomUdall &amp; Senator Tim Kaine’s amdt that prohibits war with Iran without approval from Congress. Americans don’t want another war in the Middle East.",Senator Warren,42,2019-06
Democrats,".@realDonaldTrump and his band of war hawks @SecPompeo &amp; @AmbJohnBolton have brought us to the brink of war with Iran, which would have devastating consequences for the region and the world. This should terrify every American.",Senator Warren,36,2019-06
Democrats,I wrote to @BalfourBeatty &amp; the @USAirForce for an explanation about how Balfour Beatty was able to falsify housing maintenance logs while the Air Force looked the other way. I want answers. https://t.co/vvQctlbf1w,Senator Warren,33,2019-06
Democrats,But it gets worse: the @USAirForce unit that oversees privatized housing ignored at least 18 warnings from local employees about false info in @BalfourBeatty maintenance logs. I have real concerns about how the Air Force is using its oversight authorities.,Senator Warren,40,2019-06
Democrats,.@BalfourBeatty got paid millions to operate housing on America's military bases – and it systematically falsified maintenance logs to collect huge bonuses while military families lived in unsafe &amp; unsanitary homes. It's shameful. https://t.co/zrUK10zaV7,Senator Warren,34,2019-06
Democrats,"Let’s be clear: @realDonaldTrump’s nakedly partisan citizenship question is a scheme to undercount, underfund &amp; dilute the political power of communities of color. Today’s SCOTUS ruling proves this isn’t over. We must keep fighting to count every single person in the #2020census.",Senator Warren,42,2019-06
Democrats,Today the Supreme Court threw up its hands &amp; declared it can’t rein in partisan gerrymandering – can’t protect Americans’ constitutional rights to participate in their democracy equally &amp; choose their representatives. It's a shameful blow to the functioning of our democracy.,Senator Warren,42,2019-06
Democrats,It’s time for the Senate to pass the #EqualityAct to finally ban discrimination against LGBTQ people. And Congress should pass my Refund Equality Act so legally married same-sex couples can finally get the tax refunds they should have received but were denied.,Senator Warren,42,2019-06
Democrats,"Today we celebrate 4 years since Obergefell v. Hodges, the landmark SCOTUS ruling for #MarriageEquality. We celebrate – but we also remember that our LGBTQ friends &amp; family are still fighting for “equal dignity in the eyes of the law” at work, school, &amp; in our communities.",Senator Warren,47,2019-06
Democrats,@USDOL Today I led my @SenateDems colleagues in urging @USDOL to reverse course on joint employer agreements. The Labor Dept should be leading the fight to protect US workers – not undermining wage-and-hour protections for our most vulnerable. https://t.co/1UoYqduNtn,Senator Warren,39,2019-06
Democrats,"Giant corporations try to shirk responsibility for following federal labor laws by using contract workers, temps, &amp; franchises – &amp; @USDOL is trying to help them. Their proposal to narrow the definition of “employer” would weaken workers' wage protections. https://t.co/HvBA04FgTP",Senator Warren,40,2019-06
Democrats,What @realDonaldTrump's admin is doing is intentional cruelty – a deliberate attempt to destroy families and psychologically scar children. Shame on @realDonaldTrump &amp; shame on his @SenateGOP allies who have done his bidding on these horrific policies. https://t.co/WksjWKr2YM,Senator Warren,38,2019-06
Democrats,We should ban for-profit detention centers &amp; prisons. We should decriminalize migration. Parents &amp; children shouldn’t be deemed criminals for fleeing violence or seeking a better future. And we must stop family separation &amp; jailing children. Period. https://t.co/ZhPdENhQzj,Senator Warren,38,2019-06
