Political Affiliation,tweet,Politician,Word Count,created_time
Republican,"Help #KeepTexasRed and build our majority in the senate... pitch in $5 here 👉 https://t.co/xxIj3hy7ZG

Our fundraising drive continues through July 4th but we have an important FEC quarterly fundraising deadline TOMORROW at midnight. 

Your donation NOW will make a huge impact! https://t.co/dq61IWHJCb",Ted Cruz,40.0,2019-06
Republican,We are going to defend freedom in the United States of America! https://t.co/5jfL250v4j #TXSen,Ted Cruz,23.0,2019-06
Republican,"This is the ideological diversity of 2020 Dems. There is no room for moderates at the Trump-crazed inn. Nope, ALL TEN support free taxpayer-funded healthcare for EVERY illegal immigrant in America. And w/ open borders (which Dems now embrace), millions more will come illegally. https://t.co/5wmWDyZ5Jw",Ted Cruz,40.0,2019-06
Republican,"Occasionally, facts matter. But not on 2020 Dem debate stage.... https://t.co/N31CTS7FuX",Ted Cruz,38.0,2019-06
Republican,True. https://t.co/7VqAB9SoX3,Ted Cruz,43.0,2019-06
Republican,"Under President Trump’s leadership, America is now the number one energy producer in the world.

Not only do Democrats want to roll that back, some of them want to end oil production in this country altogether.",Ted Cruz,34.0,2019-06
Republican,I urge Administrator Wheeler and the administration to stand with hardworking refinery workers across this country and continue enacting policies that promote greater energy independence: https://t.co/K4JsiiYj3o,Ted Cruz,50.0,2019-06
Republican,"""Buchanan’s call comes after Cruz told IJR in February that after proposing the El Chapo Act, he discussed it with Trump, who 'has said that he’s strongly supportive.’""
https://t.co/Xbnn3M34Fm #TXSen",Ted Cruz,24.0,2019-06
Republican,ICYMI | WBCK: I Love This Idea; Make The Iranian Government Pay https://t.co/6pFfe0q38H #TXSen,Ted Cruz,35.0,2019-06
Republican,ICYMI | The Blaze: VIDEO: Google rep squirms under intense questioning by Ted Cruz on anti-conservative ‘political bias’ https://t.co/B9UY3fmvpE #TXSen,Ted Cruz,37.0,2019-06
Republican,Take the survey 👉 https://t.co/6cc11qs1eQ,Ted Cruz,30.0,2019-06
Republican,ICYMI | Fox News: Cruz bill would use Iran sanctions cash to pay for downed US drone https://t.co/GFEIcjcxyK #TXSen,Ted Cruz,41.0,2019-06
Republican,"In Washington, there is a bipartisan problem of career politicians in both parties that go to Congress and stay there forever and ever and ever.

We need to stop it.

We need term limits.

Join the fight: https://t.co/IXsOCEhA4h",Ted Cruz,46.0,2019-06
Republican,ICYMI from @thetexannews: Senator Ted Cruz Holds Hearing on Congressional Term Limits https://t.co/0atpGGM6SC #TXSen,Ted Cruz,20.0,2019-06
Republican,The case for term limits is essentially the case for draining the swamp: https://t.co/6xuABnifUN #TXSen,Ted Cruz,23.0,2019-06
Republican,"Wow.  Leftist activists:  Cheering for #AbolishICE  How messed up is it that there are parades celebrating abolishing law enforcement?  I stand with ICE, and I stand with the brave men &amp; women who defend our Nation &amp; keep us safe. https://t.co/iMAPzfA0nw",Ted Cruz,45.0,2019-06
Republican,My prayers go out to all the great men and women at Philadelphia Energy Solutions. Very thankful no one was injured last night.,Ted Cruz,37.0,2019-06
Republican,Hold the vote on a clean resolution to #CondemnAntisemitism  in the House --&gt; https://t.co/pwsXznJfwY,Ted Cruz,22.0,2019-06
Republican,"Always take the high road, Claire.... https://t.co/2bLoOtI88e",Ted Cruz,37.0,2019-06
Republican,"Trivia Q: what do @SenMikeLee and Kim Kardashian have in common?  

.

.

.

.

A: They’ve both appeared on Keeping Up With the Kardashians! https://t.co/BkLJOcm8Ke",Ted Cruz,41.0,2019-06
Republican,"“Boycotts and other attacks on the livelihood of Jews have been part of antisemitism for centuries, and BDS is one of the latest manifestations.” https://t.co/I5JMd0kj4C #TXSen",Ted Cruz,50.0,2019-06
Republican,"""Sen. Cruz said that his own support for term limits has grown 'a thousand times more' after serving in the Senate."" https://t.co/Jt0ArMnE97 #TXSen",Ted Cruz,34.0,2019-06
Republican,"ICYMI: ""Senator Ted Cruz’s ongoing investigation into Yale Law School over its treatment of Christians and conservatives is a good thing for American education."" https://t.co/O5RWtfzOG8 #TXSen",Ted Cruz,41.0,2019-06
Republican,@DavidAFrench I can’t believe it took you this long,Ted Cruz,37.0,2019-06
Republican,"Enough is enough. 

The House of Representatives should hold a vote on a clean resolution to #CondemnAntisemitism!

Add your name HERE if you agree --&gt; https://t.co/pwsXznJfwY",Ted Cruz,47.0,2019-06
Republican,"As we commemorate the long-overdue announcement of emancipation made 154 years ago in Texas, let us together, in the words of James Weldon Johnson, ""lift every voice and sing"" in praise of the God-given freedoms we all cherish. #Juneteenth2019 https://t.co/Z9Q5M8U6kD",Ted Cruz,45.0,2019-06
Republican,"First Whataburger, now this?

Where does it end? https://t.co/keo54lEfFp",Ted Cruz,32.0,2019-06
Republican,ICYMI | Daily Wire: Ted Cruz Proposes Important Amendment To Finally End Iran’s Civil-Nuclear Waivers https://t.co/j8fp73ynhq #TXSen,Ted Cruz,22.0,2019-06
Republican,ICYMI | KTSA: Cruz Continues Push For Congressional Term Limits https://t.co/jR1q5uQCoy #TXSen,Ted Cruz,20.0,2019-06
Republican,This is crap. https://t.co/lM25IaBlIT,Ted Cruz,37.0,2019-06
Republican,"So you’re saying you’re going to spend a massive amount of money, attract fawning press &amp; Hollywood attention, and still lose to the Republican? https://t.co/RwAZZPhybN",Ted Cruz,39.0,2019-06
Republican,Is John Cusack one of the freshmen trio of Dem women?  I’m sensing a pattern.... https://t.co/NLAC4pFiZW,Ted Cruz,43.0,2019-06
Republican,https://t.co/lCrvesQlck https://t.co/onmgGr9jH5,Ted Cruz,38.0,2019-06
Republican,"Do big tech companies need to be more transparent? 

VOTE --&gt; https://t.co/wdo7oEHIVa",Ted Cruz,39.0,2019-06
Republican,The troubling conduct of social media companies continues. #EndBigTechCensorship https://t.co/X0by6UGbbD,Ted Cruz,39.0,2019-06
Republican,"To all of the dads out there, thank you for the guidance, the love, and the compassion you share with your children. Happy #FathersDay! https://t.co/mClrTdfTgv",Ted Cruz,26.0,2019-06
Republican,"For Father’s Day, took my Dad to see ⁦@GitRDoneLarry⁩  in concert at ⁦@RepublicCCBBQ⁩  Great fun, celebrating Dad. https://t.co/kZ0evsS8jw",Ted Cruz,30.0,2019-06
Republican,"Self-satire: long, convoluted article explaining that, yes, late-night comedians have become angry, shrill, Leftist partisans—and completely un-funny—but (of course) that’s all the fault of...Donald Trump.  https://t.co/YjjFcyZOuf",Ted Cruz,38.0,2019-06
Republican,Wow... https://t.co/QUowSaQgfN,Ted Cruz,39.0,2019-06
Republican,"🎶You're the emblem of the land I love...
The home of the free and the brave!🎶

Happy #FlagDay🇺🇸 https://t.co/nrpq8F963P",Ted Cruz,38.0,2019-06
Republican,"Want to #DrainTheSwamp? 

We need term limits!

Join the fight to make it happen --&gt; https://t.co/IXsOCEhA4h",Ted Cruz,30.0,2019-06
Republican,Thanks for all you do Konni. You’re awesome! https://t.co/XKEdqrHZha,Ted Cruz,8.0,2019-06
Republican,Funny that.... https://t.co/d1d1NLUB6y,Ted Cruz,25.0,2019-06
Republican,https://t.co/6QFj2tORKP https://t.co/Q2owGBdAx8,Ted Cruz,36.0,2019-06
Republican,@chiproytx https://t.co/UftbsbIEjW,Ted Cruz,38.0,2019-06
Republican,"I agree. Perhaps, in addition to the legislation we are already working on together to ban Members of Congress from becoming lobbyists, we can team up here as well. A simple, clean bill making birth control available over the counter. Interested? https://t.co/7kh3kqxN1w",Ted Cruz,39.0,2019-06
Republican,Kids.  Texas.  Liberty.  Lemonade. All kinds of awesome. 🍋🍋🇺🇸🇺🇸👍👍 https://t.co/dBtM5wDJtc,Ted Cruz,38.0,2019-06
Republican,@viaCristiano @AOC @ewarren @RepMattGaetz buy a lottery ticket,Ted Cruz,52.0,2019-06
Republican,"So I’m 48. Chuck Norris, James Caan &amp; Mike Ditka are all 79...so I’m gonna pass on this one. https://t.co/rudM07CG1S",Ted Cruz,52.0,2019-06
Republican,"Want to #DrainTheSwamp? 

A LIFETIME BAN on former Members of Congress becoming lobbyists is a great start. 

Join the fight --&gt; https://t.co/MM3WmMqgeP",Ted Cruz,25.0,2019-06
Republican,Thx! https://t.co/EMnHteHYtU,Ted Cruz,42.0,2019-06
Republican,"My pastor, @GreggMatte, just released a new book
“Difference Makers: How To Live A Life of Impact &amp; Purpose”.  It’s a great summer read. https://t.co/RFITK8d0mr",Ted Cruz,34.0,2019-06
Republican,"Really, Brian?? You can’t think of any other similarities btwn them? And differences w/ Scalise? Twitter only does this in one DIRECTION. In fact, let’s try this experiment: take a pic of Twitter’s recs to you (a Dem senator) RIGHT NOW.  I’ll give $100 if it recs even 2 of 5 Rs. https://t.co/1SnQnB6Nlp",Ted Cruz,46.0,2019-06
