Political Affiliation,tweet,Politician,Word Count,created_time
Democrats,"We're in a battle for the soul of this nation. We can end the politics of division that’s pulling this country apart and move forward again ⁠— but it’s going to take everyone rolling up their sleeves and doing their part.

Let's get to work. https://t.co/Q3Y1el5tOY",Joe Biden,46,2019-06
Democrats,"Today marks 50 years since the Stonewall uprising, where those brave individuals took a stand on Christopher St and changed our world forever. We must continue our fight for full LGBTQ equality until everyone is treated with the dignity and respect they deserve. #Stonewall50 https://t.co/9X8zf8xWBN",Joe Biden,45,2019-06
Democrats,"I’ve fought my heart out to ensure that civil rights, voting rights, and equal rights are enforced everywhere. These rights are not up to the states to decide. They are embedded in our Constitution. And the federal government has a duty to protect the civil rights of all people. https://t.co/2vMqzRrg89",Joe Biden,50,2019-06
Democrats,"At last night’s first Democratic debate, I laid out why I’m running for president and my bold vision for the future. A vision built on uniting our country, because there's not a single thing the American people can’t do — together. #DemDebate https://t.co/jzfVUZ5T2x",Joe Biden,43,2019-06
Democrats,"I just got off the debate stage, where I laid out my vision for the country. We’ll work together to get it done, because there’s not a single thing we can’t do – together. If you agreed with what you heard tonight, join our team and let’s get to work: https://t.co/2LMjeCxvEs",Joe Biden,51,2019-06
Democrats,"That’s a wrap! Thanks for following along with us for night two of the Democratic debate. Make sure to follow @TeamJoe to stay up-to-date on everything happening on the campaign.
#DemDebate #TeamJoe",Joe Biden,32,2019-06
Democrats,"""There's not a single thing the American people can't do."" 
#DemDebate #TeamJoe https://t.co/Z1VEIM7tbt",Joe Biden,13,2019-06
Democrats,"We know NATO will fall apart if Donald Trump is elected for four more years. It’s the single most consequential alliance in the history of the United States.
#DemDebate https://t.co/SL2Mq9k161",Joe Biden,30,2019-06
Democrats,Retweet if you're proud to be on #TeamJoe! #DemDebate https://t.co/Z2FKYRE9PX,Joe Biden,10,2019-06
Democrats,"The Biden administration will make the largest ever investment in clean energy research and innovation to develop zero-carbon technologies, so America is the engine of the world’s clean energy economy. #DemDebate https://t.co/1yIcGiOzdH",Joe Biden,32,2019-06
Democrats,"The members of the NRA are not our opponents — the vast majority of them support common-sense reforms, including universal background checks. The gun manufacturers who bankroll the NRA are our opponent. 

As president, Biden will defeat them.
#DemDebate",Joe Biden,39,2019-06
Democrats,"The Iraq war was a strategic mistake that cost the U.S. dearly. As President, @JoeBiden will use military power responsibly, and never commit our forces to a conflict without fully preparing for the consequences. #DemDebate",Joe Biden,35,2019-06
Democrats,"Joe Biden shepherded through the Brady Background bill in 1993 and bans on assault weapons and high capacity magazines in 1994.

As president, Joe will defeat the @NRA again.
#DemDebate https://t.co/ZZezO80xZM",Joe Biden,31,2019-06
Democrats,Climate change is a global challenge that requires decisive action from every country around the world. Joe Biden will lead an effort to get every major country to ramp up the ambition of their domestic climate targets. #DemDebate https://t.co/92IcLm6Csa,Joe Biden,39,2019-06
Democrats,"As President, Joe Biden will export our clean-energy technology across the globe and create high-quality, middle-class jobs here at home. #DemDebate https://t.co/8iEZoMaEAT",Joe Biden,22,2019-06
Democrats,"Joe Biden played a key role in securing the extension of the Voting Rights Act—and has advocated for its renewal, and for stronger voter access protections, over the course of his career. #DemDebate https://t.co/UHs5xgUGCe",Joe Biden,34,2019-06
Democrats,"“We would reunite those families, period.” #DemDebate https://t.co/V0iwd43qv8",Joe Biden,8,2019-06
Democrats,"Our immigration system must be fixed without tossing our morals aside. This all starts by protecting DREAMers and recognizing the value of immigrants.
#DemDebate https://t.co/JoRqb150gU",Joe Biden,25,2019-06
Democrats,"As Vice President, Joe Biden worked with the leaders of the Northern Triangle (Guatemala, El Salvador, and Honduras) to institute reforms tackling corruption, violence, and economic inequality in their countries, reducing migration to the U.S. 
#DemDebate",Joe Biden,36,2019-06
Democrats,"""Health care is personal to me... there are people right now who are facing what I faced, without any of the help I had. We must move now."" #DemDebate https://t.co/SrUZerMhNO",Joe Biden,30,2019-06
Democrats,"Now, we need to finish the job and make health care a right for all, not a privilege for the few. 
#DemDebate https://t.co/tSFitwiaNm",Joe Biden,23,2019-06
Democrats,"As VP, Joe Biden stood shoulder to shoulder with President Obama to pass the Affordable Care Act, which:

✅ Expanded coverage to 20 million add’l Americans
✅ Protected Americans with pre-existing conditions
✅ Expanded Medicaid to millions without access to health insurance https://t.co/0CNjpSZPom",Joe Biden,43,2019-06
Democrats,https://t.co/H3a61KTPQM,Joe Biden,1,2019-06
Democrats,"We've got to do better for our educators and our students. In a Biden Administration, we will:

✅ Give our educators the pay and dignity they deserve
✅ Provide universal Pre-K for all
✅ Double the number of mental health professionals in schools

https://t.co/d1o4WnDczV",Joe Biden,44,2019-06
Democrats,"This country wasn’t built by Wall Street bankers and CEOs and hedge fund managers. 

It was built by you. 

By ordinary people doing extraordinary things. That’s the history of the journey of America.
#DemDebate",Joe Biden,34,2019-06
Democrats,"Hey everyone — @TeamJoe here! We’re taking over @JoeBiden’s account while he’s on stage for tonight’s Democratic debate. Throughout the evening, we’ll be giving you the facts on Joe and his record. #DemDebate",Joe Biden,33,2019-06
Democrats,"I’m about to take the debate stage. The large, diverse Democratic field is evidence of our party's strength. And above all, we all agree that we need to make Donald Trump a one-term president. #DemDebate",Joe Biden,35,2019-06
Democrats,"We have to choose hope over fear, truth over lies, and unity over division. I hope you’ll tune in tonight as we discuss these important issues and more. If you like what you hear, I ask you to join us by signing up at https://t.co/FiM7U862fT. Let’s get to work.",Joe Biden,49,2019-06
Democrats,We can do all this and more – all that stands in the way is a broken political system. We have to unite this country. And we can do it without compromising our principles. That’s the only way we’re going to be able to harness the incredible potential of the American people.,Joe Biden,52,2019-06
Democrats,"Climate change is an existential threat. We have to take urgent, drastic action now to address the climate emergency. On day one, I’ll take the bold action necessary to tackle this crisis head-on and rally the world to raise our ambitions. https://t.co/Tg2yqpL8DO",Joe Biden,42,2019-06
Democrats,"We have to transform education. We’ll provide universal Pre-K, triple Title I funding, raise teacher pay, double the number of mental health professionals in our schools, and eliminate disparities between rich and poor schools. https://t.co/6oqEuc5N8Q",Joe Biden,35,2019-06
Democrats,"Under my plan, everyone will have the option to buy into a public health plan like Medicare. And we’ll guarantee that the poor – who otherwise would be covered by the Medicaid expansion – are automatically covered, free of charge.",Joe Biden,40,2019-06
Democrats,We need to defend and build on the Affordable Care Act. I was proud every day to serve alongside President Obama as Vice President – but never more so than the day the Affordable Care Act passed. Now we have to finish the job.,Joe Biden,44,2019-06
Democrats,"It’s time to reward work, not just wealth. On day one, I’ll move to: eliminate the Trump tax cut for the super-wealthy, cut the unjustified loopholes in our tax code, and use that money to invest in America’s future.",Joe Biden,39,2019-06
Democrats,The poor are getting poorer and the bottom is falling out of the middle class. Income inequality is on the rise — made worse by the Trump tax cut that was a giant give-away to the super-wealthy.,Joe Biden,37,2019-06
Democrats,"We have to rebuild the backbone of this nation – the middle class. And this time make sure everyone comes along, regardless of race, gender, sexual orientation, religion, or disability.",Joe Biden,30,2019-06
Democrats,"Every day we are being reminded what this election is about. Who we are. What we stand for. What we believe. I am running to offer our country a different path – not back to a past that never was, but to a future that fulfills our true potential as a country.",Joe Biden,52,2019-06
Democrats,"We know in our bones this election is different. We have a president who promotes hate and division. Encourages white supremacists. Embraces dictators. And damages our alliances internationally.

Our politics traffics in division. And our president is the divider in chief.",Joe Biden,41,2019-06
Democrats,"In an hour, I’ll take the stage for the first Democratic debate to discuss my vision for the country. As I’ve said from day one, I’m running for president for three reasons: to restore the soul of this nation, rebuild its backbone — the middle class, and unify all Americans.",Joe Biden,50,2019-06
Democrats,"From day one, we've refused to take money from any corporate PACs or lobbyists. Today, I’m building on that base by signing @NoFossilMoney’s pledge to reject support from the PACs, lobbyists, or executives of fossil fuel companies.

I work for you — not any industry. https://t.co/f8HxB89F9V",Joe Biden,46,2019-06
Democrats,"In America, every worker deserves fair treatment, safe workplaces, and the right to join a union. Period. I’m proud to stand in solidarity with airport workers across the country as they strike for their right to organize. #RespectUSworkers",Joe Biden,38,2019-06
Democrats,"Today’s decision from the court hopefully means there will not be a question on the 2020 Census, but we have much more work to do to ensure all voices are heard in our democracy.",Joe Biden,34,2019-06
Democrats,"Make no mistake, the Trump Administration added a citizenship question to the Census to deliberately cut out the voices of immigrants and communities of color. It’s wrong and goes against our core values as a nation.",Joe Biden,36,2019-06
Democrats,Today the Supreme Court refused to stop politicians rigging our democracy by writing election rules for their own benefit. It couldn’t have happened without Justices put there by Donald Trump and Republicans — another reason why Democrats must take back the White House in 2020.,Joe Biden,45,2019-06
Democrats,"I was proud to sign @IndivisibleTeam’s pledge. Our large and diverse set of qualified Democratic candidates is evidence of our strength as a party, and I am committed to supporting whomever becomes the nominee. The most important thing is to beat Donald Trump. Period. https://t.co/KiBiOOZpDm",Joe Biden,45,2019-06
Democrats,"All marriages, at their root, are about love. And four years ago, the Supreme Court affirmed that simple proposition in Obergefell v. Hodges. Thank you to the generations of LGBTQ trailblazers who refused to bend before the voices of intolerance. Your courage changed the world.",Joe Biden,45,2019-06
Democrats,This image is gut-wrenching. The cruelty we're seeing at our border is unconscionable. History will judge how we respond to the Trump Administration’s treatment of immigrant families &amp; children—we can’t be silent. This isn't who we are. This is not America.https://t.co/ZeMBmwUHxU,Joe Biden,41,2019-06
Democrats,"One year ago, the Supreme Court upheld Trump's Muslim ban—one of this administration's most egregious attacks on our core values. Wielding the politics of fear and intolerance by slandering entire religious communities as complicit in terrorism is wrong, and it’s not who we are.",Joe Biden,44,2019-06
Democrats,"DREAMers are Americans, and Congress needs to make it official. The millions of DREAMers and undocumented individuals in the United States can only be brought out of the shadows through fair treatment, not ugly threats.",Joe Biden,35,2019-06
Democrats,"Today, we’re launching our Team Joe Organizing Fellowship, an eight-week online training program where you’ll learn the ins-and-outs of grassroots and digital organizing.

We need your help organizing communities across the country. Apply today: https://t.co/g33QHBxSdi https://t.co/pNcgm7vcR7",Joe Biden,36,2019-06
Democrats,"In two days, I’ll take the stage for the first Democratic debate to discuss my vision for the country. If you haven’t yet, RSVP to attend a watch party in your community today: https://t.co/ai8Gixr1tV https://t.co/o5pV6OJN76",Joe Biden,35,2019-06
Democrats,"We need to face the facts on climate change: it’s an existential threat and it’s already here. Few cities know that better than Miami. 

We must take urgent action to tackle the climate crisis today.
https://t.co/H1a3brFr1N",Joe Biden,36,2019-06
Democrats,"Add your name to call on Congress to restore the Voting Rights Act and make every American's voice equal, once and for all. #RestoreTheVote https://t.co/CoEvHyLljj",Joe Biden,25,2019-06
Democrats,"Civil rights was one of the things that got me engaged in politics. Six years after Shelby County v. Holder, voting rights are under attack across the country. And that’s one of the reasons I’m running for president today.

We must renew our efforts to protect the right to vote. https://t.co/IXrZ8dJWRq",Joe Biden,51,2019-06
Democrats,"We must secure our borders, but “build the wall” is a slogan divorced from reality. We need to focus on improving screening procedures at our legal ports of entry &amp; making smart investments in border technology. These policies will do more for our security than a wall ever could.",Joe Biden,49,2019-06
Democrats,.@GabbyGiffords’ dedication to making our communities safer continues to be an inspiration. I join her in urging the Senate to vote on #BackgroundChecksNow. We must take on the @NRA and end the epidemic of gun violence in our country. https://t.co/XqRzkRe2KY,Joe Biden,40,2019-06
Democrats,"Thank you for a great weekend, South Carolina! https://t.co/YCsyW66KzG",Joe Biden,9,2019-06
Democrats,"Trump sólo está interesado en políticas que atacan la dignidad de la comunidad Latina y asustan a los votantes para que se presenten en las urnas el día de las elecciones, sin interés por abordar los desafíos reales que enfrenta nuestro hemisferio. https://t.co/YEXsBZizKK",Joe Biden,43,2019-06
Democrats,"It’s clear Trump is only interested in using his policies to assault the dignity of the Hispanic community and scare voters to turn out on Election Day, while not addressing the real challenges facing our hemisphere.

Read my full op-ed here:
https://t.co/9dl3ADpBf3",Joe Biden,42,2019-06
Democrats,We’re bringing together supporters across the country for the first Democratic debate! Head to https://t.co/r0RlGWdvLe to RSVP to a watch party in your community. https://t.co/D86yUQXU7y,Joe Biden,25,2019-06
Democrats,"The Trump Administration is arguing in the 9th Circuit that migrant children held in detention centers without soap, toothbrushes or beds are in conditions that are “safe and sanitary”.

It’s an all-out assault on human dignity and our standards as a nation. We must do better.",Joe Biden,46,2019-06
Democrats,"Trump’s erratic, impulsive actions are the last thing we need as Commander-in-Chief. No president should order a military strike without fully understanding the consequences. We don’t need another war in the Middle East, but Trump’s actions toward Iran only make that more likely.",Joe Biden,43,2019-06
Democrats,"Planned Parenthood helps women and individuals get the health care they need — especially preventive services like cancer screenings, mammograms, checkups, and contraception.

Thank you to @PPact for having me at today’s #WeDecide Forum to discuss these important issues. https://t.co/6P5MoAJ39V",Joe Biden,40,2019-06
Democrats,"I support @PPact because women and transgender individuals' health care is essential. Historically, women — and particularly women of color — have been put in a position where they cannot access health care, in a more extreme way more than any other part of the population.",Joe Biden,46,2019-06
Democrats,It’s always great to be back at the #ClyburnFishFry. Thank you to @ClyburnSC06 and everyone who came out for a great night! https://t.co/SMkY7XgZ7L,Joe Biden,23,2019-06
Democrats,"President Trump continues to deny the scientific evidence in front of his own eyes and attack the progress we’ve made on climate change. It’s unacceptable. 

In a Biden Administration, we’ll turbocharge our efforts to achieve a 100% clean energy economy.
https://t.co/6WLinHjje2",Joe Biden,41,2019-06
Democrats,"Climate change poses an existential threat to our communities, economy, national security, and environment. Our plan for a Clean Energy Revolution &amp; Environmental Justice will address the climate emergency &amp; protect our communities for generations to come. https://t.co/FbsOsyQkIo",Joe Biden,38,2019-06
Democrats,"We have to take on the epidemic of violence against the transgender community — especially trans women of color. Ten trans women have been killed violently in 2019 so far.

We must stand up, speak out, and put an end to this hate. https://t.co/FxW38cG6xQ",Joe Biden,44,2019-06
Democrats,This month marks 50 years since a movement was born on Christopher Street — a movement that has delivered so much acceptance &amp; hope &amp; pride for the LGBTQ community. I stopped by @TheStonewallNYC to celebrate the 50th anniversary of the uprising that changed our world forever. https://t.co/i2ShQVIKjm,Joe Biden,48,2019-06
Democrats,"What we need is presidential leadership that will take strategic action to counter the Iranian threat, restore America's standing in the world, recognize the value of principled diplomacy, and strengthen our nation and our security by working strategically with our allies.",Joe Biden,41,2019-06
Democrats,Make no mistake: Iran continues to be a bad actor that abuses human rights and supports terrorist activities throughout the region.,Joe Biden,21,2019-06
Democrats,"It’s sadly ironic that the State Department is now calling on Iran to abide by the very deal the Trump Administration abandoned.

By walking away from diplomacy, Trump has made military conflict more likely. Another war in the Middle East is the last thing we need.",Joe Biden,46,2019-06
Democrats,"But they’ve only gotten more aggressive. Trump also promised that walking away would somehow lead to a better deal – instead, the predictable has happened: Iran is building back up its nuclear capability.",Joe Biden,33,2019-06
Democrats,He unilaterally withdrew from the hard-won nuclear agreement that the Obama-Biden Administration negotiated to stop Iran from getting a nuclear weapon. Trump promised that abandoning the deal and imposing sanctions would stop Iran’s aggression in the region.,Joe Biden,37,2019-06
Democrats,President Trump's Iran strategy is a self-inflicted disaster. Two of America's vital interests in the Middle East are preventing Iran from obtaining a nuclear weapon and securing a stable energy supply through the Strait of Hormuz. Trump is failing on both counts.,Joe Biden,42,2019-06
Democrats,"As we recognize Juneteenth and the progress we’ve made since slavery, we must also double down on our efforts to root out systemic racism. We have to make sure we’re working to move closer to that more perfect union, to the idea of America that has inspired so many generations.",Joe Biden,50,2019-06
Democrats,"America was founded on the ideals of equality, equity, &amp; fairness—but has failed to live up to that promise for all people. In 2019, the unemployment rate for black people is almost twice that of white people. Children born poor are twice as likely to stay poor if they’re black.",Joe Biden,50,2019-06
Democrats,"Trump’s policies appear intentionally designed to aggravate the situation to scare Americans into re-electing him. Cutting off aid to Central America will increase migration to our Southern border, not reduce it.",Joe Biden,31,2019-06
Democrats,President Trump threatening the mass deportation of immigrants is cruel and un-American. We can fix our broken immigration system and enforce our laws without tossing aside our values. https://t.co/0NE6CitDKM,Joe Biden,29,2019-06
Democrats,"This is truly the most important election of our lifetime. If we want to defeat Donald Trump, it’s going to take everyone stepping up, speaking out, and taking action.

Join our team today and let’s get to work: https://t.co/gnaFCACYrW",Joe Biden,39,2019-06
Democrats,"Trump’s response to Charlottesville two years ago was abhorrent, but it’s not just that. It’s happening every day. Separating children from their parents at the border. Attacking women's rights. Rolling back LGBTQ protections. 

We’re better than this.",Joe Biden,37,2019-06
Democrats,"Trump continues to undermine our standing in the world.

Our core values of inclusivity, diversity, respect for the rule of law, freedom of speech, freedom of the press, and freedom of religion are under attack here at home and abroad.",Joe Biden,40,2019-06
Democrats,"Just look at his tax plan.

As president, Biden will reverse Trump’s tax cuts for the super wealthy. It’s time we reward work, not just wealth.
https://t.co/byDWQAumwg",Joe Biden,27,2019-06
Democrats,"Let’s be clear: President Trump inherited a growing economy from the Obama-Biden administration. And now, he’s in the process of squandering it.",Joe Biden,22,2019-06
Democrats,"Hey there - @TeamJoe here. President Trump dismisses everything he doesn’t want to hear as “FAKE NEWS” -- so as he announces his re-election, we want to make sure you have the real facts on his record:",Joe Biden,37,2019-06
Democrats,"For all the hard-won progress, for as much as we can celebrate how much better things have gotten — this fight is not over.

We have to come together to stand up to abuses of power, ensure that everyone is treated with dignity, and fight for full equality. https://t.co/aCoWE0hggC",Joe Biden,49,2019-06
Democrats,Stopped by @TheStonewallNYC to celebrate #PrideMonth &amp; #WorldPride where the movement began 50 years ago. https://t.co/2Z4PyfzyOq,Joe Biden,16,2019-06
Democrats,It’s past time for a $15 minimum wage. https://t.co/PQf5I3Qxzp,Joe Biden,9,2019-06
Democrats,"I’ll be taking the stage at 9PM ET on June 27 for the first Democratic debate!

We’re organizing debate watch parties in every corner of the country for the big night and need your help. Sign up to host one in your community: https://t.co/3TRBR6Fz8i",Joe Biden,44,2019-06
Democrats,"This weekend, I’m heading to South Carolina for the @SCDP Convention and world-famous #ClyburnFishFry! RSVP to come out and join us: https://t.co/r0RlGVVUmE",Joe Biden,22,2019-06
Democrats,"Under President Trump’s policies, a four-month-old was separated from his family at the border. It’s unconscionable and fundamentally at odds with everything our nation stands for.

America is better than this. https://t.co/hQY3xISf7r",Joe Biden,32,2019-06
Democrats,"Happy anniversary to the love of my life and the life of my love, @DrBiden. I’m forever grateful you agreed to spend the rest of your life with me. I love you, Jilly! https://t.co/HwCQIjFc4J",Joe Biden,34,2019-06
Democrats,"It will also include premium-free access to this public option for people who would otherwise qualify for Medicaid, but have been denied access to it by governors and state legislatures who have refused the Affordable Care Act's Medicaid expansion.",Joe Biden,39,2019-06
Democrats,"Lastly, I discussed how my health care plan will include access to a Medicare-like public option for anyone who wants it.",Joe Biden,21,2019-06
Democrats,"I declared that we have to do everything we can to protect the most sacred, fundamental right we have: the right to vote.",Joe Biden,23,2019-06
Democrats,"I discussed how in a Biden Administration, we’ll support teachers and ensure every kid has access to a quality education. Because in America, no child’s future should be determined by their zip code, parents’ income, race, or disability. https://t.co/d1o4WnDczV",Joe Biden,39,2019-06
Democrats,"I talked about how the greatest sin is the abuse of power — whether economic, or physical, or social. And, it’s our duty to fight back against those who would abuse it.

That starts with access to a real living wage — a $15 minimum wage.",Joe Biden,46,2019-06
Democrats,"I was honored to join @UniteThePoor, @RevDrBarber, and @liztheo at today’s #PPCMoralCongress Presidential Forum.",Joe Biden,14,2019-06
