Political Affiliation,tweet,Politician,Word Count
Republican,Just finished my interview. No President needs authority from Congress to act militarily in defense of our troops.… https://t.co/dEYuzlLUHU,Marco Rubio,19
Republican,Tune in to @FoxNews at 6:25pm today. I will be speaking to @BretBaier about #China #Iran and the upcoming #G20Summit,Marco Rubio,20
Republican,Listening to my democratic colleagues on Senate floor you would think #Iran was peaceful &amp; benign until Trump cance… https://t.co/QjW2kNs8Pk,Marco Rubio,20
Republican,Important to point out that the increased  Houthi rebel attacks on #SaudiArabia have been largely with missiles mad… https://t.co/LHK6TjFNRK,Marco Rubio,19
Republican,By far the single best (and most accurate) article yet on the events leading up to #30Apr in #Venezuela  https://t.co/S8QmlviRDp,Marco Rubio,20
Republican,"Happy to learn that a court in the UK has spared a pregnant mother from a forced abortion.

 https://t.co/mYEoRMiVo8",Marco Rubio,19
Republican,"Hackers backed by #China targeted 20 people across Asia, Europe, Africa &amp; the Middle East by infiltrating cell netw… https://t.co/IXtUbmKHcB",Marco Rubio,20
Republican,"the LORD said to Abram: Look about you,&amp; from where you are,gaze to the north &amp; south, east &amp; west; all the land th… https://t.co/CHmKS6DBQQ",Marco Rubio,25
Republican,"Biden attacks Trump administration policy on #Venezuela:
https://t.co/jX5dMb7BYJ

But here is a reminder of how the… https://t.co/T0bZNhyTWd",Marco Rubio,17
Republican,"#Putin aligned agencies created a fake tweet from me warning of British spy threat to U.S. elections.

Then social… https://t.co/8wb8vrSleO",Marco Rubio,20
Republican,"Though I thought I had toiled in vain,for nothing and for naught spent my strength,Yet my right is with the LORD,my… https://t.co/3U7bcsaO0U",Marco Rubio,22
Republican,"You have to be a special kind of sick to set fire to a high school football teams gear, especially just four weeks… https://t.co/FvKJzTVdru",Marco Rubio,24
Republican,The claim that Trump #Cuba policy has harmed civilian owners of restaurants &amp; Airbnb rental apartments is false.… https://t.co/xXhOS5E3uU,Marco Rubio,19
Republican,"Listen to counsel and receive instruction, that you may eventually become wise.

Proverbs 19:20",Marco Rubio,14
Republican,"If story accurate 22 week pregnant disabled woman is being required to undergo a forced abortion by UK court. 

The… https://t.co/rDT3lyJGyy",Marco Rubio,21
Republican,Remember those stories fed by lying leakers that @POTUS was losing interest &amp; confidence in our #Venezuela &amp; #Cuba… https://t.co/Mh8nQIUdWa,Marco Rubio,20
Republican,"The angel of God,who had been leading Israel’s army,now moved &amp; went around behind them. And the column of cloud, m… https://t.co/fHLyRm28bw",Marco Rubio,22
Republican,"We have started a new series called “Ask The Experts”. 

Check out the first video of this series in which in less… https://t.co/XxjbnOjHXM",Marco Rubio,23
Republican,"It isn’t Republicans tying Democrats to socialism, its leading Democrats who are openly tying themselves to &amp; promo… https://t.co/RSQt2nYlYd",Marco Rubio,19
Republican,"Magnify the LORD with me; and let us exalt his name together.

Psalms 34:4",Marco Rubio,14
Republican,Thank you @SenRickScott for supporting our Defending Domestic Produce Production Act. The #Florida delegation is un… https://t.co/heIGSdJzzd,Marco Rubio,17
Republican,Our strategy to counter #Iran’s sponsorship of terrorism &amp; pursuit of nuclear weapons &amp; ballistic missiles has been… https://t.co/2x33U1Qxxg,Marco Rubio,19
Republican,Which is why all of this talk of needing congressional approval to respond to #Iran if they attack us is a waste of… https://t.co/eTgc5O53Nk,Marco Rubio,24
Republican,"I have not advocated for war with #Iran nor called for a preemptive strike. 

What I have said publicly &amp; shared wi… https://t.co/jLawFAIUhq",Marco Rubio,23
Republican,"That @potus doesn’t need congressional approval to repel attacks isn’t my “position” its in constitution

And even… https://t.co/R5YTLnRBEf",Marco Rubio,18
Republican,"⁦.@DeptofDefense⁩ funds should not be boosting bio-tech development in #China. 

I have filed an amendment to the a… https://t.co/4b2TLVD3NA",Marco Rubio,19
Republican,"Sorry,on first tweet of thread meant bureaucratic INFIGHTING looks like 

What is most upsetting is that these leak… https://t.co/hg8LkCBOF7",Marco Rubio,19
Republican,"The truth?

@potus basically ran MLB out of his office telling them nothing to discuss until Cuba leaves #Venezuela… https://t.co/UfP4RkBXMK",Marco Rubio,20
Republican,"This article good example of what bureaucratic looks like

Certain officials who dislike Bolton &amp; NSC team use posi… https://t.co/vnWsEQoTOb",Marco Rubio,20
Republican,"This morning I was proud to accept the 2019 #DemocracyAwards for Constituent Service from @congressfdn 

Thank you… https://t.co/ELVHWtzmls",Marco Rubio,18
Republican,"Why does #Iran matter to U.S.?

They sponsor terror &amp; wants nukes so they can dominate MidEast

Obama thought he co… https://t.co/qFBnh20l4L",Marco Rubio,22
Republican,"Don’t understand why these attacks aren’t getting more attention &amp; generating more concern

Taxpayers of Riviera Be… https://t.co/52meS1vw3f",Marco Rubio,18
Republican,"The Trump administration has repeatedly said it has no plans to start a war with #Iran

But it has also made clear… https://t.co/EsoDPduiR2",Marco Rubio,23
Republican,"Leveling the playing field with #China is not protectionism.

And my bill to require transparency in foreign firm a… https://t.co/HspPqLOhME",Marco Rubio,20
Republican,"“Our Father in heaven,hallowed be your name,your kingdom come,your will be done,on earth as in heaven. Give us toda… https://t.co/pO5mClDDyD",Marco Rubio,20
Republican,Now imagine if image was of a fake tweet from leader in a part of world with tensions running high. Or if it was a… https://t.co/x4bZQEeKKs,Marco Rubio,26
Republican,"Want to know what a #Putin disinformation campaign looks like?

The image below is a fake. No such tweet exists.

B… https://t.co/oF6GI0SGcM",Marco Rubio,22
Republican,"These attacks will continue because in #Iran’s view

While EU nations know Iran’s role they are desperate to save t… https://t.co/fqnTivacTz",Marco Rubio,21
Republican,"These attacks exactly the capability #Iran’s #IRGC has been building for years”

-Attacks they direct but proxies c… https://t.co/WiL11bGPtb",Marco Rubio,19
Republican,"The stock market is important but it’s not THE economy

The “financialization” of our economic policies has created… https://t.co/eEAoUXZjTS",Marco Rubio,19
Republican,"#IRGC surrogate forces launched a rocket attack against an Exxon site in #Iraq

World must not allow #Iran the bene… https://t.co/4SPWZVSFNr",Marco Rubio,21
Republican,You mean days after Dems handed @politico a warped outline of Craft’s travel to get a story posted just before her… https://t.co/5Ef4VoX6Vu,Marco Rubio,22
Republican,"#Florida is our nations gateway to the stars. 

Very happy @Boeing has chosen to move their Space &amp; Launch headquar… https://t.co/cvSOH4Rpz1",Marco Rubio,21
Republican,4/4: Reports of misappropriation of funds by 2 people associated with the opposition is evidence of the difference… https://t.co/yNKWTzchZp,Marco Rubio,19
Republican,3/4: We are approaching the 3 month mark of Russia deploying personnel to #Venezuela. Expect #Putin to swap out man… https://t.co/QwjJrZVVuU,Marco Rubio,21
