Political Affiliation,tweet,Politician,Word Count
Republican,"Latino Americans know that it was freedom, not socialism, that gave us the most prosperous and powerful nation in t… https://t.co/lDUT6ZTnsu",Mike Pence,21
Republican,Great to have you there @Jenniffer2012! Thanks for helping us Kickoff #LatinosForTrump! https://t.co/hAqlVVJnxa,Mike Pence,13
Republican,"America needs 4 more years of prosperity, 4 more years of security, and 4 MORE YEARS of President @realDonaldTrump!… https://t.co/8nLpiWLnsv",Mike Pence,20
Republican,President @realDonaldTrump knows that a nation without borders is not a nation. He has declared a national security… https://t.co/fXNBygyxL2,Mike Pence,19
Republican,What Americans hear tomorrow night will only confirm that Mexico has done more in the last 10 DAYS to secure the so… https://t.co/iLcRnCO2pT,Mike Pence,23
Republican,"It’s remarkable to think that at a time of unbridled growth &amp; prosperity for Latino Americans, Democrats will gathe… https://t.co/EhpCy6N9NQ",Mike Pence,20
Republican,"Under President @realDonaldTrump’s leadership, in two and a half short years, we have the LOWEST unemployment rate… https://t.co/xao04qsyuR",Mike Pence,18
Republican,Looking forward to being in Miami today to kick off the @TeamTrump Latino Coalition! Under @realDonaldTrump more Hi… https://t.co/XGnfLRVEYU,Mike Pence,19
Republican,"Great to be in Maryland tonight for the 29th annual @MDGOP Red, White, and Blue Dinner! Huge crowd! Thanks for the… https://t.co/0IcwpIehQN",Mike Pence,22
Republican,".@SecondLady and I were thrilled to join @realdonaldtrump, @flotus, &amp; the entire Trump Family in Orlando last night… https://t.co/rqSGaFYVsQ",Mike Pence,19
Republican,"Thank you America! Round two, it’s on! #MAGA https://t.co/3Nj0EutSUI",Mike Pence,9
Republican,"Today, we have a President who loves this country, who never quits, never backs down - who believes in YOU - fights… https://t.co/BZ75godQcd",Mike Pence,23
Republican,We’ve made HISTORIC investments in border security - and thanks to @realDonaldTrump - Mexico has done more to secur… https://t.co/AYjDFgAFWz,Mike Pence,20
Republican,"Under @realDonaldTrump, businesses are growing and staying put in America. President @realdonaldtrump rolled back r… https://t.co/KoyQHLJMiw",Mike Pence,16
Republican,America’s veterans deserve to be treated like the heroes they are. Our Administration secured $86.5 billion in fund… https://t.co/u0UYg7nmMF,Mike Pence,19
Republican,"Under the brave leadership of President @realDonaldTrump, we defeated the ISIS caliphate – retaking all territory i… https://t.co/9elRpQ95kt",Mike Pence,18
Republican,President @realDonaldTrump delivered on the biggest tax cuts and reforms in American history! From doubling the chi… https://t.co/bRMQeVPeTj,Mike Pence,18
Republican,"The Trump Administration respects hard-working families, which is why we followed through on our promise to deliver… https://t.co/YnM5mVGtjS",Mike Pence,18
Republican,President Trump promised to eliminate two regulations for every one new regulation and he KEPT that promise – savin… https://t.co/KrXOW7gnP0,Mike Pence,20
Republican,Looking forward to joining the Rush @Limbaugh show today at 1:30pm to talk about the HUGE @TeamTrump kickoff rally… https://t.co/XA22LUtelF,Mike Pence,20
Republican,Great event this afternoon in Billings supporting @SteveDaines! Montana needs 4 more years of @realdonaldtrump in t… https://t.co/ZHU9wWgRyV,Mike Pence,18
Republican,"The American people will continue to be drawn to @realDonaldTrump's consistent, conservative leadership - and I cou… https://t.co/GnCL1kFULE",Mike Pence,18
Republican,Congratulations to Michael Whatley on becoming @NCGOP Chairman! North Carolina delivered for @realDonaldTrump in 20… https://t.co/B8obWNudab,Mike Pence,16
