Political Affiliation,tweet,Politician,Word Count,created_time
Republican,"The American dream is roaring back for all Americans. Under @realDonaldTrump, the unemployment rate has hit a nearly 50-year low. We MUST keep moving forward, and that will only happen if we reject failed Democrat policies!",Mike Pence,36,2019-06
Republican,"Since Election Day 2016, businesses large and small have created over 5.8 million new jobs. 2020 Democrats want to roll back that progress – we can’t let that happen. #DemDebate",Mike Pence,30,2019-06
Republican,"The last 2.5 years under @realDonaldTrump have been 2.5 years of action, 2.5 years of results, and 2.5 years of promises made and promises kept! #MAGA",Mike Pence,26,2019-06
Republican,"Democrats are in Miami tonight to make their case for more taxes, more regulation, and less freedom. Their far-left agenda is out-of-touch with the American people. #DemDebate",Mike Pence,27,2019-06
Republican,"Latino Americans know that it was freedom, not socialism, that gave us the most prosperous and powerful nation in the history of the world. President @realDonaldTrump and this entire Administration stands for FREEDOM, not socialism, and that is what makes our country GREAT! https://t.co/f2EowesX2D",Mike Pence,44,2019-06
Republican,Great to have you there @Jenniffer2012! Thanks for helping us Kickoff #LatinosForTrump! https://t.co/hAqlVVJnxa,Mike Pence,13,2019-06
Republican,President @realDonaldTrump knows that a nation without borders is not a nation. He has declared a national security and humanitarian crisis on the border and he is fighting to make America SAFE again every single day! #MAGA https://t.co/mX99H3uas3,Mike Pence,38,2019-06
Republican,What Americans hear tomorrow night will only confirm that Mexico has done more in the last 10 DAYS to secure the southern border than Democrats in Congress have done in the last 10 YEARS! #LatinosForTrump https://t.co/MJ9ZWxMMMk,Mike Pence,36,2019-06
Republican,"It’s remarkable to think that at a time of unbridled growth &amp; prosperity for Latino Americans, Democrats will gather tomorrow night here in Miami to begin to make their case for higher taxes, socialized medicine, &amp; the Green New Deal. America will NEVER be a socialist country!",Mike Pence,47,2019-06
Republican,"Under President @realDonaldTrump’s leadership, in two and a half short years, we have the LOWEST unemployment rate ever recorded for Hispanic Americans! #LatinosForTrump #KeepAmericaGreat https://t.co/d0xi562moU",Mike Pence,25,2019-06
Republican,Looking forward to being in Miami today to kick off the @TeamTrump Latino Coalition! Under @realDonaldTrump more Hispanic Americans are working today than ever before in history &amp; Hispanic Americans are starting new businesses at nearly 3 times the national average! #MAGA,Mike Pence,42,2019-06
Republican,"Great to be in Maryland tonight for the 29th annual @MDGOP Red, White, and Blue Dinner! Huge crowd! Thanks for the warm welcome! #MAGA https://t.co/6VKidsV7kz",Mike Pence,25,2019-06
Republican,".@SecondLady and I were thrilled to join @realdonaldtrump, @flotus, &amp; the entire Trump Family in Orlando last night! We made history in 2016, and we’re going to make history again in 2020 when we re-elect @realdonaldtrump for 4 MORE YEARS!  #MAGA https://t.co/RPDYhT4bkB",Mike Pence,42,2019-06
Republican,"Thank you America! Round two, it’s on! #MAGA https://t.co/3Nj0EutSUI",Mike Pence,9,2019-06
Republican,"Today, we have a President who loves this country, who never quits, never backs down - who believes in YOU - fights for YOU - and believes in freedom! #MAGA #Trump2020 https://t.co/hqQp9twcDe",Mike Pence,32,2019-06
