Political Affiliation,tweet,Politician,Word Count,created_time
Republican,"""It is past time for Pelosi to allow the USMCA to move forward in Congress. Each day the Speaker waits to act, America is missing out on innovation, opportunity and increased job growth.""

Read more from @RepRonEstes ↓ https://t.co/iuntztWWEQ",House of Republican,39.0,2019-06
Republican,.@HouseDemocrats rejected efforts → 81 times ← to take up the bipartisan bill that provides humanitarian aid and critical resources to address the crisis at our border. https://t.co/MWQLzu7K3z,House of Republican,28.0,2019-06
Republican,"Today @SpeakerPelosi is choosing to play politics instead of addressing the dire and growing crisis at our border. 

Yesterday, the Senate passed a bipartisan bill to address this crisis 84-8, but @HouseDemocrats refuse to let us vote on it. https://t.co/iwtGYBWjB7",House of Republican,40.0,2019-06
Republican,Good luck to all of the @HouseGOP and @SenateGOP players at tonight's Congressional Baseball Game as they take on the Democrats! Let's play ball! #CBG2019 ⚾ https://t.co/Swn4DgdkyV,House of Republican,27.0,2019-06
Republican,".@HomelandGOP's @RepMikeRogersAL on the border crisis → ""This is an enormous and growing humanitarian crisis at the border... Unfortunately, the bill that the Dems are now bringing to the floor is full of political poison pills. They don't want this situation solved apparently."" https://t.co/HQcTj1rr1w",House of Republican,44.0,2019-06
Republican,"One thing is abundantly clear: we have a humanitarian and national security on our southern border. 

It's been 56 days since @realDonaldTrump requested emergency funding to address this crisis. It's past time for Speaker Pelosi to quit playing political games and #EndTheCrisis. https://t.co/OtZfPYyuz3",House of Republican,43.0,2019-06
Republican,"We've reached a breaking point at the humanitarian and national security crisis on our southern border, but @HouseDemocrats refuse to act. 

Dems have blocked funding 17 TIMES for humanitarian aid at the border. It's time to quit playing games and #EndTheCrisis. https://t.co/ZEt7aioe7B",House of Republican,42.0,2019-06
Republican,"17 TIMES @HouseDemocrats have blocked humanitarian border crisis funding. 

That is unacceptable https://t.co/nxVcuETxFu https://t.co/gyDckL5apU",House of Republican,14.0,2019-06
Republican,"⚡️ House Republicans to @SpeakerPelosi: Quit Playing Games and Bring the #USMCA to House Floor  
https://t.co/aU0b4Fkx22",House of Republican,16.0,2019-06
Republican,"Mexico just ratified the #USMCA trade agreement. Delaying USMCA means fewer economic benefits to hard working Americans. 

When will @SpeakerPelosi put politics aside and do what is best for America’s workers, farmers, and families? https://t.co/HH8ojI99A2",House of Republican,35.0,2019-06
Republican,Tune in ⬇️ https://t.co/YMijI3ZFMz,House of Republican,4.0,2019-06
Republican,"NEW → Republicans have a better sense on what Medicare-For-All would look like than Dems. 

Rs know it would:  
- Force millions off their insurance
- Increase taxes
- Limit options 

Dems don't grasp the consequences of their one-size-fits-all takeover. https://t.co/0DS5ew6qD4",House of Republican,41.0,2019-06
Republican,"First, @HouseDemocrats politicized the #NDAA and attempted to undercut our national defense. Now their leaders are lying about it to attack Republicans. 

The safety of our nation should be above petty politics. https://t.co/0LiGdzfMUn",House of Republican,33.0,2019-06
Republican,"""President Trump has already fostered an economic resurgence through his pro-growth policies, and the USMCA will further that progress. It is now up to Congress to approve this historic deal."" A must read by @GReschenthaler on the need to pass #USMCA now: https://t.co/94NIuACvHF",House of Republican,43.0,2019-06
Republican,Happy Father’s Day! https://t.co/0CRRCVTOVo,House of Republican,4.0,2019-06
Republican,"Today we celebrate #FlagDay and honor Old Glory, our nation’s symbol of freedom, liberty, and unity. As we proudly fly the flag, may we remember the history and service of the brave men and women who steadfastly defend those values. https://t.co/onSCxihoKG",House of Republican,41.0,2019-06
Republican,Today we celebrate 244 years of the United States Army protecting our nation and defending our freedom. We salute the courage and bravery of our nation’s soldiers today and every day. Thank you to all who serve and have served. https://t.co/e8jSAjJgvT,House of Republican,41.0,2019-06
Republican,"""Ratifying the USMCA would give Washington farmers desperately needed relief"" &amp; ""it would give our producers a sense of certainty that is severely lacking right now when it comes to international trade."" 

@RepNewhouse calls on House Dems to pass #USMCA ➡️ https://t.co/3AGiKejrVK",House of Republican,42.0,2019-06
Republican,"Happy Birthday to America’s 45th President, @realDonaldTrump 🎉 https://t.co/LVNUlKKWq7",House of Republican,9.0,2019-06
Republican,"Bottom line from #FY20NDAA markup taking place today: @HASCDemocrats’ proposed topline is arbitrary and, according to top defense officials, insufficient for rebuilding our military. We should not shortchange our defense.",House of Republican,30.0,2019-06
Republican,"How badly would Democrats’ one-size-fits-all government takeover of the entire health care industry impact the American people? 

See an important thread from @RepKevinBrady for more ⬇️: https://t.co/n2GHLJl6db",House of Republican,27.0,2019-06
Republican,"In yesterday's @RulesReps hearing, @RodneyDavis called on Democrats to stop playing political games w/ pre-existing conditions &amp; allow his amendment to get a vote on the House floor, but Democrats voted down his proposal: https://t.co/HVPKGFgRt2 https://t.co/9za87jIEyJ",House of Republican,36.0,2019-06
Republican,"For a THIRD time, @HouseDemocrats opted to sit on their hands, instead of providing critical humanitarian aid to address the crisis taking place along the border. 

They are not serious about solving this problem. https://t.co/LNs9nqkcTh",House of Republican,35.0,2019-06
Republican,"USMCA is a victory for America's food &amp; ag industry. That's why nearly 1,000 affiliated groups are calling for its swift approval.

@SpeakerPelosi, it's time to do the right thing for the country, &amp; bring this pro-America trade deal to the floor for a vote https://t.co/UPBGnhmvPJ",House of Republican,46.0,2019-06
Republican,Tune in ⬇️ https://t.co/EKAlHF0qXQ,House of Republican,4.0,2019-06
Republican,"Today @HouseBudgetDems are putting their socialist energy agenda on full display by holding a hearing on their costly #GreenNewDeal. Their $93 Trillion plan would:
- Upend the entire U.S. economy
- Eliminate countless jobs
- Cost $600,000 per family across the country https://t.co/3ltxMY8GxW",House of Republican,43.0,2019-06
Republican,"MUST WATCH from @RepMichaelWaltz ⬇️

#DDay75 https://t.co/sSBsrAtre4",House of Republican,7.0,2019-06
Republican,"Happy Birthday to a former House Republican Conference Chair and our nation’s Vice President, Mike Pence! https://t.co/Xokkp2XdSV",House of Republican,17.0,2019-06
Republican,"75 years ago, thousands of Allied troops landed on the beaches of Normandy to fight for a free world and end Nazi tyranny. May we never forget the service and sacrifice of the 'Greatest Generation' that changed the course of history and gave us the freedom we enjoy today. #DDay https://t.co/nzj6nsOPmG",House of Republican,51.0,2019-06
Republican,"📺 WATCH: All across America, House Republicans are hard at work listening to their constituents, giving updates on our progress in Washington, and volunteering in their communities ↓ https://t.co/TzF1UKF4QM",House of Republican,29.0,2019-06
Republican,"Just now, @HouseDemocrats opted to move forward with their mass amnesty bill that would only exacerbate current immigration crisis, instead of actually debating legislation that would provide critical humanitarian aid. They are not serious about solving this problem. https://t.co/Vd8WwVBC20",House of Republican,39.0,2019-06
Republican,We pause today to remember what happened 30 years ago at Tiananmen Square. America will always stand with people seeking the fundamental human rights of freedom and opportunity. #Tiananmen30 https://t.co/YHPYXEkIHM,House of Republican,30.0,2019-06
Republican,"Must watch video of combat veterans @RepJimBaird, @RepBrianMast, and @RepDanCrenshaw discussing their service to our country from the battlefield to the halls of Congress ⬇ https://t.co/BU2PJSRzAa",House of Republican,26.0,2019-06
Republican,".@repchrisstewart on #MedicareForAll: “It means every American taxpayer &amp; every American business has their taxes doubled, &amp; it still doesn’t quite pay for it…It takes away their private insurance, it takes away the options they now have &amp; it compels them onto a govt program.” https://t.co/O4QuKTZnai",House of Republican,46.0,2019-05
Republican,"“Special Counsel Mueller said today that his report speaks for itself, and confirmed what we already knew: there was no collusion and the Justice Department found there was no obstruction.”

Read Conference Chair @RepLizCheney’s full statement: https://t.co/rfI5f3A1pO https://t.co/4s075hGEss",House of Republican,38.0,2019-05
Republican,This #MemorialDay we honor and remember the men and women in uniform who laid down their lives for our country and freedoms. We are forever grateful for their sacrifices. https://t.co/ScnzTnTx4j,House of Republican,30.0,2019-05
Republican,"Conference Chair @RepLizCheney calls out @SpeakerPelosi for losing control and highlights politicization of FBI in investigation against @POTUS. 

Watch clip from @ThisWeekABC ⬇️ https://t.co/pLHwGW0ugz: https://t.co/mf1LOXiiTQ",House of Republican,25.0,2019-05
Republican,"50 times.

House Dems have blocked GOP efforts to pass the #BornAliveBill. @RepAnnWagner's legislation would give life-saving medical care to babies who survive an abortion. Why do Dems object to protecting children from infanticide? https://t.co/qbY16VLSNr",House of Republican,35.0,2019-05
Republican,There have now been 50 times that @HouseDemocrats have refused to take up legislation that would end infanticide. Republicans won't stop fighting until every baby born is protected. https://t.co/P92No3PcTX,House of Republican,29.0,2019-05
Republican,"Today, @HouseDemocrats have a chance to stand against the BDS movement. Will they support Israel or continue to enable anti-Semitism in their caucus? https://t.co/QHLd3G2uuv",House of Republican,24.0,2019-05
Republican,House Democrats are set to make impeachment their entire agenda. They should stop the partisan political games and get to work for the American people. https://t.co/GK2pDgcmtU,House of Republican,26.0,2019-05
Republican,"Under Canada's single payer health care system, the median time for a patient with cancer to start treatment is nearly a month. 
 
@RepJasonSmith challenges Dems pursuing a similar system: ""Imagine being diagnosed with cancer, having to wait 4 full weeks before getting treated."" https://t.co/Xt5PXrWiN6",House of Republican,44.0,2019-05
Republican,".@RepDanCrenshaw sums it up: Medicare for All gets Americans “less providers, less innovation, longer wait times, and overall less quality.” https://t.co/28EvvHQVzH",House of Republican,21.0,2019-05
Republican,"Dems are once again trying to force Americans to conform to a one-size-fits-all plan that takes away their ability to make health care decisions for their family. Their $32 Trillion proposal would:
- Force millions off their insurance
- Increase costs
- Limit health care options https://t.co/kSsrTxnXOP",House of Republican,47.0,2019-05
Republican,In today's House Budget Committee hearing @USCBO Deputy Director confirms that patient wait times will increase under the Democrats' single-payer health care ⤵ https://t.co/3MiXwDqqi4,House of Republican,24.0,2019-05
Republican,"During today’s @housebudgetGOP hearing, Democrats want to impose their socialist government takeover of the healthcare system. It has some serious side effects: https://t.co/3PSc1plTlu",House of Republican,23.0,2019-05
Republican,Today House Democrats are holding yet another hearing on their one-size-fits-all government takeover of healthcare. The $32+ trillion price tag would decrease quality of care while increasing taxes on hard-working families across America. #MedicareForAll https://t.co/gP5H81CFfE,House of Republican,35.0,2019-05
Republican,"""Single-payer. Government-run. Government takeover. One-size-fits-all. Socialist. Each is an accurate description of Democrats’ preferred health-care scheme, proposed in the mislabeled 'Medicare-for-All' Act."" More from @SteveScalise and @repgregwalden ⬇️ https://t.co/ynGCU0E90S",House of Republican,29.0,2019-05
Republican,Must watch clip of @RepPaulMitchell discussing the importance of allowing families to save money for their child’s education costs at last night’s @RulesReps hearing ⬇️ https://t.co/zf6dHtfb8T,House of Republican,26.0,2019-05
Republican,.@RepJasonSmith urges @SpeakerPelosi to bring the anti-BDS bill to a vote: “Standing up for Israel and its right to exist has widespread support among members of both parties and the President... Our allies in Israel deserve more than just empty talk about supporting their cause”,House of Republican,45.0,2019-05
Republican,"Today we celebrate the centennial of the 19th Amendment’s passage in the U.S. House of Representatives, which guaranteed women the right to vote. 100 years later, we honor and celebrate the courage of those who fought to give women a voice in our democracy. #WomensVote100 https://t.co/NtxlwiYaq9",House of Republican,46.0,2019-05
Republican,".@VirginiaFoxx, @RepDLesko, @RepHartzler, and @RepAnnWagner on the House of Representatives passing the 19th Amendment 100 years ago →",House of Republican,18.0,2019-05
Republican,Former police officer @RepPeteStauber delivers powerful remarks honoring law enforcement during #NationalPoliceWeek https://t.co/iUiiMFaktw,House of Republican,13.0,2019-05
Republican,"Even Democrats are upset with their leadership for opting to scuttle bipartisan legislation that would have lowered prescription drug costs, just so they could play politics on this issue #ForThePolitics
https://t.co/eTE15KIaRB",House of Republican,31.0,2019-05
Republican,Speaker Pelosi and @HouseDemocrats could have worked with Republicans to pass bipartisan legislation that would lower the cost of prescription drugs. They’d rather play politics w/ health care instead instead. #ForThePolitics https://t.co/opzienMaqW,House of Republican,32.0,2019-05
Republican,"Today, House Democrats brazenly turned a bipartisan bill to lower drug prices into a partisan ploy. This measure was about scoring political points, instead of easing the burden on the American people. #ForThePolitics
https://t.co/opzienMaqW",House of Republican,34.0,2019-05
Republican,"""We need to send a stronger statement as a body that we stand against all this anti-Semitism. Israel is our strongest ally in the Middle East."" - @RepLeeZeldin on @AmericaNewsroom this AM https://t.co/lJUsSs7G2h",House of Republican,33.0,2019-05
Republican,"This #NationalPoliceWeek, we are proud to honor our brave men and women of law enforcement who put their lives on the line every day to keep our families and communities safe. https://t.co/NXdIUPB3lr",House of Republican,32.0,2019-05
Republican,“Political leaders on both sides of the aisle have a responsibility to confront this ugliness head-on… The Senate stands against the toxic BDS movement. The House must do the same.” - @senatemajldr and @gopleader https://t.co/xEOBqI7yWG,House of Republican,35.0,2019-05
