Political Affiliation,tweet,Politician,Word Count,created_time
Democrats,"“We should insist that we have the authority and we have the obligation to consider whether there are military operations against Iran.” 

—@SenBlumenthal on the importance of the @SenatorTomUdall amendment. https://t.co/GAI82Rnlyw",Senate of Democrats,31,2019-06
Democrats,"“To date, the administration seems to have tried to use every instrument of national power to get Iran to change its behavior except diplomacy and negotiations.” 

—@SenJackReed on why he’s supporting the @SenTomUdall Iran amendment. https://t.co/pkYrsQFQjO",Senate of Democrats,36,2019-06
Democrats,WATCH: @SenJeffMerkley calls on senators to honor the Constitution and support the @SenatorTomUdall amendment to prevent an unauthorized war with Iran. https://t.co/uD1MgZ8EtH,Senate of Democrats,22,2019-06
Democrats,"“Tomorrow, we will all speak to a fundamental question about war but also about this institution: 

Can President @RealDonaldTrump take us to war with Iran without even coming to congress? 

I hope my colleagues will stand for the Constitution.”

—@TimKaine https://t.co/fnctltGNeP",Senate of Democrats,41,2019-06
Democrats,"“The Udall amendment would mark the beginning of Congress reasserting its constitutional powers.

I strongly urge my colleagues on both sides of the aisle to vote ‘yes’ tomorrow.”

—@SenSchumer https://t.co/HdsGUlA2Yt",Senate of Democrats,30,2019-06
Democrats,"Senate Democrats stand with our House colleagues today to protect the integrity of our elections. 

We cannot let @SenateMajLdr McConnell bury election security in his legislative graveyard.  https://t.co/Z5lMBL4arL",Senate of Democrats,28,2019-06
Democrats,"We are facing a precarious situation with Iran

That’s why Democrats are urging @SenateMajLdr McConnell to keep his word to allow votes on amendments to the defense bill including debate on Iran. https://t.co/168mKYbq8J",Senate of Democrats,33,2019-06
Democrats,"The Trump administration is actively suing to eliminate health care protections for Americans with pre-existing conditions. 
 
Yesterday, we joined families &amp; patients live on Facebook to fight back against this attempt to sabotage your health care. https://t.co/9L92uaBuBK",Senate of Democrats,37,2019-06
Democrats,"President @realDonaldTrump's administration is continuing its health care sabotage by fighting in court to repeal our healthcare law &amp; end protections for pre-existing conditions.
 
We're fighting to protect health care for Americans nationwide: 
https://t.co/zZJQm6Z7iz",Senate of Democrats,34,2019-06
Democrats,"“Our colleagues in the House passed a bipartisan background check bill 115 days ago, but instead of calling for a vote, Majority Leader Mitch McConnell has created a do-nothing Senate instead.” —@SenBlumenthal #GunViolenceAwarenessMonth https://t.co/zCnVJ7ggqg",Senate of Democrats,34,2019-06
Democrats,"@sfc_opinions “Unfortunately, Congress isn’t acting. Republican Senate Majority Leader Mitch McConnell, R-Kentucky., refuses to even consider election integrity legislation passed in the House, which is weighing additional legislation.” https://t.co/MuBgeCk60N",Senate of Democrats,29,2019-06
Democrats,@sfc_opinions “There are no ‘ifs’ about it. A candidate for public office accepting anything of value from a foreign government is something wrong. The head of the FBI says so. The head of the Federal Election Commission says so.” https://t.co/tsxD21dH0F,Senate of Democrats,40,2019-06
Democrats,"There have been 11,400 people killed in the 114 days since the House passed universal background checks legislation.

97% of Americans support background checks but @SenateMajLdr McConnell is refusing to bring it up for a vote. https://t.co/X0ORM730jT",Senate of Democrats,37,2019-06
