Political Affiliation,tweet,Politician,Word Count
Republican,"Iran’s recent aggression is a reminder of the need for a strong military to protect the American people.
 
The… https://t.co/49eBS1bCYM",Senate GOP,20
Republican,LIVE NOW: Senate Republicans speak to the press https://t.co/CKZxGlsAPx,Senate GOP,9
Republican,"The #FY20NDAA secures a 3.1% pay raise for uniformed personnel. 

This is the largest pay raise for our nation’s se… https://t.co/gyIoNqpZeX",Senate GOP,21
Republican,The FY2020 NDAA carries out one of Congress' most fundamental constitutional duties: keeping our nation safe in a d… https://t.co/qPgYWvYOas,Senate GOP,20
Republican,"The breaking point has long passed at the border.

After *53 days* of needless obstruction, it’s time for… https://t.co/qQLAZBMtDf",Senate GOP,19
Republican,"Happy #NationalSelfieDay from South Carolina @SenatorTimScott, one of the strongest selfie games in the Senate. 💪 https://t.co/qLPvV3KCnk",Senate GOP,17
Republican,"After 52 days of needless obstruction, it’s time for @HouseDemocrats to decide: 

1. Continue acting as if the cris… https://t.co/ETFvhjEhi8",Senate GOP,20
Republican,"This week, the Senate begins consideration of the National Defense Authorization Act (NDAA).

This important legisl… https://t.co/Q0Au0g5wxo",Senate GOP,17
Republican,"June 6th marked the one-year anniversary of @POTUS signing the VA MISSION Act into law. 

As the VA begins implemen… https://t.co/tIx1NUGzyp",Senate GOP,21
Republican,"“Full-blown emergency.” “Crisis.” “Nightmare.” Whatever you call it, the situation at the border has to be addresse… https://t.co/LhAvG7yqU4",Senate GOP,18
Republican,It’s been a full seven weeks since @POTUS asked Congress to act on the humanitarian crisis at the border. Democrats… https://t.co/A3vlNNylUQ,Senate GOP,21
Republican,"144,000 migrants were stopped at the southern border in May — the highest in 13 years.
 
Thousands of migrants are… https://t.co/OkkVtSFxOD",Senate GOP,21
Republican,It’s been 49 days since @POTUS asked Congress for emergency aid to address the humanitarian crisis on our southern… https://t.co/Tn1EmXksJf,Senate GOP,20
Republican,"The Senate Republican leadership team (@senatemajldr, @SenJohnThune, @SenJohnBarrasso, @SenJoniErnst, @RoyBlunt ,… https://t.co/0EBpt9Z0GP",Senate GOP,12
Republican,"The crisis on our southern border demands action. 

The top border official calls the situation ‘a full-blown emerg… https://t.co/5Ply98Uwr6",Senate GOP,19
Republican,"Happy Father’s Day, everyone! https://t.co/x55WrTJ1VX",Senate GOP,5
Republican,"There is a full-blown emergency at our southern border.

But Democrats would rather fight the president than solve… https://t.co/F9A8XVItHE",Senate GOP,19
Republican,"Every heart beats true for the Red, White &amp; Blue 🇺🇸

Happy #FlagDay, everyone! https://t.co/ejKwaNoYC8",Senate GOP,15
Republican,"Happy Birthday, @realdonaldtrump! 🎈 https://t.co/SppvCBYQIc",Senate GOP,5
Republican,"The crisis on our southern border demands action. 

Immigration officials say they’re at the breaking point.

Unfor… https://t.co/LrmxuGNPiy",Senate GOP,18
Republican,"WATCH: There is a crisis at our southern border. @SenJohnBarrasso tells @VarneyCo, “the immigration system is broke… https://t.co/WezfTWKSrB",Senate GOP,18
Republican,"Happy Birthday, 41. https://t.co/s3qPTuCJx5",Senate GOP,4
Republican,"There is a humanitarian and security crisis on our southern border.

Over 144,000 migrants were stopped just last m… https://t.co/W87bLEsdJj",Senate GOP,20
Republican,The crisis at the southern border has gone from bad to worse. But the Democrats refuse to act. The time for action… https://t.co/2SnDrACv0x,Senate GOP,23
Republican,"Senator @ChuckGrassley: ""Dems’ health care, Green New Deal promises riddled with poison pills that would harm us""

https://t.co/7LZHimRnFe",Senate GOP,18
Republican,"The facts continue to show: there is a full-blown emergency at our southern border.

Unfortunately, Democrats would… https://t.co/wLMlkFvfXq",Senate GOP,18
Republican,"Last week—on the 75th Anniversary of D-Day—members of @SenateGOP joined @realDonaldTrump, veterans, and world leade… https://t.co/UDvTBFysQZ",Senate GOP,16
Republican,"@SenJohnThune Welcome to the Senate, Murdo! 👋",Senate GOP,7
Republican,"In our nation’s robust jobs market, American workers are in the driver’s seat. https://t.co/RS0SfUB636",Senate GOP,14
Republican,"""Hirings increased to 5.9 million in April, the highest level since the Labor Department started keeping track.""",Senate GOP,17
Republican,"New from @CNBC:  ""Hiring by US businesses hits a record high""

https://t.co/REFicT2ujr",Senate GOP,12
Republican,"75 years ago, thousands of brave Americans gave their lives storming the beaches of Normandy.
 
@SenateGOP joined… https://t.co/PaOHiYUGJe",Senate GOP,18
Republican,"Happy Birthday, @VP! 🎈 https://t.co/ImrtjSJJ2z",Senate GOP,5
Republican,"Paychecks are getting bigger. 

Annual wage growth has been 3% or higher for ten straight months.

#MayJobsReport https://t.co/PRS2RG1hxr",Senate GOP,18
Republican,"May’s #JobsReport shows the unemployment rate continues to be the lowest in 50 years, since man first walked on the… https://t.co/YxXQvzs0zT",Senate GOP,21
Republican,"75 years ago, members of the greatest generation stormed the beaches of Normandy to fight for the cause of freedom.… https://t.co/KG3C3YFG16",Senate GOP,21
