Political Affiliation,tweet,Politician,Word Count
Republican,Take the survey 👉 https://t.co/6cc11qs1eQ,Ted Cruz,5
Republican,ICYMI | Fox News: Cruz bill would use Iran sanctions cash to pay for downed US drone https://t.co/GFEIcjcxyK #TXSen,Ted Cruz,19
Republican,"In Washington, there is a bipartisan problem of career politicians in both parties that go to Congress and stay the… https://t.co/HHf3WZny8x",Ted Cruz,21
Republican,ICYMI from @thetexannews: Senator Ted Cruz Holds Hearing on Congressional Term Limits https://t.co/0atpGGM6SC #TXSen,Ted Cruz,14
Republican,The case for term limits is essentially the case for draining the swamp: https://t.co/6xuABnifUN #TXSen,Ted Cruz,15
Republican,Wow.  Leftist activists:  Cheering for #AbolishICE  How messed up is it that there are parades celebrating abolishi… https://t.co/riQvOJVcIB,Ted Cruz,18
Republican,My prayers go out to all the great men and women at Philadelphia Energy Solutions. Very thankful no one was injured last night.,Ted Cruz,23
Republican,Hold the vote on a clean resolution to #CondemnAntisemitism  in the House --&gt; https://t.co/pwsXznJfwY,Ted Cruz,14
Republican,"Always take the high road, Claire.... https://t.co/2bLoOtI88e",Ted Cruz,7
Republican,"Trivia Q: what do @SenMikeLee and Kim Kardashian have in common?  

.

.

.

.

A: They’ve both appeared on Keeping… https://t.co/TAhMYy8nxc",Ted Cruz,22
Republican,"“Boycotts and other attacks on the livelihood of Jews have been part of antisemitism for centuries, and BDS is one… https://t.co/zG0zuRz4fJ",Ted Cruz,21
Republican,"""Sen. Cruz said that his own support for term limits has grown 'a thousand times more' after serving in the Senate.… https://t.co/ZOjbhLDoGh",Ted Cruz,22
Republican,"ICYMI: ""Senator Ted Cruz’s ongoing investigation into Yale Law School over its treatment of Christians and conserva… https://t.co/GdZ54sYk66",Ted Cruz,18
Republican,@DavidAFrench I can’t believe it took you this long,Ted Cruz,9
Republican,"Enough is enough. 

The House of Representatives should hold a vote on a clean resolution to #CondemnAntisemitism!… https://t.co/GMM2rZUZAD",Ted Cruz,18
Republican,"As we commemorate the long-overdue announcement of emancipation made 154 years ago in Texas, let us together, in th… https://t.co/nT1a0OWktS",Ted Cruz,20
Republican,"First Whataburger, now this?

Where does it end? https://t.co/keo54lEfFp",Ted Cruz,9
Republican,ICYMI | Daily Wire: Ted Cruz Proposes Important Amendment To Finally End Iran’s Civil-Nuclear Waivers https://t.co/j8fp73ynhq #TXSen,Ted Cruz,17
Republican,ICYMI | KTSA: Cruz Continues Push For Congressional Term Limits https://t.co/jR1q5uQCoy #TXSen,Ted Cruz,12
Republican,This is crap. https://t.co/lM25IaBlIT,Ted Cruz,4
Republican,"So you’re saying you’re going to spend a massive amount of money, attract fawning press &amp; Hollywood attention, and… https://t.co/mOhqJgoqcB",Ted Cruz,20
Republican,Is John Cusack one of the freshmen trio of Dem women?  I’m sensing a pattern.... https://t.co/NLAC4pFiZW,Ted Cruz,16
Republican,https://t.co/lCrvesQlck https://t.co/onmgGr9jH5,Ted Cruz,2
Republican,"Do big tech companies need to be more transparent? 

VOTE --&gt; https://t.co/wdo7oEHIVa",Ted Cruz,12
Republican,The troubling conduct of social media companies continues. #EndBigTechCensorship https://t.co/X0by6UGbbD,Ted Cruz,10
Republican,"To all of the dads out there, thank you for the guidance, the love, and the compassion you share with your children… https://t.co/IQLtryBspo",Ted Cruz,23
Republican,"For Father’s Day, took my Dad to see ⁦@GitRDoneLarry⁩  in concert at ⁦@RepublicCCBBQ⁩  Great fun, celebrating Dad. https://t.co/kZ0evsS8jw",Ted Cruz,18
Republican,"Self-satire: long, convoluted article explaining that, yes, late-night comedians have become angry, shrill, Leftist… https://t.co/LYYlR7vUkS",Ted Cruz,15
Republican,Wow... https://t.co/QUowSaQgfN,Ted Cruz,2
Republican,"🎶You're the emblem of the land I love...
The home of the free and the brave!🎶

Happy #FlagDay🇺🇸 https://t.co/nrpq8F963P",Ted Cruz,19
Republican,"Want to #DrainTheSwamp? 

We need term limits!

Join the fight to make it happen --&gt; https://t.co/IXsOCEhA4h",Ted Cruz,16
Republican,Thanks for all you do Konni. You’re awesome! https://t.co/XKEdqrHZha,Ted Cruz,9
Republican,Funny that.... https://t.co/d1d1NLUB6y,Ted Cruz,3
Republican,https://t.co/6QFj2tORKP https://t.co/Q2owGBdAx8,Ted Cruz,2
Republican,@chiproytx https://t.co/UftbsbIEjW,Ted Cruz,2
Republican,"I agree. Perhaps, in addition to the legislation we are already working on together to ban Members of Congress from… https://t.co/PyaW1XSKYT",Ted Cruz,21
Republican,Kids.  Texas.  Liberty.  Lemonade. All kinds of awesome. 🍋🍋🇺🇸🇺🇸👍👍 https://t.co/dBtM5wDJtc,Ted Cruz,10
Republican,@viaCristiano @AOC @ewarren @RepMattGaetz buy a lottery ticket,Ted Cruz,8
Republican,"So I’m 48. Chuck Norris, James Caan &amp; Mike Ditka are all 79...so I’m gonna pass on this one. https://t.co/rudM07CG1S",Ted Cruz,20
Republican,"Want to #DrainTheSwamp? 

A LIFETIME BAN on former Members of Congress becoming lobbyists is a great start. 

Join… https://t.co/8pdqUINWvT",Ted Cruz,19
Republican,Thx! https://t.co/EMnHteHYtU,Ted Cruz,2
Republican,"My pastor, @GreggMatte, just released a new book
“Difference Makers: How To Live A Life of Impact &amp; Purpose”.  It’s… https://t.co/2HvV6JQtyp",Ted Cruz,21
Republican,"Really, Brian?? You can’t think of any other similarities btwn them? And differences w/ Scalise? Twitter only does… https://t.co/mDED744dF5",Ted Cruz,19
Republican,Is it just me or is there something REALLY wrong with Twitter’s algorithms?  Because I follow Steve Scalise and sev… https://t.co/b3hgyCn9bc,Ted Cruz,21
Republican,"Why must Libs be sour &amp; humorless? Dems have shot relentlessly at Barr (rubber bullets &amp; blanks, to be sure) since… https://t.co/JNlcuj325C",Ted Cruz,22
Republican,Funny.  The joy of kids. https://t.co/FmE52RcNSH,Ted Cruz,6
Republican,"“Journalists” should know this. As Benjamin Franklin observed, “Whoever would overthrow the liberty of a nation mus… https://t.co/foO0gbIStI",Ted Cruz,18
Republican,Sigh. This individual claims to be a “journalist.” Then he throws a fit &amp; demands that YouTube CENSOR views he does… https://t.co/DyzbuCzQQL,Ted Cruz,22
Republican,More than a little amusing:  NYT Leftist editorial writer — who has a long &amp; ugly history of sending racist tweets… https://t.co/LFAikb9NHD,Ted Cruz,22
Republican,@LoganDobson @MrJoshPerry https://t.co/cLrjD3u2KE,Ted Cruz,3
Republican,"In 1980s, Bernie Sanders effusively praised Fidel Castro &amp; Soviet Union. My family was imprisoned &amp; tortured in com… https://t.co/Q0vEFuE9JO",Ted Cruz,20
Republican,Very sad — our prayers are with our brave cadets and their grieving families. We are grateful for their service &amp; s… https://t.co/M5z8ew6CkW,Ted Cruz,23
Republican,"We have been given the precious gift of freedom, paid with the blood of grandfathers, grandmothers, fathers, mother… https://t.co/PowenVSn7K",Ted Cruz,19
Republican,"This is nuts. YouTube needs to explain why @scrowder is banned, but @iamsambee (“Ivanka is a feckless c***.”) &amp;… https://t.co/X20tP8m5Ap",Ted Cruz,20
