Political Affiliation,tweet,Politician,Word Count
Republican,Presidential Harassment!,Donald Trump,2
Republican,"Senator Thom Tillis of North Carolina has really stepped up to the plate. Thom is tough on Crime, Strong on the Bor… https://t.co/rvXcAAdNhB",Donald Trump,23
Republican,"Staff Sgt. David Bellavia - today, we honor your extraordinary courage, we salute your selfless service, and we tha… https://t.co/kVJgKvjlA7",Donald Trump,20
Republican,"Today, it was my great honor to present the Medal of Honor to Army Staff Sgt. David Bellavia (HERO) for his courage… https://t.co/LxgWgzhVwR",Donald Trump,23
Republican,"....Martha is strong on Crime and Borders, the 2nd Amendment, and loves our Military and Vets. She has my Complete and Total Endorsement!",Donald Trump,23
Republican,"A brave former fighter jet pilot and warrior, Senator Martha McSally of Arizona has done an outstanding job in D.C.… https://t.co/AG1TGSNxCi",Donald Trump,21
Republican,"....Iran’s very ignorant and insulting statement, put out today, only shows that they do not understand reality. An… https://t.co/6nUGmkAVjb",Donald Trump,19
Republican,"....The wonderful Iranian people are suffering, and for no reason at all. Their leadership spends all of its money… https://t.co/cNM4SKPJUA",Donald Trump,20
Republican,"Iran leadership doesn’t understand the words “nice” or “compassion,” they never have. Sadly, the thing they do unde… https://t.co/iV2wXMBQAf",Donald Trump,19
Republican,Stock Market is heading for one of the best months (June) in the history of our Country. Thank you Mr. President!,Donald Trump,21
Republican,I am pleased to announce the launch of https://t.co/D1MY2aPC7f. This new platform will allow my campaign and other… https://t.co/mgMVxdCWQh,Donald Trump,19
Republican,"....Think of what it could have been if the Fed had gotten it right. Thousands of points higher on the Dow, and GDP… https://t.co/jVNN0bZXN6",Donald Trump,24
Republican,"Despite a Federal Reserve that doesn’t know what it is doing - raised rates far too fast (very low inflation, other… https://t.co/zMZRnDDK9F",Donald Trump,22
Republican,....a dangerous journey. We don’t even need to be there in that the U.S. has just become (by far) the largest produ… https://t.co/eJTUGWpi9j,Donald Trump,23
Republican,"China gets 91% of its Oil from the Straight, Japan 62%, &amp; many other countries likewise. So why are we protecting t… https://t.co/8CAUlWAxdl",Donald Trump,23
Republican,https://t.co/GY34Y0OeAS,Donald Trump,1
Republican,"When our Country had no debt and built everything from Highways to the Military with CASH, we had a big system of T… https://t.co/mTGg61FrYh",Donald Trump,24
Republican,Wonderful Church service at Camp David. Thank you!,Donald Trump,8
Republican,I want to give the Democrats every last chance to quickly negotiate simple changes to Asylum and Loopholes. This wi… https://t.co/c5uWkZwDpz,Donald Trump,21
Republican,"I never called the strike against Iran “BACK,” as people are incorrectly reporting, I just stopped it from going forward at this time!",Donald Trump,23
Republican,https://t.co/SSWnX8oQ65,Donald Trump,1
Republican,"At the request of Democrats, I have delayed the Illegal Immigration Removal Process (Deportation) for two weeks to… https://t.co/tb27qg9pOc",Donald Trump,19
Republican,"....Sanctions come off Iran, and they become a productive and prosperous nation again - The sooner the better!",Donald Trump,18
Republican,"Iran cannot have Nuclear Weapons! Under the terrible Obama plan, they would have been on their way to Nuclear in a… https://t.co/z0YdrJRq3U",Donald Trump,22
Republican,"I am at Camp David working on many things, including Iran! We have a great Economy, Tariffs have been very helpful… https://t.co/TnPavEmuTW",Donald Trump,22
Republican,https://t.co/mUc2KZFZON,Donald Trump,1
Republican,Thank you Jessica! https://t.co/gxNRfFqZCm,Donald Trump,4
Republican,A great book! https://t.co/QwB46HVpmv,Donald Trump,4
Republican,Looking good. We MUST WIN to KEEP AMERICA GREAT! https://t.co/ADULIQ0tO1,Donald Trump,10
Republican,Stock Market is on track to have the best June in over 50 years! Thank you Mr. President! @WSJ,Donald Trump,19
Republican,The people that Ice will apprehend have already been ordered to be deported. This means that they have run from the… https://t.co/x6RAdp8dfv,Donald Trump,22
Republican,https://t.co/JDS4zUXXJG,Donald Trump,1
Republican,"....proportionate to shooting down an unmanned drone. I am in no hurry, our Military is rebuilt, new,  and ready to… https://t.co/P6Wp3wybdZ",Donald Trump,21
