Political Affiliation,tweet,Politician,Word Count
Democrats,"One person 🙋🏽‍♂️, one vote 🗳 — regardless of race, income or zip code. Full stop. 

House Democrats will not stop u… https://t.co/Zn4VZvY9Qa",House Democrats,23
Democrats,"House Democrats Will. Not. Stop. 🗣️

This week alone, we’re addressing health care, voting rights, disaster relief,… https://t.co/N9zdcmsCZ3",House Democrats,18
Democrats,House Democrats approved funding for gun violence research #ForThePeople because ALL American DESERVE safe communit… https://t.co/2VVXm7UFKW,House Democrats,16
Democrats,"The American people know that climate change is REAL. 

House Democrats #CantStopWontStop fighting to protect and p… https://t.co/6r3QOP5oBq",House Democrats,18
Democrats,"Title X provides millions of Americans with fundamental health care 👨🏽‍⚕️👩🏻‍⚕️ for family planning. 

House Democra… https://t.co/hdjdzSxoRQ",House Democrats,17
Democrats,"#ShowYourStripes is a creative but alarming example of how climate change is affecting our Earth. 

Each stripe ➡️… https://t.co/mUUeddplFR",House Democrats,19
Democrats,Happy first day of summer ☀️🏖🌴! https://t.co/IwUkBRrLBd,House Democrats,7
Democrats,"Senseless gun violence rips through our communities far too often. The American people are demanding action. 

Whil… https://t.co/jXORbnVOtu",House Democrats,18
Democrats,House Democrats are fighting to #ProtectOurCare #ForThePeople because every American should have FULL and EQUAL acc… https://t.co/yd3gu4r0OC,House Democrats,17
Democrats,"Our diversity is our strength. 

Violence against one is violence against all. 

We MUST ensure that EVERY American… https://t.co/pWTn0EQYIE",House Democrats,19
Democrats,"As the only female doctor 👩🏼‍⚕️ in Congress, @RepKimSchrier is fighting tirelessly for the right to quality, afford… https://t.co/RNGYUX90xb",House Democrats,19
Democrats,"American families DESERVE affordable and accessible health care. Full stop.

House Democrats remain focused on lowe… https://t.co/LEdH4zlGE6",House Democrats,17
Democrats,"We MUST protect our planet 🌎.

House Democrats have passed the #ClimateActionNow Act to ensure our environment is s… https://t.co/9Yi2uE5mIv",House Democrats,20
Democrats,"House Democrats are COMMITTED to creating jobs 💼, protecting the 2020 Census 📊, cleaning our environment 🌎 and rest… https://t.co/rmweTt95XR",House Democrats,20
Democrats,"On this #Juneteenth, let us honor the brave African-Americans who fought for their overdue freedom. https://t.co/ivSTYAn17T",House Democrats,16
Democrats,"Health care is a fundamental American RIGHT. 

Easy access to high-quality, affordable health care remains our TOP… https://t.co/qxi2fJHalU",House Democrats,18
Democrats,"House Democrats are FOCUSED on the issues that matter to the American people. 

This week, we’re addressing health… https://t.co/nYzZ8iR1iA",House Democrats,19
Democrats,"House Democrats CONTINUE to work #ForThePeople by passing bills to lower prescription drug prices 💊, protect voting… https://t.co/yaKGOMFP8e",House Democrats,18
Democrats,"⚡️ “House Democrats working hard #ForThePeople on #HealthCareWeekend” by @HouseDemocrats

https://t.co/wb3mq5aT80",House Democrats,11
Democrats,"House Democrats are laser-focused on the priorities of everyday Americans. In our 2020 funding bill, we are providi… https://t.co/eC3ETNQ5pa",House Democrats,19
Democrats,"House Democrats are working hard this weekend to #ProtectOurCare #ForThePeople. 

We will not stop fighting for the… https://t.co/rTymkzciZE",House Democrats,18
Democrats,"Today and every day, we honor the sacrifices of our nation’s fathers. We are inspired by their knowledge, strength… https://t.co/4WmA7JHF2m",House Democrats,20
Democrats,Americans need both affordable + accessible healthcare solutions. Big Pharma raised prices on women’s birth control… https://t.co/ZnrRaaX1OC,House Democrats,17
Democrats,This #HealthCareWeekend of Action @HouseDemocrats are holding over 1️⃣0️⃣0️⃣ events nationwide! We have passed 1️⃣… https://t.co/1Yj7DoiMYe,House Democrats,16
Democrats,"Statesman. Advocate. Leader.

Happy birthday to our esteemed Majority @LeaderHoyer 🎉. https://t.co/sKAZC8yWfT",House Democrats,12
Democrats,"June 14th, 1777 our nation’s flag was adopted as a symbol of our unity, diversity and perseverance 🇺🇸. House Democr… https://t.co/drRecWJ66L",House Democrats,21
Democrats,"Making history as New Hampshire’s first LGBTQ member of Congress, @RepChrisPappas continues advocating for equality… https://t.co/vJqlYy5b5v",House Democrats,16
Democrats,"Health care is a human RIGHT. 

House Democrats will continue fighting #ForThePeople until every family has equal a… https://t.co/69ThTdGfbX",House Democrats,19
Democrats,"“The total firearm death rate increased 17 percent over the last decade.”

House Democrats passed the… https://t.co/R5pcHxIQP3",House Democrats,17
Democrats,The fact that any American has to cross a border or turn to the streets for affordable life-saving medicine is a di… https://t.co/Kwi6wXISKM,House Democrats,23
