Political Affiliation,tweet,Politician,Word Count
Democrats,"We are facing a precarious situation with Iran

That’s why Democrats are urging @SenateMajLdr McConnell to keep his… https://t.co/coJ4G4sY2G",Senate Democrats,19
Democrats,The Trump administration is actively suing to eliminate health care protections for Americans with pre-existing con… https://t.co/BAEsFjqgKK,Senate Democrats,17
Democrats,President @realDonaldTrump's administration is continuing its health care sabotage by fighting in court to repeal o… https://t.co/oScsmgG3Zj,Senate Democrats,17
Democrats,"“Our colleagues in the House passed a bipartisan background check bill 115 days ago, but instead of calling for a v… https://t.co/ENQ4V0wqGX",Senate Democrats,22
Democrats,"@sfc_opinions “Unfortunately, Congress isn’t acting. Republican Senate Majority Leader Mitch McConnell, R-Kentucky.… https://t.co/8DxycoDYur",Senate Democrats,13
Democrats,@sfc_opinions “There are no ‘ifs’ about it. A candidate for public office accepting anything of value from a foreig… https://t.co/p6JzuAWH4X,Senate Democrats,20
Democrats,"There have been 11,400 people killed in the 114 days since the House passed universal background checks legislation… https://t.co/50DXFKtaxQ",Senate Democrats,19
Democrats,“Yet another example of the lengths to which Senate Majority Leader Mitch McConnell and crew will reach to provide… https://t.co/b7c5GfZF7E,Senate Democrats,20
Democrats,"“Regardless of the president’s involvement, there can be no debate that Russia did, in fact, breach election system… https://t.co/0JcOxH8z3e",Senate Democrats,19
Democrats,TUNE IN: @SenatorCarper and @SenSchumer lead @SenateDems to reject President @realDonaldTrump’s repeal of the Clean… https://t.co/rdxwWKUgfv,Senate Democrats,16
Democrats,This is what broken promises look like #GOPTaxScam https://t.co/sE1MhEaeTV,Senate Democrats,9
Democrats,.@BangorDailyNews : “If the administration and Republican leadership are in fact committed to protecting us from fu… https://t.co/FkkUkaHtYC,Senate Democrats,18
Democrats,"Scathing @PDEditorial: Trump says he'd take foreign election help. 

Where's the GOP's outrage?
https://t.co/uTFiEzEtfr",Senate Democrats,14
Democrats,We know that right now President @realDonaldTrump’s administration is fighting in court to end our health care law… https://t.co/AhDfs1NsAk,Senate Democrats,19
Democrats,Senate Democrats will not stand by while @SenateMajLdr McConnell tries to bury election security in his legislative… https://t.co/ayaQmrQgn5,Senate Democrats,18
Democrats,"“When your car is totaled, you can't fix the windshield and expect to start driving.”

- @PattyMurray lays out how… https://t.co/ZdiieIUHCL",Senate Democrats,21
Democrats,"Instead of bringing up bipartisan bills, @SenateMajLdr McConnell has turned the Senate into a legislative graveyard… https://t.co/HP4Cj0ebC7",Senate Democrats,17
Democrats,"“Too bad that two of the people in a key position to make things happen — or, in this case, keep them from happenin… https://t.co/7RXi0zPwOM",Senate Democrats,25
Democrats,This month is the 100th anniversary of the 19th Amendment passage in the Senate to guarantee women the right to vot… https://t.co/a0SWJZfaFg,Senate Democrats,22
Democrats,"Today marks four years since the Emanuel AME Church shooting in Charleston, South Carolina. 
 
These kinds of trage… https://t.co/YZFL0giua1",Senate Democrats,19
Democrats,"To all of the dads out there, today we say thank you.
 
Happy #FathersDay.",Senate Democrats,14
Democrats,"Senate Democrats adamantly oppose the Trump administration’s citizenship question, and will not stand for the racia… https://t.co/5RnAw6NMXL",Senate Democrats,17
Democrats,"This week, we asked to pass a bill to restore #NetNeutrality and #SaveTheInternet.

Republican’s objected. 

Why do… https://t.co/9TkYqtRIbI",Senate Democrats,18
Democrats,Must watch:  FCC Commissioner @JRosenworcel sets the record straight on the need for #NetNeutrality and the benefit… https://t.co/mzT3wAQMD7,Senate Democrats,18
Democrats,"You’re going to want to see this:
 
@SenMarkey, @SenatorCantwell, and @RonWyden asked to pass a bill to restore… https://t.co/3oK1srQ1GH",Senate Democrats,19
Democrats,"❌ Protecting Health Care
❌ Net Neutrality 
❌ Election Security
❌ The Violence Against Women Act 

What will it take… https://t.co/5g8KMo5MPK",Senate Democrats,21
Democrats,Republicans like @SenateMajLdr McConnell promised their tax giveaway to the wealthiest few would MORE THAN pay for… https://t.co/nFg6IUuWF0,Senate Democrats,18
Democrats,"We can’t let @SenateMajLdr McConnell just leave #NetNeutrality in his legislative graveyard.
 
Watch Senate Democra… https://t.co/sAFEZEheEx",Senate Democrats,16
Democrats,"June is LGBTQ #Pride Month, Alzheimer’s and Brain Awareness Month, National Gun Violence Awareness Month, and so mu… https://t.co/pReH9ZLxok",Senate Democrats,19
Democrats,"Why won't @SenateMajLdr McConnell bring any of this needed legislation to the Senate floor? 

❌ Protecting Health C… https://t.co/F7Cn3gXOFc",Senate Democrats,19
Democrats,"One year ago, @realDonaldTrump’s administration stated in court that they want to end protections for Americans wit… https://t.co/BGsehUoCG1",Senate Democrats,18
Democrats,"The mourning after a mass shooting is a feeling America knows all too well.

Which is why Senate Democrats are dema… https://t.co/vjLY3Dm70d",Senate Democrats,22
Democrats,"""Congress must work together to protect our democracy and reassure Americans that their votes will be counted in 20… https://t.co/GKSJjKjPE4",Senate Democrats,20
Democrats,"On Friday evening, the American people learned of yet another mass shooting—this time, in Virginia Beach. 
 
Gun vi… https://t.co/b7ZEzlJWHj",Senate Democrats,19
Democrats,"“On all the big issues of the day:
❌ Climate Change
❌ Health Care
❌ Voting Rights
❌ Election Security
 
The Senate… https://t.co/WVmOxJ1pwU",Senate Democrats,23
Democrats,"The Affordable Care Act helped reduce inequity within our country.

But the Trump admin and the GOP have continuous… https://t.co/ERjPbZ3SgR",Senate Democrats,20
Democrats,"Huge corporations paid $91 billion less in taxes last year, while individuals paid nearly $100 billion more. 

The… https://t.co/Agmq6fb1IP",Senate Democrats,19
Democrats,"It’s June 1st which means the start to #PrideMonth. 

This month and every month we celebrate the strength, resilie… https://t.co/GroV8OG119",Senate Democrats,20
Democrats,"To those who gave all:

We salute you.
We honor you.
We owe you and your families a debt we can never repay.

That… https://t.co/laAbEwL1QL",Senate Democrats,25
Democrats,"As if @SenateMajLdr McConnell’s legislative graveyard isn’t full enough. 

Watch as the Senate GOP rejects bill aft… https://t.co/6qfJ7zv5Al",Senate Democrats,18
Democrats,"More than 120 bills passed by the House are awaiting action in the Senate, including: 

VAWA
Background Checks… https://t.co/7Mrv1ldFsT",Senate Democrats,19
Democrats,“You expect your elected officials to take action on legislation that will make your family’s life better. Senate D… https://t.co/j84hhwtVsi,Senate Democrats,20
Democrats,VAWA improves &amp; expands protections to those who are survivors of domestic violence at the hands of domestic or for… https://t.co/va9qChMlHa,Senate Democrats,21
Democrats,Our healthcare system – including protections for pre-existing conditions - is under attack from the Trump administ… https://t.co/GeE7LLXOY8,Senate Democrats,18
Democrats,"The House-passed Violence Against Women Act improves legal protections for survivors of domestic abuse, assault, an… https://t.co/FIuRjZmElZ",Senate Democrats,17
Democrats,WATCH: Senate Democrats took to the Senate floor today with a simple message: #StopTheBans https://t.co/O6R8Xcp8LC,Senate Democrats,15
Democrats,"Today, many concerned, frightened, and angry American women and men in cities across the country are speaking out t… https://t.co/gujP1J8zyV",Senate Democrats,20
Democrats,"The House has taken action and passed bills to combat the Trump health care sabotage.
 
But the GOP-led Senate?… https://t.co/SUMRtt98Af",Senate Democrats,20
Democrats,WATCH: Senate Democrats take to the floor to combat the continued Republican attacks on the right of a woman to mak… https://t.co/VtR6jEi8fK,Senate Democrats,22
Democrats,"“65 years later, all of the things that were said in the Brown decision are still a work in progress.” —… https://t.co/xmEEmIWQjk",Senate Democrats,22
Democrats,"“At the CIA &amp; intelligence agencies, millions of dollars are being spent to stop the Russians from making a mess of… https://t.co/vYavJWAi5O",Senate Democrats,22
Democrats,"WATCH: @SenatorDurbin asks: Why isn’t the Senate moving legislation to secure our elections? 
 
A top Republican Se… https://t.co/yjrGcIrSWX",Senate Democrats,18
Democrats,Today the Senate is voting on the Trump administration’s nominee for the Louisiana District Court: Wendy Vitter.… https://t.co/MOCwOCbCyv,Senate Democrats,18
Democrats,"It’s plain &amp; simple. The American people want us to protect their health care. 
 
Thankfully, the new Democratic ma… https://t.co/xZ7GMktxQE",Senate Democrats,20
Democrats,"“Families will absolutely not forget who chose to stand aside and do nothing, who chose to side with big insurance… https://t.co/LctokCAdGj",Senate Democrats,21
Democrats,“People cannot imagine that what is being passed in the House gets buried in the legislative graveyard in the Unite… https://t.co/Bnv8s13W6p,Senate Democrats,21
Democrats,".@SenateMajLdr McConnell has slowly but surely turned the Senate into a legislative graveyard.
 
American families… https://t.co/76Fbr9NtwP",Senate Democrats,16
Democrats,"Earlier this week in preparation for #MothersDay, Senate Democrats took to the Senate Floor.
 
We continued our fig… https://t.co/UA8utKNZWv",Senate Democrats,19
Democrats,"To all mothers, and those who have mothered, we wish you a very happy #MothersDay.
 
Thank you for all that you do.",Senate Democrats,22
Democrats,“Health care is one of the top kitchen table issues in Nevada. I cannot even begin to count the number of Nevadans… https://t.co/870QdsumBK,Senate Democrats,23
Democrats,The Trump administration is fighting in court to end our healthcare law including protections for Americans with pr… https://t.co/wkGdRRKiNg,Senate Democrats,19
Democrats,"On the one-year anniversary of @realDonaldTrump’s admin enacting its cruel family separation policy, we revisit the… https://t.co/LsMUTeoZH6",Senate Democrats,17
Democrats,"Under @SenateMajLdr McConnell’s leadership, the Senate has turned into a legislative graveyard.

This Republican Se… https://t.co/f828uyXIAz",Senate Democrats,16
Democrats,"“All of us have teachers that have made such a big difference in our lives.”
 
On #TeacherAppreciationDay we thank… https://t.co/9l7fMtaUxV",Senate Democrats,20
Democrats,"America’s national security leaders say Russia is threatening the security of our 2020 elections.

But just days ag… https://t.co/g5nqTShEb3",Senate Democrats,19
Democrats,"Today on Yom HaShoah, #WeRemember, honor, and lift up the lives of the Jewish people and all those killed during th… https://t.co/TSYCR7m9Vj",Senate Democrats,22
Democrats,"Attorney General Barr admits to @SenBlumenthal that there are notes of his conversations with Mueller.
 
But he ref… https://t.co/UVmO4RdYgq",Senate Democrats,19
Democrats,"During the #BarrHearing, Senator @MazieHirono asked Attorney General Barr if it was okay for a President to ask his… https://t.co/gikD5PGmZV",Senate Democrats,20
Democrats,"WATCH: @SenatorLeahy lays out how, despite assertions to the contrary from Attorney General Barr, the Trump White H… https://t.co/5FvwhyUK0d",Senate Democrats,19
Democrats,"WATCH: @SenatorLeahy lays out how, despite assertions to the contrary from Attorney General Barr, the Trump White H… https://t.co/5FvwhyUK0d",Senate Democrats,19
Democrats,“I strongly believe that this committee needs to hear directly from Special Counsel Mueller about his views on the… https://t.co/JteFFEQmdm,Senate Democrats,20
Democrats,"Not that long ago, Senate Republicans believed they had a “constitutional duty” to conduct oversight. 
 
Why are th… https://t.co/I1KJILExQ7",Senate Democrats,19
Democrats,The American people cannot afford to have @SenateMajLdr McConnell turn one chamber of their government into a legis… https://t.co/glc9Zuz4Mr,Senate Democrats,19
Democrats,"Today is #LesbianVisibilityDay.
 
We see you.
 
We hear you.
 
And we will keep fighting for equality for all. https://t.co/iaTtK0wad2",Senate Democrats,19
Democrats,President @realDonaldTrump promised to stand up to the NRA &amp; fight for the stronger background checks the overwhelm… https://t.co/4OWOorUyFu,Senate Democrats,19
Democrats,"“We must be vigilant in defending all that our great nation stands for, which means fighting for the truth and ensu… https://t.co/a5mghzw6mR",Senate Democrats,22
Democrats,"Guess who launched a new Instagram account? 
 
Click the link to follow Senator Chris Murphy and stay up to date on… https://t.co/32qZgNoaBe",Senate Democrats,22
Democrats,Celebrate #EarthDay with the Senate Democrats: https://t.co/M2xOrXuVDh,Senate Democrats,7
Democrats,"We know that climate change is a very real problem that demands strong action from Congress. 
 
For #EarthDay, foll… https://t.co/n3m3DMlT7G",Senate Democrats,20
Democrats,READ: Here is the redacted version of the #MuellerReport made available to the public by the Department of Justice.… https://t.co/i9AJyA0sV6,Senate Democrats,20
Democrats,"“After this tax season, the jig is up.” —@SenSchumer on the #GOPTaxScam https://t.co/eQB6py7x32",Senate Democrats,13
Democrats,Today is #TaxDay and the facts are clear: the Republican tax bill was sold as “rocket fuel” for the economy and a b… https://t.co/wZCkhpPt1r,Senate Democrats,24
Democrats,"President @realDonaldTrump promised the #GOPTaxScam would be a “middle-class miracle.”
 
Instead, millions fewer Am… https://t.co/L1xItyTdwY",Senate Democrats,15
Democrats,"President @realDonaldTrump’s shameful #TransMilitaryBan goes into effect today.

Whether trans or otherwise, if you… https://t.co/RjqDUM4sTs",Senate Democrats,15
Democrats,"While corporate executives and wealthy shareholders continue to cash in on the #GOPTaxScam, American workers are be… https://t.co/L3N0x0MRtM",Senate Democrats,18
Democrats,It’s time for @SenateMajLdr McConnell to bring the House-passed Violence Against Women Act up for a vote without de… https://t.co/3jdseegaja,Senate Democrats,20
Democrats,"Instead of frightening patients, driving up costs, and taking health care away from people:

Let’s move forward wit… https://t.co/h15VXKD0DP",Senate Democrats,19
Democrats,“The last few days have reached a new low in dysfunction. And all of this has a simple root cause: Every time Presi… https://t.co/x4Gf9nps7K,Senate Democrats,24
Democrats,"“If this was such a hokey position to take, what are you worried about?”

That’s Attorney General Bill Barr callous… https://t.co/b74iojOUwX",Senate Democrats,21
Democrats,“I wish they would just trust us to make the right decision with respect to our own lives and our own bodies and ou… https://t.co/yId5hiHRra,Senate Democrats,25
Democrats,"In response to a question from @SenAmyKlobuchar, Dr. Valerie Peterson discusses why restrictive laws forced her to… https://t.co/xhHwzwaj6g",Senate Democrats,18
Democrats,"“Dead on arrival in the Senate.”

That’s what @SenateMajLdr Mitch McConnell just said about the bill to… https://t.co/QwKNKzhWKm",Senate Democrats,18
Democrats,It’s time for @SenateMajLdr McConnell to bring the House-passed Violence Against Women Act up for a vote without de… https://t.co/6tnsYwALEz,Senate Democrats,20
Democrats,“States like Georgia have already served as test cases for the effects of these unconstitutional bans. The women in… https://t.co/htdBSwDbbx,Senate Democrats,20
Democrats,“This committee must consider the harmful impact this bill would have on the health and well-being of so many women… https://t.co/1Nm2PRMARC,Senate Democrats,21
Democrats,“Why are Republicans spending time doubling down on lies to undermine women's reproductive health?” - @PattyMurray… https://t.co/4NuIL3lsrZ,Senate Democrats,17
Democrats,“While many of my Republican colleagues remain determined to turn back the clock and drag our country back to pre-R… https://t.co/McnMmrthq8,Senate Democrats,21
Democrats,Attorney General Barr stopped answering questions the moment he was asked about his interactions with the Trump Whi… https://t.co/NrTpVOb3eF,Senate Democrats,19
Democrats,"On the 51st anniversary of the assassination of Dr. Martin Luther King, Jr., we honor his powerful life and legacy… https://t.co/6rIen5qNh9",Senate Democrats,21
Democrats,"Earlier today, Senator @MarkWarner took to the floor to ask the Senate to pass a resolution to make public the full… https://t.co/HihaYYJ4It",Senate Democrats,22
Democrats,"“He makes it more difficult to develop affordable housing, cuts off access for housing especially for people of col… https://t.co/eawjClJ3zm",Senate Democrats,20
Democrats,The Senate and House Democrats introduced resolutions calling on the Trump DOJ to reverse their decision that would… https://t.co/8mF2fC5EYx,Senate Democrats,19
Democrats,"We will not stand for @realDonaldTrump playing cynical games with Americans’ health care
 Yesterday, Senate &amp; House… https://t.co/AG8oGYHlF0",Senate Democrats,18
Democrats,"On #EqualPayDay, here’s Senator @PattyMurray asking for consent to pass the #PaycheckFairnessAct.

And there’s… https://t.co/4lkLgi7Dxm",Senate Democrats,15
Democrats,“We know what the Republicans' health care plan might look like: gut protections for Americans with pre-existing co… https://t.co/QSGSo7Eo4X,Senate Democrats,19
Democrats,"Senator @MazieHirono points out Republicans’ priorities:

No action on climate change
No action on gun violence
No… https://t.co/jr4Dfk9acE",Senate Democrats,18
Democrats,"Today, all 47 Senate Democrats introduced a resolution to reverse the misguided and cruel decision by the Trump Dep… https://t.co/zBTnxDGio8",Senate Democrats,20
Democrats,Senate &amp; House Democrats are introducing resolutions to reverse the misguided and cruel decision by the Trump Depar… https://t.co/npgJ5Nbjcj,Senate Democrats,19
Democrats,"18 months after the deadly devastation of Hurricanes Maria &amp; Irma, President @realDonaldTrump &amp; the @SenateGOP are… https://t.co/pCwQCmHf4U",Senate Democrats,18
Democrats,"This #WomensHistoryMonth, we’re celebrating the most diverse Congress in America’s history.

Hear it from the Democ… https://t.co/5NkTSg84ki",Senate Democrats,17
